chip,experiment,sub_experiment,imputed,info_score,typed_match,typed_macro_match,imputed_match,imputed_macro_match
BDCHP-1X10-HUMANHAP240S_11216501_A-b37,MAF_Experiments,MAF0.1%,TRUE,0.547549743589744,0.980662983425414,0.993685872138911,0.986977111286504,0.998816101026046
BDCHP-1x10-HUMANHAP300v1-1_11219278_C-b37,MAF_Experiments,MAF0.1%,FALSE,NA,NA,NA,NA,NA
HumanHap300v2_A-b37,MAF_Experiments,MAF0.1%,FALSE,NA,NA,NA,NA,NA
HumanCNV370v1_C-b37,MAF_Experiments,MAF0.1%,FALSE,NA,NA,NA,NA,NA
HumanCNV370-Quadv3_C-b37,MAF_Experiments,MAF0.1%,FALSE,NA,NA,NA,NA,NA
BDCHP-1X10-HUMANHAP550_11218540_C-b37,MAF_Experiments,MAF0.1%,TRUE,0.428419023136247,0.527624309392265,0.709550118389897,0.972375690607735,0.998421468034728
HumanHap550-2v3_B-b37,MAF_Experiments,MAF0.1%,TRUE,0.406595679012346,0.523283346487766,0.705209155485399,0.973164956590371,0.99802683504341
HumanHap550v3_A-b37,MAF_Experiments,MAF0.1%,TRUE,0.406797839506173,0.523283346487766,0.705209155485399,0.973164956590371,0.997632202052092
Human610-Quadv1_B-b37,MAF_Experiments,MAF0.1%,TRUE,0.377984552008239,0.388318863456985,0.55130228887135,0.938042620363062,0.964088397790055
human610-quadv1_h-b37,MAF_Experiments,MAF0.1%,TRUE,0.377513388259526,0.388318863456985,0.55130228887135,0.939226519337017,0.964877663772691
HumanHap650Yv3_A-b37,MAF_Experiments,MAF0.1%,TRUE,0.406915637860082,0.523283346487766,0.705209155485399,0.973164956590371,0.997632202052092
Human660W-Quad_v1_A-b37,MAF_Experiments,MAF0.1%,TRUE,0.378018013381369,0.388318863456985,0.55130228887135,0.938831886345698,0.964088397790055
Human660W-Quad_v1_C-b37,MAF_Experiments,MAF0.1%,TRUE,0.378463715903242,0.388318863456985,0.55130228887135,0.938831886345698,0.964483030781373
human660w-quad_v1_h-b37,MAF_Experiments,MAF0.1%,TRUE,0.377975295934122,0.388318863456985,0.55130228887135,0.937647987371744,0.962904498816101
Human670-QuadCustom_v1_A-b37,MAF_Experiments,MAF0.1%,TRUE,0.377850231600618,0.388318863456985,0.55130228887135,0.937647987371744,0.963693764798737
HumanOmniExpress-12v1_A-b37,MAF_Experiments,MAF0.1%,FALSE,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_A-b37,MAF_Experiments,MAF0.1%,FALSE,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_B-b37,MAF_Experiments,MAF0.1%,FALSE,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_B-b37,MAF_Experiments,MAF0.1%,FALSE,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_C-b37,MAF_Experiments,MAF0.1%,FALSE,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_H-b37,MAF_Experiments,MAF0.1%,FALSE,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_J-b37,MAF_Experiments,MAF0.1%,FALSE,NA,NA,NA,NA,NA
humanomniexpress-12v1_j_ffpe-b37,MAF_Experiments,MAF0.1%,FALSE,NA,NA,NA,NA,NA
humanomniexpress-24v1-0_a-b37,MAF_Experiments,MAF0.1%,FALSE,NA,NA,NA,NA,NA
humanomniexpress-24-v1-1-a-b37,MAF_Experiments,MAF0.1%,FALSE,NA,NA,NA,NA,NA
HumanOmniExpress-24-v1-0-B-b37,MAF_Experiments,MAF0.1%,FALSE,NA,NA,NA,NA,NA
InfiniumOmniExpress-24v1-2_A1-b37,MAF_Experiments,MAF0.1%,FALSE,NA,NA,NA,NA,NA
HumanOmniExpressExome-8v1_A-b37,MAF_Experiments,MAF0.1%,TRUE,0.441155329949239,0.481846882399369,0.497632202052092,0.874506708760852,0.905288082083662
humanomniexpressexome-8v1-0_a-b37,MAF_Experiments,MAF0.1%,TRUE,0.441642639593909,0.481846882399369,0.497632202052092,0.874506708760852,0.905288082083662
HumanOmniExpressExome-8-v1-0-B-b37,MAF_Experiments,MAF0.1%,TRUE,0.441499492385787,0.481846882399369,0.497632202052092,0.874506708760852,0.905288082083662
HumanOmniExpressExome-8v1-2_A-b37,MAF_Experiments,MAF0.1%,TRUE,0.414244794311833,0.481846882399369,0.497632202052092,0.820441988950276,0.839779005524862
HumanOmniExpressExome-8-v1-2-B-b37,MAF_Experiments,MAF0.1%,TRUE,0.414136617572372,0.481846882399369,0.497632202052092,0.82162588792423,0.840962904498816
