chip,experiment,sub_experiment,imputed,info_score,typed_match,typed_macro_match,imputed_match,imputed_macro_match,diff,diff_macro
BDCHP-1X10-HUMANHAP240S_11216501_A-b37,MCMC_Experiments,MCMC1,TRUE,0.861134,0.980662983425414,0.993685872138911,0.988555643251776,0.999210734017364,0.00789265982636145,0.00552486187845302
BDCHP-1x10-HUMANHAP300v1-1_11219278_C-b37,MCMC_Experiments,MCMC1,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanHap300v2_A-b37,MCMC_Experiments,MCMC1,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanCNV370v1_C-b37,MCMC_Experiments,MCMC1,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanCNV370-Quadv3_C-b37,MCMC_Experiments,MCMC1,FALSE,NA,NA,NA,NA,NA,NA,NA
BDCHP-1X10-HUMANHAP550_11218540_C-b37,MCMC_Experiments,MCMC1,TRUE,0.769625,0.527624309392265,0.709550118389897,0.971586424625099,0.997237569060773,0.443962115232833,0.287687450670876
HumanHap550-2v3_B-b37,MCMC_Experiments,MCMC1,TRUE,0.739935622317597,0.523283346487766,0.705209155485399,0.967640094711918,0.993291239147593,0.444356748224151,0.288082083662194
HumanHap550v3_A-b37,MCMC_Experiments,MCMC1,TRUE,0.739935622317597,0.523283346487766,0.705209155485399,0.967640094711918,0.993291239147593,0.444356748224151,0.288082083662194
Human610-Quadv1_B-b37,MCMC_Experiments,MCMC1,TRUE,0.713875545851528,0.388318863456985,0.55130228887135,0.932517758484609,0.95698500394633,0.544198895027624,0.40568271507498
human610-quadv1_h-b37,MCMC_Experiments,MCMC1,TRUE,0.713875545851528,0.388318863456985,0.55130228887135,0.932517758484609,0.95698500394633,0.544198895027624,0.40568271507498
HumanHap650Yv3_A-b37,MCMC_Experiments,MCMC1,TRUE,0.739935622317597,0.523283346487766,0.705209155485399,0.967640094711918,0.993291239147593,0.444356748224151,0.288082083662194
Human660W-Quad_v1_A-b37,MCMC_Experiments,MCMC1,TRUE,0.71459347826087,0.388318863456985,0.55130228887135,0.931728492501973,0.956195737963694,0.543409629044988,0.404893449092344
Human660W-Quad_v1_C-b37,MCMC_Experiments,MCMC1,TRUE,0.71459347826087,0.388318863456985,0.55130228887135,0.931728492501973,0.956195737963694,0.543409629044988,0.404893449092344
human660w-quad_v1_h-b37,MCMC_Experiments,MCMC1,TRUE,0.71459347826087,0.388318863456985,0.55130228887135,0.931728492501973,0.956195737963694,0.543409629044988,0.404893449092344
Human670-QuadCustom_v1_A-b37,MCMC_Experiments,MCMC1,TRUE,0.71495,0.388318863456985,0.55130228887135,0.931333859510655,0.95698500394633,0.54301499605367,0.40568271507498
HumanOmniExpress-12v1_A-b37,MCMC_Experiments,MCMC1,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_A-b37,MCMC_Experiments,MCMC1,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_B-b37,MCMC_Experiments,MCMC1,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_B-b37,MCMC_Experiments,MCMC1,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_C-b37,MCMC_Experiments,MCMC1,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_H-b37,MCMC_Experiments,MCMC1,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_J-b37,MCMC_Experiments,MCMC1,FALSE,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-12v1_j_ffpe-b37,MCMC_Experiments,MCMC1,FALSE,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-24v1-0_a-b37,MCMC_Experiments,MCMC1,FALSE,NA,NA,NA,NA,NA,NA,NA
