chip,experiment,sub_experiment,imputed,info_score,typed_match,typed_macro_match,imputed_match,imputed_macro_match,diff,diff_macro
BDCHP-1X10-HUMANHAP240S_11216501_A-b37,kHAP_Experiments,kHAP100,TRUE,0.894934,0.980662983425414,0.993685872138911,0.989344909234412,1,0.00868192580899763,0.0063141278610892
BDCHP-1x10-HUMANHAP300v1-1_11219278_C-b37,kHAP_Experiments,kHAP100,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanHap300v2_A-b37,kHAP_Experiments,kHAP100,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanCNV370v1_C-b37,kHAP_Experiments,kHAP100,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanCNV370-Quadv3_C-b37,kHAP_Experiments,kHAP100,FALSE,NA,NA,NA,NA,NA,NA,NA
BDCHP-1X10-HUMANHAP550_11218540_C-b37,kHAP_Experiments,kHAP100,TRUE,0.811135593220339,0.527624309392265,0.709550118389897,0.972770323599053,0.997632202052092,0.445146014206788,0.288082083662194
HumanHap550-2v3_B-b37,kHAP_Experiments,kHAP100,TRUE,0.78074678111588,0.523283346487766,0.705209155485399,0.969613259668508,0.993291239147593,0.446329913180742,0.288082083662194
HumanHap550v3_A-b37,kHAP_Experiments,kHAP100,TRUE,0.780111587982833,0.523283346487766,0.705209155485399,0.970007892659826,0.994080505130229,0.44672454617206,0.28887134964483
Human610-Quadv1_B-b37,kHAP_Experiments,kHAP100,TRUE,0.752849344978166,0.388318863456985,0.55130228887135,0.932517758484609,0.95698500394633,0.544198895027624,0.40568271507498
human610-quadv1_h-b37,kHAP_Experiments,kHAP100,TRUE,0.752622270742358,0.388318863456985,0.55130228887135,0.93646408839779,0.960536700868193,0.548145224940805,0.409234411996843
HumanHap650Yv3_A-b37,kHAP_Experiments,kHAP100,TRUE,0.780330472103004,0.523283346487766,0.705209155485399,0.970007892659826,0.993685872138911,0.44672454617206,0.288476716653512
Human660W-Quad_v1_A-b37,kHAP_Experiments,kHAP100,TRUE,0.753652173913044,0.388318863456985,0.55130228887135,0.937253354380426,0.961325966850829,0.548934490923441,0.410023677979479
Human660W-Quad_v1_C-b37,kHAP_Experiments,kHAP100,TRUE,0.753652173913044,0.388318863456985,0.55130228887135,0.937253354380426,0.961325966850829,0.548934490923441,0.410023677979479
human660w-quad_v1_h-b37,kHAP_Experiments,kHAP100,TRUE,0.753447826086956,0.388318863456985,0.55130228887135,0.934885556432518,0.95895816890292,0.546566692975533,0.407655880031571
Human670-QuadCustom_v1_A-b37,kHAP_Experiments,kHAP100,TRUE,0.753447826086956,0.388318863456985,0.55130228887135,0.934885556432518,0.95895816890292,0.546566692975533,0.407655880031571
HumanOmniExpress-12v1_A-b37,kHAP_Experiments,kHAP100,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_A-b37,kHAP_Experiments,kHAP100,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_B-b37,kHAP_Experiments,kHAP100,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_B-b37,kHAP_Experiments,kHAP100,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_C-b37,kHAP_Experiments,kHAP100,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_H-b37,kHAP_Experiments,kHAP100,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_J-b37,kHAP_Experiments,kHAP100,FALSE,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-12v1_j_ffpe-b37,kHAP_Experiments,kHAP100,FALSE,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-24v1-0_a-b37,kHAP_Experiments,kHAP100,FALSE,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-24-v1-1-a-b37,kHAP_Experiments,kHAP100,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-24-v1-0-B-b37,kHAP_Experiments,kHAP100,FALSE,NA,NA,NA,NA,NA,NA,NA
InfiniumOmniExpress-24v1-2_A1-b37,kHAP_Experiments,kHAP100,FALSE,NA,NA,NA,NA,NA,NA,NA
