chip,experiment,sub_experiment,imputed,info_score,typed_match,typed_macro_match,imputed_match,imputed_macro_match
BDCHP-1X10-HUMANHAP240S_11216501_A-b37,kHAP_Experiments,kHAP1000,TRUE,0.841286,0.980662983425414,0.993685872138911,0.986977111286504,0.999210734017364
BDCHP-1x10-HUMANHAP300v1-1_11219278_C-b37,kHAP_Experiments,kHAP1000,FALSE,NA,NA,NA,NA,NA
HumanHap300v2_A-b37,kHAP_Experiments,kHAP1000,FALSE,NA,NA,NA,NA,NA
HumanCNV370v1_C-b37,kHAP_Experiments,kHAP1000,FALSE,NA,NA,NA,NA,NA
HumanCNV370-Quadv3_C-b37,kHAP_Experiments,kHAP1000,FALSE,NA,NA,NA,NA,NA
BDCHP-1X10-HUMANHAP550_11218540_C-b37,kHAP_Experiments,kHAP1000,TRUE,0.725470338983051,0.527624309392265,0.709550118389897,0.965272296764009,0.997632202052092
HumanHap550-2v3_B-b37,kHAP_Experiments,kHAP1000,TRUE,0.700927038626609,0.523283346487766,0.705209155485399,0.961720599842147,0.993291239147593
HumanHap550v3_A-b37,kHAP_Experiments,kHAP1000,TRUE,0.701049356223176,0.523283346487766,0.705209155485399,0.963299131807419,0.993291239147593
Human610-Quadv1_B-b37,kHAP_Experiments,kHAP1000,TRUE,0.669696506550218,0.388318863456985,0.55130228887135,0.92817679558011,0.954222573007103
human610-quadv1_h-b37,kHAP_Experiments,kHAP1000,TRUE,0.670039301310044,0.388318863456985,0.55130228887135,0.927782162588792,0.954617205998421
HumanHap650Yv3_A-b37,kHAP_Experiments,kHAP1000,TRUE,0.700592274678112,0.523283346487766,0.705209155485399,0.964088397790055,0.993291239147593
Human660W-Quad_v1_A-b37,kHAP_Experiments,kHAP1000,TRUE,0.670823913043478,0.388318863456985,0.55130228887135,0.928571428571429,0.954222573007103
Human660W-Quad_v1_C-b37,kHAP_Experiments,kHAP1000,TRUE,0.670632608695652,0.388318863456985,0.55130228887135,0.92817679558011,0.953827940015785
human660w-quad_v1_h-b37,kHAP_Experiments,kHAP1000,TRUE,0.670632608695652,0.388318863456985,0.55130228887135,0.92817679558011,0.953827940015785
Human670-QuadCustom_v1_A-b37,kHAP_Experiments,kHAP1000,TRUE,0.670669565217391,0.388318863456985,0.55130228887135,0.927387529597474,0.953827940015785
HumanOmniExpress-12v1_A-b37,kHAP_Experiments,kHAP1000,FALSE,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_A-b37,kHAP_Experiments,kHAP1000,FALSE,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_B-b37,kHAP_Experiments,kHAP1000,FALSE,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_B-b37,kHAP_Experiments,kHAP1000,FALSE,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_C-b37,kHAP_Experiments,kHAP1000,FALSE,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_H-b37,kHAP_Experiments,kHAP1000,FALSE,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_J-b37,kHAP_Experiments,kHAP1000,FALSE,NA,NA,NA,NA,NA
humanomniexpress-12v1_j_ffpe-b37,kHAP_Experiments,kHAP1000,FALSE,NA,NA,NA,NA,NA
humanomniexpress-24v1-0_a-b37,kHAP_Experiments,kHAP1000,FALSE,NA,NA,NA,NA,NA
humanomniexpress-24-v1-1-a-b37,kHAP_Experiments,kHAP1000,FALSE,NA,NA,NA,NA,NA
