chip,experiment,sub_experiment,imputed,info_score,typed_match,typed_macro_match,imputed_match,imputed_macro_match
BDCHP-1X10-HUMANHAP240S_11216501_A-b37,MCMC_Experiments,MCMC1,TRUE,0.861134,0.980662983425414,0.993685872138911,0.988555643251776,0.999210734017364
BDCHP-1x10-HUMANHAP300v1-1_11219278_C-b37,MCMC_Experiments,MCMC1,FALSE,NA,NA,NA,NA,NA
HumanHap300v2_A-b37,MCMC_Experiments,MCMC1,FALSE,NA,NA,NA,NA,NA
HumanCNV370v1_C-b37,MCMC_Experiments,MCMC1,FALSE,NA,NA,NA,NA,NA
HumanCNV370-Quadv3_C-b37,MCMC_Experiments,MCMC1,FALSE,NA,NA,NA,NA,NA
BDCHP-1X10-HUMANHAP550_11218540_C-b37,MCMC_Experiments,MCMC1,TRUE,0.769625,0.527624309392265,0.709550118389897,0.971586424625099,0.997237569060773
HumanHap550-2v3_B-b37,MCMC_Experiments,MCMC1,TRUE,0.739935622317597,0.523283346487766,0.705209155485399,0.967640094711918,0.993291239147593
HumanHap550v3_A-b37,MCMC_Experiments,MCMC1,TRUE,0.739935622317597,0.523283346487766,0.705209155485399,0.967640094711918,0.993291239147593
Human610-Quadv1_B-b37,MCMC_Experiments,MCMC1,TRUE,0.713875545851528,0.388318863456985,0.55130228887135,0.932517758484609,0.95698500394633
human610-quadv1_h-b37,MCMC_Experiments,MCMC1,TRUE,0.713875545851528,0.388318863456985,0.55130228887135,0.932517758484609,0.95698500394633
HumanHap650Yv3_A-b37,MCMC_Experiments,MCMC1,TRUE,0.739935622317597,0.523283346487766,0.705209155485399,0.967640094711918,0.993291239147593
Human660W-Quad_v1_A-b37,MCMC_Experiments,MCMC1,TRUE,0.71459347826087,0.388318863456985,0.55130228887135,0.931728492501973,0.956195737963694
Human660W-Quad_v1_C-b37,MCMC_Experiments,MCMC1,TRUE,0.71459347826087,0.388318863456985,0.55130228887135,0.931728492501973,0.956195737963694
human660w-quad_v1_h-b37,MCMC_Experiments,MCMC1,TRUE,0.71459347826087,0.388318863456985,0.55130228887135,0.931728492501973,0.956195737963694
Human670-QuadCustom_v1_A-b37,MCMC_Experiments,MCMC1,TRUE,0.71495,0.388318863456985,0.55130228887135,0.931333859510655,0.95698500394633
HumanOmniExpress-12v1_A-b37,MCMC_Experiments,MCMC1,FALSE,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_A-b37,MCMC_Experiments,MCMC1,FALSE,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_B-b37,MCMC_Experiments,MCMC1,FALSE,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_B-b37,MCMC_Experiments,MCMC1,FALSE,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_C-b37,MCMC_Experiments,MCMC1,FALSE,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_H-b37,MCMC_Experiments,MCMC1,FALSE,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_J-b37,MCMC_Experiments,MCMC1,FALSE,NA,NA,NA,NA,NA
humanomniexpress-12v1_j_ffpe-b37,MCMC_Experiments,MCMC1,FALSE,NA,NA,NA,NA,NA
humanomniexpress-24v1-0_a-b37,MCMC_Experiments,MCMC1,FALSE,NA,NA,NA,NA,NA
humanomniexpress-24-v1-1-a-b37,MCMC_Experiments,MCMC1,FALSE,NA,NA,NA,NA,NA
HumanOmniExpress-24-v1-0-B-b37,MCMC_Experiments,MCMC1,FALSE,NA,NA,NA,NA,NA
InfiniumOmniExpress-24v1-2_A1-b37,MCMC_Experiments,MCMC1,FALSE,NA,NA,NA,NA,NA
HumanOmniExpressExome-8v1_A-b37,MCMC_Experiments,MCMC1,TRUE,0.746782986111111,0.481846882399369,0.497632202052092,0.866614048934491,0.925414364640884
humanomniexpressexome-8v1-0_a-b37,MCMC_Experiments,MCMC1,TRUE,0.746729166666667,0.481846882399369,0.497632202052092,0.865430149960537,0.925808997632202
HumanOmniExpressExome-8-v1-0-B-b37,MCMC_Experiments,MCMC1,TRUE,0.746684027777778,0.481846882399369,0.497632202052092,0.867403314917127,0.92620363062352
HumanOmniExpressExome-8v1-2_A-b37,MCMC_Experiments,MCMC1,TRUE,0.719494736842105,0.481846882399369,0.497632202052092,0.852801894238358,0.87490134175217
HumanOmniExpressExome-8-v1-2-B-b37,MCMC_Experiments,MCMC1,TRUE,0.719736842105263,0.481846882399369,0.497632202052092,0.849644830307814,0.871349644830308
OmniExpressExome-8v1-1_A-b37,MCMC_Experiments,MCMC1,TRUE,0.729,0.494080505130229,0.509865824782952,0.862273086029992,0.88516179952644
OmniExpressExome-8v1-1_B-b37,MCMC_Experiments,MCMC1,TRUE,0.728892794376098,0.494080505130229,0.509865824782952,0.861483820047356,0.884372533543804
HumanOmniExpressExome-8-v1-1-C-b37,MCMC_Experiments,MCMC1,TRUE,0.729107205623902,0.494080505130229,0.509865824782952,0.861089187056038,0.884767166535122
InfiniumOmniExpressExome-8v1-3_A-b37,MCMC_Experiments,MCMC1,TRUE,0.724342706502636,0.402920284135754,0.509865824782952,0.86069455406472,0.88121546961326
InfiniumOmniExpressExome-8v1-4_A1-b37,MCMC_Experiments,MCMC1,TRUE,0.720301953818828,0.390686661404893,0.406471981057616,0.876874506708761,0.89542225730071
HumanOmni25Exome-8v1_A-b37,MCMC_Experiments,MCMC1,TRUE,0.850668202764977,0.589187056037885,0.623520126282557,0.940805051302289,0.965272296764009
HumanOmni2-5Exome-8-v1-1-A-b37,MCMC_Experiments,MCMC1,TRUE,0.843174382716049,0.589187056037885,0.623520126282557,0.947119179163378,0.971586424625099
InfiniumOmni2.5Exome-8v1-2_A-b37,MCMC_Experiments,MCMC1,TRUE,0.831685534591195,0.471586424625099,0.564719810576164,0.921073401736385,0.950276243093923
InfiniumOmni2-5Exome-8v1-3_A1-b37,MCMC_Experiments,MCMC1,TRUE,0.847750385208012,0.524467245461721,0.587213891081294,0.943567482241515,0.967640094711918
HumanOmniZhongHua-8v1_B-b37,MCMC_Experiments,MCMC1,TRUE,0.444636363636364,0.0015785319652723,0.0201262825572218,0.320441988950276,0.329518547750592
humanomnizhonghua-8v1-1_a-b37,MCMC_Experiments,MCMC1,TRUE,0.384742063492063,0.0015785319652723,0.0201262825572218,0.282951854775059,0.288476716653512
HumanOmniZhongHua-8v1-2_A-b37,MCMC_Experiments,MCMC1,TRUE,0.35833734939759,0.0015785319652723,0.0201262825572218,0.252170481452249,0.255722178374112
InfiniumOmniZhongHua-8v1-3_A1-b37,MCMC_Experiments,MCMC1,TRUE,0.340368,0.0015785319652723,0.0201262825572218,0.251381215469613,0.254932912391476
InfiniumOmniZhongHua-8v1-3_A2-b37,MCMC_Experiments,MCMC1,TRUE,0.340368,0.0015785319652723,0.0201262825572218,0.251381215469613,0.254932912391476
Human1Mv1_C-b37,MCMC_Experiments,MCMC1,TRUE,0.740015021459227,0.523283346487766,0.705209155485399,0.968034727703236,0.993291239147593
Human1M-Duov3_B-b37,MCMC_Experiments,MCMC1,TRUE,0.713665938864629,0.388318863456985,0.55130228887135,0.932912391475927,0.957379636937648
Human1M-Duov3_C-b37,MCMC_Experiments,MCMC1,TRUE,0.713665938864629,0.388318863456985,0.55130228887135,0.932912391475927,0.957379636937648
human1m-duov3_h-b37,MCMC_Experiments,MCMC1,TRUE,0.7137096069869,0.388318863456985,0.55130228887135,0.931728492501973,0.956195737963694
HumanOmni1-Quad_v1-0_B-b37,MCMC_Experiments,MCMC1,TRUE,0.382016166281755,0.128650355169692,0.177584846093133,0.453827940015785,0.574585635359116
HumanOmni1-Quad_v1-0_C-b37,MCMC_Experiments,MCMC1,TRUE,0.382016166281755,0.128650355169692,0.177584846093133,0.453827940015785,0.574585635359116
HumanOmni1-Quad_v1-0_H-b37,MCMC_Experiments,MCMC1,TRUE,0.381842956120092,0.128650355169692,0.177584846093133,0.452644041041831,0.574191002367798
humanomni1-quad_v1-0-multi_h-b37,MCMC_Experiments,MCMC1,TRUE,0.381842956120092,0.128650355169692,0.177584846093133,0.452644041041831,0.574191002367798
HumanOmni1S-8v1_H-b37,MCMC_Experiments,MCMC1,TRUE,0.658758389261745,0.36266771902131,0.417127071823204,0.891081294396212,0.918310970797159
Human1-2M-DuoCustom_v1_A-b37,MCMC_Experiments,MCMC1,TRUE,0.715182608695652,0.388318863456985,0.55130228887135,0.931333859510655,0.956195737963694
HumanOmni2.5-4v1_B-b37,MCMC_Experiments,MCMC1,TRUE,0.658890380313199,0.36266771902131,0.417127071823204,0.89147592738753,0.918705603788477
HumanOmni2.5-4v1_D-b37,MCMC_Experiments,MCMC1,TRUE,0.659058165548098,0.36266771902131,0.417127071823204,0.890292028413575,0.917521704814522
HumanOmni2.5-4v1_H-b37,MCMC_Experiments,MCMC1,TRUE,0.659058165548098,0.36266771902131,0.417127071823204,0.890292028413575,0.917521704814522
HumanOmni2.5-8v1_A-b37,MCMC_Experiments,MCMC1,TRUE,0.787129943502825,0.355169692186267,0.38121546961326,0.931333859510655,0.960142067876875
HumanOmni2-5-8-v1-0-D-b37,MCMC_Experiments,MCMC1,TRUE,0.787516007532957,0.355169692186267,0.38121546961326,0.92817679558011,0.95895816890292
HumanOmni25-8v1-1_A-b37,MCMC_Experiments,MCMC1,TRUE,0.772908571428571,0.355169692186267,0.38121546961326,0.92817679558011,0.953038674033149
HumanOmni2-5-8-v1-2-A-b37,MCMC_Experiments,MCMC1,TRUE,0.676856299212598,0.326361483820047,0.364246250986582,0.866614048934491,0.916337805840568
humanomni25m-8v1-1_b-b37,MCMC_Experiments,MCMC1,TRUE,0.772948571428571,0.355169692186267,0.38121546961326,0.928966061562747,0.953827940015785
HumanOmni2.5-8v1_C-b37,MCMC_Experiments,MCMC1,TRUE,0.787416195856874,0.355169692186267,0.38121546961326,0.928571428571429,0.959747434885556
HumanOmni2-5-8-v1-1-C-b37,MCMC_Experiments,MCMC1,TRUE,0.772948571428571,0.355169692186267,0.38121546961326,0.928966061562747,0.953827940015785
