"","Individual","WGS","chip","typed","imputed","match.t","match.i"
"1","HG00096","H","humanomnizhonghua-8v1-1_a-b37","unclassified","unclassified",FALSE,FALSE
"2","HG00097","T","humanomnizhonghua-8v1-1_a-b37","JT","JT",FALSE,FALSE
"3","HG00099","H","humanomnizhonghua-8v1-1_a-b37","unclassified","unclassified",FALSE,FALSE
"4","HG00100","X2","humanomnizhonghua-8v1-1_a-b37","unclassified","unclassified",FALSE,FALSE
"5","HG00101","J","humanomnizhonghua-8v1-1_a-b37","JT","JT",FALSE,FALSE
"6","HG00102","H","humanomnizhonghua-8v1-1_a-b37","unclassified","unclassified",FALSE,FALSE
"7","HG00103","J","humanomnizhonghua-8v1-1_a-b37","JT","JT",FALSE,FALSE
"8","HG00105","H","humanomnizhonghua-8v1-1_a-b37","unclassified","unclassified",FALSE,FALSE
"9","HG00106","J","humanomnizhonghua-8v1-1_a-b37","JT","JT",FALSE,FALSE
"10","HG00107","J","humanomnizhonghua-8v1-1_a-b37","JT","JT",FALSE,FALSE
"11","HG00108","X2","humanomnizhonghua-8v1-1_a-b37","unclassified","unclassified",FALSE,FALSE
"12","HG00109","U","humanomnizhonghua-8v1-1_a-b37","unclassified","unclassified",FALSE,FALSE
"13","HG00110","H","humanomnizhonghua-8v1-1_a-b37","unclassified","unclassified",FALSE,FALSE
"14","HG00111","H","humanomnizhonghua-8v1-1_a-b37","unclassified","unclassified",FALSE,FALSE
"15","HG00112","H","humanomnizhonghua-8v1-1_a-b37","unclassified","unclassified",FALSE,FALSE
"16","HG00113","X2","humanomnizhonghua-8v1-1_a-b37","unclassified","unclassified",FALSE,FALSE
"17","HG00114","U","humanomnizhonghua-8v1-1_a-b37","unclassified","unclassified",FALSE,FALSE
"18","HG00115","T","humanomnizhonghua-8v1-1_a-b37","JT","JT",FALSE,FALSE
"19","HG00116","U","humanomnizhonghua-8v1-1_a-b37","unclassified","unclassified",FALSE,FALSE
"20","HG00117","J","humanomnizhonghua-8v1-1_a-b37","JT","JT",FALSE,FALSE
"21","HG00118","H","humanomnizhonghua-8v1-1_a-b37","unclassified","unclassified",FALSE,FALSE
"22","HG00119","T1","humanomnizhonghua-8v1-1_a-b37","JT","JT",FALSE,FALSE
"23","HG00120","J","humanomnizhonghua-8v1-1_a-b37","JT","JT",FALSE,FALSE
"24","HG00121","K1","humanomnizhonghua-8v1-1_a-b37","unclassified","unclassified",FALSE,FALSE
"25","HG00122","U","humanomnizhonghua-8v1-1_a-b37","unclassified","unclassified",FALSE,FALSE
"26","HG00123","H2a","humanomnizhonghua-8v1-1_a-b37","unclassified","unclassified",FALSE,FALSE
"27","HG00124","I","humanomnizhonghua-8v1-1_a-b37","unclassified","unclassified",FALSE,FALSE
"28","HG00125","H","humanomnizhonghua-8v1-1_a-b37","unclassified","unclassified",FALSE,FALSE
"29","HG00126","H","humanomnizhonghua-8v1-1_a-b37","unclassified","unclassified",FALSE,FALSE
"30","HG00127","H2a2a","humanomnizhonghua-8v1-1_a-b37","unclassified","unclassified",FALSE,FALSE
"31","HG00128","K","humanomnizhonghua-8v1-1_a-b37","unclassified","unclassified",FALSE,FALSE
"32","HG00129","H","humanomnizhonghua-8v1-1_a-b37","unclassified","unclassified",FALSE,FALSE
"33","HG00130","X2","humanomnizhonghua-8v1-1_a-b37","unclassified","unclassified",FALSE,FALSE
"34","HG00131","H2a2a","humanomnizhonghua-8v1-1_a-b37","unclassified","unclassified",FALSE,FALSE
"35","HG00132","U","humanomnizhonghua-8v1-1_a-b37","unclassified","unclassified",FALSE,FALSE
"36","HG00133","H","humanomnizhonghua-8v1-1_a-b37","unclassified","unclassified",FALSE,FALSE
"37","HG00136","T","humanomnizhonghua-8v1-1_a-b37","JT","JT",FALSE,FALSE
"38","HG00137","H","humanomnizhonghua-8v1-1_a-b37","unclassified","unclassified",FALSE,FALSE
"39","HG00138","H","humanomnizhonghua-8v1-1_a-b37","unclassified","unclassified",FALSE,FALSE
"40","HG00139","H","humanomnizhonghua-8v1-1_a-b37","unclassified","unclassified",FALSE,FALSE
"41","HG00140","H","humanomnizhonghua-8v1-1_a-b37","unclassified","unclassified",FALSE,FALSE
"42","HG00141","T","humanomnizhonghua-8v1-1_a-b37","JT","JT",FALSE,FALSE
"43","HG00142","U","humanomnizhonghua-8v1-1_a-b37","unclassified","unclassified",FALSE,FALSE
"44","HG00143","H","humanomnizhonghua-8v1-1_a-b37","unclassified","unclassified",FALSE,FALSE
"45","HG00145","U","humanomnizhonghua-8v1-1_a-b37","unclassified","unclassified",FALSE,FALSE
"46","HG00146","U","humanomnizhonghua-8v1-1_a-b37","unclassified","unclassified",FALSE,FALSE
"47","HG00148","W","humanomnizhonghua-8v1-1_a-b37","unclassified","unclassified",FALSE,FALSE
"48","HG00149","H","humanomnizhonghua-8v1-1_a-b37","unclassified","unclassified",FALSE,FALSE
