"","Individual","WGS","chip","typed","imputed","match.t","match.i"
"1","HG00096","H","HumanOmniExpressExome-8-v1-0-B-b37","H","H",TRUE,TRUE
"2","HG00097","T","HumanOmniExpressExome-8-v1-0-B-b37","T","T1",TRUE,FALSE
"3","HG00099","H","HumanOmniExpressExome-8-v1-0-B-b37","H","H",TRUE,TRUE
"4","HG00100","X2","HumanOmniExpressExome-8-v1-0-B-b37","N","N",FALSE,FALSE
"5","HG00101","J","HumanOmniExpressExome-8-v1-0-B-b37","J","J",TRUE,TRUE
"6","HG00102","H","HumanOmniExpressExome-8-v1-0-B-b37","H","H",TRUE,TRUE
"7","HG00103","J","HumanOmniExpressExome-8-v1-0-B-b37","J","J",TRUE,TRUE
"8","HG00105","H","HumanOmniExpressExome-8-v1-0-B-b37","H","H",TRUE,TRUE
"9","HG00106","J","HumanOmniExpressExome-8-v1-0-B-b37","J","J",TRUE,TRUE
"10","HG00107","J","HumanOmniExpressExome-8-v1-0-B-b37","J","J",TRUE,TRUE
"11","HG00108","X2","HumanOmniExpressExome-8-v1-0-B-b37","N","N",FALSE,FALSE
"12","HG00109","U","HumanOmniExpressExome-8-v1-0-B-b37","U","U",TRUE,TRUE
"13","HG00110","H","HumanOmniExpressExome-8-v1-0-B-b37","H","H",TRUE,TRUE
"14","HG00111","H","HumanOmniExpressExome-8-v1-0-B-b37","H","H",TRUE,TRUE
"15","HG00112","H","HumanOmniExpressExome-8-v1-0-B-b37","H","H",TRUE,TRUE
"16","HG00113","X2","HumanOmniExpressExome-8-v1-0-B-b37","N","N",FALSE,FALSE
"17","HG00114","U","HumanOmniExpressExome-8-v1-0-B-b37","U","U",TRUE,TRUE
"18","HG00115","T","HumanOmniExpressExome-8-v1-0-B-b37","T","T1",TRUE,FALSE
"19","HG00116","U","HumanOmniExpressExome-8-v1-0-B-b37","U","U",TRUE,TRUE
"20","HG00117","J","HumanOmniExpressExome-8-v1-0-B-b37","J","J",TRUE,TRUE
"21","HG00118","H","HumanOmniExpressExome-8-v1-0-B-b37","H","H",TRUE,TRUE
"22","HG00119","T1","HumanOmniExpressExome-8-v1-0-B-b37","T","T1",FALSE,TRUE
"23","HG00120","J","HumanOmniExpressExome-8-v1-0-B-b37","J","J",TRUE,TRUE
"24","HG00121","K1","HumanOmniExpressExome-8-v1-0-B-b37","K1","K1",TRUE,TRUE
"25","HG00122","U","HumanOmniExpressExome-8-v1-0-B-b37","U","U",TRUE,TRUE
"26","HG00123","H2a","HumanOmniExpressExome-8-v1-0-B-b37","H2","H2a",FALSE,TRUE
"27","HG00124","I","HumanOmniExpressExome-8-v1-0-B-b37","L3","I",FALSE,TRUE
"28","HG00125","H","HumanOmniExpressExome-8-v1-0-B-b37","H","H",TRUE,TRUE
"29","HG00126","H","HumanOmniExpressExome-8-v1-0-B-b37","H","H",TRUE,TRUE
"30","HG00127","H2a2a","HumanOmniExpressExome-8-v1-0-B-b37","H2a2a","H2a2a",TRUE,TRUE
"31","HG00128","K","HumanOmniExpressExome-8-v1-0-B-b37","U","K",FALSE,TRUE
"32","HG00129","H","HumanOmniExpressExome-8-v1-0-B-b37","H","H",TRUE,TRUE
"33","HG00130","X2","HumanOmniExpressExome-8-v1-0-B-b37","N","N",FALSE,FALSE
"34","HG00131","H2a2a","HumanOmniExpressExome-8-v1-0-B-b37","H2a2a","H2a2a",TRUE,TRUE
"35","HG00132","U","HumanOmniExpressExome-8-v1-0-B-b37","U","U",TRUE,TRUE
"36","HG00133","H","HumanOmniExpressExome-8-v1-0-B-b37","H","H",TRUE,TRUE
"37","HG00136","T","HumanOmniExpressExome-8-v1-0-B-b37","T","T1",TRUE,FALSE
"38","HG00137","H","HumanOmniExpressExome-8-v1-0-B-b37","H","H",TRUE,TRUE
"39","HG00138","H","HumanOmniExpressExome-8-v1-0-B-b37","H","H",TRUE,TRUE
"40","HG00139","H","HumanOmniExpressExome-8-v1-0-B-b37","H","H",TRUE,TRUE
"41","HG00140","H","HumanOmniExpressExome-8-v1-0-B-b37","H","H",TRUE,TRUE
"42","HG00141","T","HumanOmniExpressExome-8-v1-0-B-b37","T","T1",TRUE,FALSE
"43","HG00142","U","HumanOmniExpressExome-8-v1-0-B-b37","U","U",TRUE,TRUE
"44","HG00143","H","HumanOmniExpressExome-8-v1-0-B-b37","H","H",TRUE,TRUE
"45","HG00145","U","HumanOmniExpressExome-8-v1-0-B-b37","U","U",TRUE,TRUE
"46","HG00146","U","HumanOmniExpressExome-8-v1-0-B-b37","U","U",TRUE,TRUE
"47","HG00148","W","HumanOmniExpressExome-8-v1-0-B-b37","N","W",FALSE,TRUE
"48","HG00149","H","HumanOmniExpressExome-8-v1-0-B-b37","H","H",TRUE,TRUE
"49","HG00150","H","HumanOmniExpressExome-8-v1-0-B-b37","H","H",TRUE,TRUE
"50","HG00151","H","HumanOmniExpressExome-8-v1-0-B-b37","H","H",TRUE,TRUE
"51","HG00154","I","HumanOmniExpressExome-8-v1-0-B-b37","L3","I",FALSE,TRUE
"52","HG00155","U","HumanOmniExpressExome-8-v1-0-B-b37","U","U",TRUE,TRUE
"53","HG00157","H","HumanOmniExpressExome-8-v1-0-B-b37","H","H",TRUE,TRUE
"54","HG00158","H","HumanOmniExpressExome-8-v1-0-B-b37","H","H",TRUE,TRUE
"55","HG00159","H","HumanOmniExpressExome-8-v1-0-B-b37","H","H",TRUE,TRUE
"56","HG00160","R","HumanOmniExpressExome-8-v1-0-B-b37","N","R",FALSE,TRUE
"57","HG00171","V","HumanOmniExpressExome-8-v1-0-B-b37","N","V",FALSE,TRUE
"58","HG00173","U","HumanOmniExpressExome-8-v1-0-B-b37","U","U",TRUE,TRUE
"59","HG00174","U","HumanOmniExpressExome-8-v1-0-B-b37","U","U",TRUE,TRUE
"60","HG00176","U","HumanOmniExpressExome-8-v1-0-B-b37","U","U",TRUE,TRUE
"61","HG00177","K1","HumanOmniExpressExome-8-v1-0-B-b37","K1","K1",TRUE,TRUE
"62","HG00178","H","HumanOmniExpressExome-8-v1-0-B-b37","H","H",TRUE,TRUE
"63","HG00179","H","HumanOmniExpressExome-8-v1-0-B-b37","H","H",TRUE,TRUE
"64","HG00180","H","HumanOmniExpressExome-8-v1-0-B-b37","H","H",TRUE,TRUE
"65","HG00181","U","HumanOmniExpressExome-8-v1-0-B-b37","U","U",TRUE,TRUE
"66","HG00182","H","HumanOmniExpressExome-8-v1-0-B-b37","H","H",TRUE,TRUE
"67","HG00183","H","HumanOmniExpressExome-8-v1-0-B-b37","H","H",TRUE,TRUE
"68","HG00185","K1","HumanOmniExpressExome-8-v1-0-B-b37","K1","K1",TRUE,TRUE
