"","Individual","WGS","chip","typed","imputed","match.t","match.i"
"1","HG00096","H","HumanOmni2.5-4v1_H-b37","R","H",FALSE,TRUE
"2","HG00097","T","HumanOmni2.5-4v1_H-b37","T","T1",TRUE,FALSE
"3","HG00099","H","HumanOmni2.5-4v1_H-b37","R","H",FALSE,TRUE
"4","HG00100","X2","HumanOmni2.5-4v1_H-b37","N","N",FALSE,FALSE
"5","HG00101","J","HumanOmni2.5-4v1_H-b37","unclassified","J",FALSE,TRUE
"6","HG00102","H","HumanOmni2.5-4v1_H-b37","R","H",FALSE,TRUE
"7","HG00103","J","HumanOmni2.5-4v1_H-b37","unclassified","J",FALSE,TRUE
"8","HG00105","H","HumanOmni2.5-4v1_H-b37","R","H",FALSE,TRUE
"9","HG00106","J","HumanOmni2.5-4v1_H-b37","unclassified","J",FALSE,TRUE
"10","HG00107","J","HumanOmni2.5-4v1_H-b37","unclassified","J",FALSE,TRUE
"11","HG00108","X2","HumanOmni2.5-4v1_H-b37","N","N",FALSE,FALSE
"12","HG00109","U","HumanOmni2.5-4v1_H-b37","U","U",TRUE,TRUE
"13","HG00110","H","HumanOmni2.5-4v1_H-b37","R","H",FALSE,TRUE
"14","HG00111","H","HumanOmni2.5-4v1_H-b37","R","H",FALSE,TRUE
"15","HG00112","H","HumanOmni2.5-4v1_H-b37","R","H",FALSE,TRUE
"16","HG00113","X2","HumanOmni2.5-4v1_H-b37","N","N",FALSE,FALSE
"17","HG00114","U","HumanOmni2.5-4v1_H-b37","U","U",TRUE,TRUE
"18","HG00115","T","HumanOmni2.5-4v1_H-b37","T","T",TRUE,TRUE
"19","HG00116","U","HumanOmni2.5-4v1_H-b37","U","U",TRUE,TRUE
"20","HG00117","J","HumanOmni2.5-4v1_H-b37","unclassified","J",FALSE,TRUE
"21","HG00118","H","HumanOmni2.5-4v1_H-b37","R","H",FALSE,TRUE
"22","HG00119","T1","HumanOmni2.5-4v1_H-b37","T","T1",FALSE,TRUE
"23","HG00120","J","HumanOmni2.5-4v1_H-b37","unclassified","J",FALSE,TRUE
"24","HG00121","K1","HumanOmni2.5-4v1_H-b37","K1","K1",TRUE,TRUE
"25","HG00122","U","HumanOmni2.5-4v1_H-b37","U","U",TRUE,TRUE
"26","HG00123","H2a","HumanOmni2.5-4v1_H-b37","H2","H2a",FALSE,TRUE
"27","HG00124","I","HumanOmni2.5-4v1_H-b37","unclassified","I",FALSE,TRUE
"28","HG00125","H","HumanOmni2.5-4v1_H-b37","R","H",FALSE,TRUE
"29","HG00126","H","HumanOmni2.5-4v1_H-b37","R","H",FALSE,TRUE
"30","HG00127","H2a2a","HumanOmni2.5-4v1_H-b37","H2","H2a",FALSE,FALSE
"31","HG00128","K","HumanOmni2.5-4v1_H-b37","K","K",TRUE,TRUE
"32","HG00129","H","HumanOmni2.5-4v1_H-b37","R","H",FALSE,TRUE
"33","HG00130","X2","HumanOmni2.5-4v1_H-b37","N","N",FALSE,FALSE
"34","HG00131","H2a2a","HumanOmni2.5-4v1_H-b37","H2","H2a",FALSE,FALSE
"35","HG00132","U","HumanOmni2.5-4v1_H-b37","U","U",TRUE,TRUE
"36","HG00133","H","HumanOmni2.5-4v1_H-b37","R","H",FALSE,TRUE
"37","HG00136","T","HumanOmni2.5-4v1_H-b37","T","T",TRUE,TRUE
"38","HG00137","H","HumanOmni2.5-4v1_H-b37","R","H",FALSE,TRUE
"39","HG00138","H","HumanOmni2.5-4v1_H-b37","R","H",FALSE,TRUE
"40","HG00139","H","HumanOmni2.5-4v1_H-b37","R","H",FALSE,TRUE
"41","HG00140","H","HumanOmni2.5-4v1_H-b37","R","H",FALSE,TRUE
"42","HG00141","T","HumanOmni2.5-4v1_H-b37","T","T",TRUE,TRUE
"43","HG00142","U","HumanOmni2.5-4v1_H-b37","U","U",TRUE,TRUE
"44","HG00143","H","HumanOmni2.5-4v1_H-b37","R","H",FALSE,TRUE
"45","HG00145","U","HumanOmni2.5-4v1_H-b37","U","U",TRUE,TRUE
"46","HG00146","U","HumanOmni2.5-4v1_H-b37","U","U",TRUE,TRUE
