array,kHAP,imputed,SNP.Ref.Only,SNP.Ref.Samp,SNP.Samp.Only,TOTAL,Retained.After.Filt,Typed.hg.Conc,Imputed.hg.Conc
BDCHP-1X10-HUMANHAP240S_11216501_A-b37,500,TRUE,198,229,73,500,476,0.980662983425414,0.988555643251776
BDCHP-1x10-HUMANHAP300v1-1_11219278_C-b37,500,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanHap300v2_A-b37,500,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanCNV370v1_C-b37,500,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanCNV370-Quadv3_C-b37,500,FALSE,NA,NA,NA,NA,NA,NA,NA
BDCHP-1X10-HUMANHAP550_11218540_C-b37,500,TRUE,306,121,45,472,420,0.528413575374901,0.980662983425414
HumanHap550-2v3_B-b37,500,TRUE,312,115,39,466,399,0.524072612470402,0.977900552486188
HumanHap550v3_A-b37,500,TRUE,312,115,39,466,400,0.524072612470402,0.977900552486188
Human610-Quadv1_B-b37,500,TRUE,337,90,31,458,380,0.389108129439621,0.929755327545383
human610-quadv1_h-b37,500,TRUE,337,90,31,458,380,0.389108129439621,0.929755327545383
HumanHap650Yv3_A-b37,500,TRUE,312,115,39,466,399,0.524072612470402,0.977900552486188
Human660W-Quad_v1_A-b37,500,TRUE,339,88,33,460,381,0.389108129439621,0.941594317284925
Human660W-Quad_v1_C-b37,500,TRUE,339,88,33,460,383,0.389108129439621,0.931728492501973
human660w-quad_v1_h-b37,500,TRUE,339,88,33,460,383,0.389108129439621,0.931728492501973
Human670-QuadCustom_v1_A-b37,500,TRUE,339,88,33,460,383,0.389108129439621,0.931728492501973
HumanOmniExpress-12v1_A-b37,500,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_A-b37,500,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_B-b37,500,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_B-b37,500,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_C-b37,500,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_H-b37,500,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_J-b37,500,FALSE,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-12v1_j_ffpe-b37,500,FALSE,NA,NA,NA,NA,NA,NA,NA
