array,kHAP,imputed,SNP.Ref.Only,SNP.Ref.Samp,SNP.Samp.Only,TOTAL,Retained.After.Filt,Typed.hg.Conc,Imputed.hg.Conc
BDCHP-1X10-HUMANHAP240S_11216501_A-b37,1000,TRUE,198,229,73,500,467,0.990528808208366,0.997237569060773
BDCHP-1x10-HUMANHAP300v1-1_11219278_C-b37,1000,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanHap300v2_A-b37,1000,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanCNV370v1_C-b37,1000,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanCNV370-Quadv3_C-b37,1000,FALSE,NA,NA,NA,NA,NA,NA,NA
BDCHP-1X10-HUMANHAP550_11218540_C-b37,1000,TRUE,306,121,45,472,399,0.534727703235991,0.975532754538279
HumanHap550-2v3_B-b37,1000,TRUE,312,115,39,466,378,0.524072612470402,0.971981057616417
HumanHap550v3_A-b37,1000,TRUE,312,115,39,466,378,0.524072612470402,0.973559589581689
Human610-Quadv1_B-b37,1000,TRUE,337,90,31,458,362,0.389108129439621,0.938042620363062
human610-quadv1_h-b37,1000,TRUE,337,90,31,458,362,0.389108129439621,0.937647987371744
HumanHap650Yv3_A-b37,1000,TRUE,312,115,39,466,378,0.524072612470402,0.973954222573007
Human660W-Quad_v1_A-b37,1000,TRUE,339,88,33,460,362,0.389108129439621,0.938831886345698
Human660W-Quad_v1_C-b37,1000,TRUE,339,88,33,460,362,0.389108129439621,0.93843725335438
human660w-quad_v1_h-b37,1000,TRUE,339,88,33,460,362,0.389108129439621,0.93843725335438
Human670-QuadCustom_v1_A-b37,1000,TRUE,339,88,33,460,361,0.389108129439621,0.937647987371744
HumanOmniExpress-12v1_A-b37,1000,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_A-b37,1000,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_B-b37,1000,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_B-b37,1000,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_C-b37,1000,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_H-b37,1000,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_J-b37,1000,FALSE,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-12v1_j_ffpe-b37,1000,FALSE,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-24v1-0_a-b37,1000,FALSE,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-24-v1-1-a-b37,1000,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-24-v1-0-B-b37,1000,FALSE,NA,NA,NA,NA,NA,NA,NA
InfiniumOmniExpress-24v1-2_A1-b37,1000,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpressExome-8v1_A-b37,1000,TRUE,355,72,149,576,473,0.490923441199684,0.861089187056038
humanomniexpressexome-8v1-0_a-b37,1000,TRUE,355,72,149,576,473,0.490923441199684,0.861878453038674
HumanOmniExpressExome-8-v1-0-B-b37,1000,TRUE,355,72,149,576,473,0.490923441199684,0.863851617995264
HumanOmniExpressExome-8v1-2_A-b37,1000,TRUE,359,68,143,570,455,0.513812154696133,0.86266771902131
