array,kHAP,imputed,SNP.Ref.Only,SNP.Ref.Samp,SNP.Samp.Only,TOTAL,Retained.After.Filt,Typed.hg.Conc,Imputed.hg.Conc
BDCHP-1X10-HUMANHAP240S_11216501_A-b37,100,TRUE,198,229,73,500,492,0.98973954222573,0.998421468034728
BDCHP-1x10-HUMANHAP300v1-1_11219278_C-b37,100,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanHap300v2_A-b37,100,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanCNV370v1_C-b37,100,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanCNV370-Quadv3_C-b37,100,FALSE,NA,NA,NA,NA,NA,NA,NA
BDCHP-1X10-HUMANHAP550_11218540_C-b37,100,TRUE,306,121,45,472,441,0.527624309392265,0.972770323599053
HumanHap550-2v3_B-b37,100,TRUE,312,115,39,466,428,0.524072612470402,0.970007892659826
HumanHap550v3_A-b37,100,TRUE,312,115,39,466,429,0.523283346487766,0.970007892659826
Human610-Quadv1_B-b37,100,TRUE,337,90,31,458,411,0.388318863456985,0.932517758484609
human610-quadv1_h-b37,100,TRUE,337,90,31,458,411,0.388318863456985,0.93646408839779
HumanHap650Yv3_A-b37,100,TRUE,312,115,39,466,428,0.523283346487766,0.970007892659826
Human660W-Quad_v1_A-b37,100,TRUE,339,88,33,460,414,0.388318863456985,0.937253354380426
Human660W-Quad_v1_C-b37,100,TRUE,339,88,33,460,414,0.388318863456985,0.937253354380426
human660w-quad_v1_h-b37,100,TRUE,339,88,33,460,411,0.388318863456985,0.934885556432518
Human670-QuadCustom_v1_A-b37,100,TRUE,339,88,33,460,411,0.388318863456985,0.934885556432518
HumanOmniExpress-12v1_A-b37,100,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_A-b37,100,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_B-b37,100,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_B-b37,100,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_C-b37,100,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_H-b37,100,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_J-b37,100,FALSE,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-12v1_j_ffpe-b37,100,FALSE,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-24v1-0_a-b37,100,FALSE,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-24-v1-1-a-b37,100,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-24-v1-0-B-b37,100,FALSE,NA,NA,NA,NA,NA,NA,NA
