array,MCMC,imputed,SNP.Ref.Only,SNP.Ref.Samp,SNP.Samp.Only,TOTAL,Retained.After.Filt,Typed.hg.Conc,Imputed.hg.Conc
BDCHP-1X10-HUMANHAP240S_11216501_A-b37,5,TRUE,198,229,73,500,472,0.989739542,0.997632202
BDCHP-1x10-HUMANHAP300v1-1_11219278_C-b37,5,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanHap300v2_A-b37,5,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanCNV370v1_C-b37,5,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanCNV370-Quadv3_C-b37,5,FALSE,NA,NA,NA,NA,NA,NA,NA
BDCHP-1X10-HUMANHAP550_11218540_C-b37,5,TRUE,306,121,45,472,418,0.528413575,0.980662983
HumanHap550-2v3_B-b37,5,TRUE,312,115,39,466,399,0.524072612,0.977900552
HumanHap550v3_A-b37,5,TRUE,312,115,39,466,399,0.524072612,0.977900552
Human610-Quadv1_B-b37,5,TRUE,337,90,31,458,380,0.389108129,0.932517758
human610-quadv1_h-b37,5,TRUE,337,90,31,458,380,0.389108129,0.932517758
HumanHap650Yv3_A-b37,5,TRUE,312,115,39,466,398,0.524072612,0.977900552
Human660W-Quad_v1_A-b37,5,TRUE,339,88,33,460,382,0.389108129,0.932123125
Human660W-Quad_v1_C-b37,5,TRUE,339,88,33,460,382,0.389108129,0.932123125
human660w-quad_v1_h-b37,5,TRUE,339,88,33,460,382,0.389108129,0.932123125
Human670-QuadCustom_v1_A-b37,5,TRUE,339,88,33,460,382,0.389108129,0.932123125
HumanOmniExpress-12v1_A-b37,5,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_A-b37,5,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_B-b37,5,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_B-b37,5,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_C-b37,5,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_H-b37,5,FALSE,NA,NA,NA,NA,NA,NA,NA
