array,kHAP,imputed,SNP.Ref.Only,SNP.Ref.Samp,SNP.Samp.Only,TOTAL,Retained.After.Filt,Typed.hg.Conc,Imputed.hg.Conc
BDCHP-1X10-HUMANHAP240S_11216501_A-b37,2500,TRUE,198,229,73,500,436,0.996842936069455,0.994080505130229
BDCHP-1x10-HUMANHAP300v1-1_11219278_C-b37,2500,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanHap300v2_A-b37,2500,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanCNV370v1_C-b37,2500,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanCNV370-Quadv3_C-b37,2500,FALSE,NA,NA,NA,NA,NA,NA,NA
BDCHP-1X10-HUMANHAP550_11218540_C-b37,2500,TRUE,306,121,45,472,357,0.534727703235991,0.973954222573007
HumanHap550-2v3_B-b37,2500,TRUE,312,115,39,466,340,0.530386740331492,0.972375690607735
HumanHap550v3_A-b37,2500,TRUE,312,115,39,466,340,0.530386740331492,0.972375690607735
Human610-Quadv1_B-b37,2500,TRUE,337,90,31,458,318,0.389108129439621,0.895027624309392
human610-quadv1_h-b37,2500,TRUE,337,90,31,458,317,0.389108129439621,0.896606156274665
HumanHap650Yv3_A-b37,2500,TRUE,312,115,39,466,340,0.530386740331492,0.972375690607735
Human660W-Quad_v1_A-b37,2500,TRUE,339,88,33,460,317,0.389108129439621,0.896211523283347
Human660W-Quad_v1_C-b37,2500,TRUE,339,88,33,460,318,0.389108129439621,0.895027624309392
human660w-quad_v1_h-b37,2500,TRUE,339,88,33,460,318,0.389108129439621,0.895027624309392
Human670-QuadCustom_v1_A-b37,2500,TRUE,339,88,33,460,318,0.389108129439621,0.895027624309392
HumanOmniExpress-12v1_A-b37,2500,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_A-b37,2500,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_B-b37,2500,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_B-b37,2500,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_C-b37,2500,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_H-b37,2500,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_J-b37,2500,FALSE,NA,NA,NA,NA,NA,NA,NA
