array,MCMC,imputed,SNP.Ref.Only,SNP.Ref.Samp,SNP.Samp.Only,TOTAL,Retained.After.Filt,Typed.hg.Conc,Imputed.hg.Conc
BDCHP-1X10-HUMANHAP240S_11216501_A-b37,20,TRUE,198,229,73,500,476,0.980662983,0.988555643
BDCHP-1x10-HUMANHAP300v1-1_11219278_C-b37,20,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanHap300v2_A-b37,20,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanCNV370v1_C-b37,20,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanCNV370-Quadv3_C-b37,20,FALSE,NA,NA,NA,NA,NA,NA,NA
BDCHP-1X10-HUMANHAP550_11218540_C-b37,20,TRUE,306,121,45,472,418,0.528413575,0.981057616
HumanHap550-2v3_B-b37,20,TRUE,312,115,39,466,399,0.524072612,0.977900552
HumanHap550v3_A-b37,20,TRUE,312,115,39,466,399,0.524072612,0.977900552
Human610-Quadv1_B-b37,20,TRUE,337,90,31,458,380,0.389108129,0.932912391
human610-quadv1_h-b37,20,TRUE,337,90,31,458,380,0.389108129,0.932123125
HumanHap650Yv3_A-b37,20,TRUE,312,115,39,466,399,0.524072612,0.977505919
Human660W-Quad_v1_A-b37,20,TRUE,339,88,33,460,382,0.389108129,0.932912391
Human660W-Quad_v1_C-b37,20,TRUE,339,88,33,460,382,0.389108129,0.930939227
human660w-quad_v1_h-b37,20,TRUE,339,88,33,460,382,0.389108129,0.931728493
Human670-QuadCustom_v1_A-b37,20,TRUE,339,88,33,460,382,0.389108129,0.93409629
HumanOmniExpress-12v1_A-b37,20,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_A-b37,20,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_B-b37,20,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_B-b37,20,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_C-b37,20,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_H-b37,20,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_J-b37,20,FALSE,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-12v1_j_ffpe-b37,20,FALSE,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-24v1-0_a-b37,20,FALSE,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-24-v1-1-a-b37,20,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-24-v1-0-B-b37,20,FALSE,NA,NA,NA,NA,NA,NA,NA
InfiniumOmniExpress-24v1-2_A1-b37,20,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpressExome-8v1_A-b37,20,TRUE,355,72,149,576,498,0.490923441,0.867403315
humanomniexpressexome-8v1-0_a-b37,20,TRUE,355,72,149,576,498,0.490923441,0.867403315
HumanOmniExpressExome-8-v1-0-B-b37,20,TRUE,355,72,149,576,498,0.490923441,0.867008682
HumanOmniExpressExome-8v1-2_A-b37,20,TRUE,359,68,143,570,471,0.490923441,0.862273086
HumanOmniExpressExome-8-v1-2-B-b37,20,TRUE,359,68,143,570,471,0.490923441,0.862273086
OmniExpressExome-8v1-1_A-b37,20,TRUE,358,69,142,569,476,0.503157064,0.871744278
OmniExpressExome-8v1-1_B-b37,20,TRUE,358,69,142,569,476,0.503157064,0.871744278
HumanOmniExpressExome-8-v1-1-C-b37,20,TRUE,358,69,142,569,477,0.503157064,0.871744278
InfiniumOmniExpressExome-8v1-3_A-b37,20,TRUE,358,69,142,569,470,0.411996843,0.870560379
InfiniumOmniExpressExome-8v1-4_A1-b37,20,TRUE,358,69,136,563,459,0.39976322,0.888713496
HumanOmni25Exome-8v1_A-b37,20,TRUE,296,131,224,651,608,0.598263615,0.950276243
HumanOmni2-5Exome-8-v1-1-A-b37,20,TRUE,297,130,221,648,604,0.589187056,0.949092344
InfiniumOmni2.5Exome-8v1-2_A-b37,20,TRUE,312,115,209,636,585,0.471586425,0.920678769
InfiniumOmni2-5Exome-8v1-3_A1-b37,20,TRUE,298,129,222,649,607,0.524467245,0.94198895
HumanOmniZhongHua-8v1_B-b37,20,TRUE,389,38,79,506,267,0.06866614,0.669297553
humanomnizhonghua-8v1-1_a-b37,20,TRUE,392,35,77,504,213,0.668508287,0.783346488
HumanOmniZhongHua-8v1-2_A-b37,20,TRUE,398,29,71,498,198,0.668508287,0.778610892
InfiniumOmniZhongHua-8v1-3_A1-b37,20,TRUE,401,26,73,500,186,0.668508287,0.775453828
InfiniumOmniZhongHua-8v1-3_A2-b37,20,TRUE,401,26,73,500,186,0.668508287,0.775453828
Human1Mv1_C-b37,20,TRUE,312,115,39,466,400,0.524072612,0.977900552
Human1M-Duov3_B-b37,20,TRUE,337,90,31,458,381,0.389108129,0.931728493
Human1M-Duov3_C-b37,20,TRUE,337,90,31,458,379,0.389108129,0.932123125
human1m-duov3_h-b37,20,TRUE,337,90,31,458,380,0.389108129,0.932517758
HumanOmni1-Quad_v1-0_B-b37,20,TRUE,409,18,6,433,205,0.129044988,0.521704815
HumanOmni1-Quad_v1-0_C-b37,20,TRUE,409,18,6,433,205,0.129044988,0.521704815
HumanOmni1-Quad_v1-0_H-b37,20,TRUE,409,18,6,433,205,0.129044988,0.521704815
humanomni1-quad_v1-0-multi_h-b37,20,TRUE,409,18,6,433,205,0.129044988,0.521704815
HumanOmni1S-8v1_H-b37,20,TRUE,363,64,20,447,350,0.362667719,0.906077348
Human1-2M-DuoCustom_v1_A-b37,20,TRUE,339,88,33,460,382,0.389108129,0.932912391
HumanOmni2.5-4v1_B-b37,20,TRUE,363,64,20,447,350,0.362667719,0.906077348
HumanOmni2.5-4v1_D-b37,20,TRUE,363,64,20,447,350,0.362667719,0.906077348
HumanOmni2.5-4v1_H-b37,20,TRUE,363,64,20,447,350,0.362667719,0.906866614
HumanOmni2.5-8v1_A-b37,20,TRUE,324,103,104,531,480,0.355169692,0.942383583
HumanOmni2-5-8-v1-0-D-b37,20,TRUE,324,103,104,531,480,0.355169692,0.943962115
HumanOmni25-8v1-1_A-b37,20,TRUE,333,94,98,525,465,0.355169692,0.937253354
HumanOmni2-5-8-v1-2-A-b37,20,TRUE,355,72,81,508,398,0.326361484,0.87726914
