array,MCMC,imputed,SNP.Ref.Only,SNP.Ref.Samp,SNP.Samp.Only,TOTAL,Retained.After.Filt,Typed.hg.Conc,Imputed.hg.Conc
BDCHP-1X10-HUMANHAP240S_11216501_A-b37,1,TRUE,198,229,73,500,474,0.98973954222573,0.997632202052092
BDCHP-1x10-HUMANHAP300v1-1_11219278_C-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanHap300v2_A-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanCNV370v1_C-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanCNV370-Quadv3_C-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
BDCHP-1X10-HUMANHAP550_11218540_C-b37,1,TRUE,306,121,45,472,419,0.528413575374901,0.981057616416732
HumanHap550-2v3_B-b37,1,TRUE,312,115,39,466,399,0.524072612470402,0.977900552486188
HumanHap550v3_A-b37,1,TRUE,312,115,39,466,399,0.524072612470402,0.977900552486188
Human610-Quadv1_B-b37,1,TRUE,337,90,31,458,380,0.389108129439621,0.932912391475927
human610-quadv1_h-b37,1,TRUE,337,90,31,458,380,0.389108129439621,0.932912391475927
HumanHap650Yv3_A-b37,1,TRUE,312,115,39,466,399,0.524072612470402,0.977900552486188
Human660W-Quad_v1_A-b37,1,TRUE,339,88,33,460,382,0.389108129439621,0.932123125493291
Human660W-Quad_v1_C-b37,1,TRUE,339,88,33,460,382,0.389108129439621,0.932123125493291
human660w-quad_v1_h-b37,1,TRUE,339,88,33,460,382,0.389108129439621,0.932123125493291
Human670-QuadCustom_v1_A-b37,1,TRUE,339,88,33,460,382,0.389108129439621,0.931728492501973
HumanOmniExpress-12v1_A-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_A-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_B-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_B-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_C-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_H-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_J-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-12v1_j_ffpe-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-24v1-0_a-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-24-v1-1-a-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-24-v1-0-B-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
InfiniumOmniExpress-24v1-2_A1-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpressExome-8v1_A-b37,1,TRUE,355,72,149,576,498,0.490923441199684,0.876085240726125
humanomniexpressexome-8v1-0_a-b37,1,TRUE,355,72,149,576,498,0.490923441199684,0.87490134175217
HumanOmniExpressExome-8-v1-0-B-b37,1,TRUE,355,72,149,576,498,0.490923441199684,0.876874506708761
HumanOmniExpressExome-8v1-2_A-b37,1,TRUE,359,68,143,570,473,0.490923441199684,0.862273086029992
HumanOmniExpressExome-8-v1-2-B-b37,1,TRUE,359,68,143,570,473,0.490923441199684,0.859116022099447
OmniExpressExome-8v1-1_A-b37,1,TRUE,358,69,142,569,477,0.503157063930545,0.871744277821626
OmniExpressExome-8v1-1_B-b37,1,TRUE,358,69,142,569,479,0.503157063930545,0.87095501183899
HumanOmniExpressExome-8-v1-1-C-b37,1,TRUE,358,69,142,569,478,0.503157063930545,0.870560378847672
InfiniumOmniExpressExome-8v1-3_A-b37,1,TRUE,358,69,142,569,471,0.411996842936069,0.870165745856354
InfiniumOmniExpressExome-8v1-4_A1-b37,1,TRUE,358,69,136,563,463,0.399763220205209,0.886345698500395
HumanOmni25Exome-8v1_A-b37,1,TRUE,296,131,224,651,608,0.5982636148382,0.950276243093923
HumanOmni2-5Exome-8-v1-1-A-b37,1,TRUE,297,130,221,648,604,0.589187056037885,0.947119179163378
InfiniumOmni2.5Exome-8v1-2_A-b37,1,TRUE,312,115,209,636,585,0.471586424625099,0.921073401736385
InfiniumOmni2-5Exome-8v1-3_A1-b37,1,TRUE,298,129,222,649,607,0.524467245461721,0.943567482241515
HumanOmniZhongHua-8v1_B-b37,1,TRUE,389,38,79,506,267,0.0686661404893449,0.665745856353591
humanomnizhonghua-8v1-1_a-b37,1,TRUE,392,35,77,504,213,0.668508287292818,0.783741120757695
HumanOmniZhongHua-8v1-2_A-b37,1,TRUE,398,29,71,498,198,0.668508287292818,0.77861089187056
InfiniumOmniZhongHua-8v1-3_A1-b37,1,TRUE,401,26,73,500,186,0.668508287292818,0.775848460931334
InfiniumOmniZhongHua-8v1-3_A2-b37,1,TRUE,401,26,73,500,186,0.668508287292818,0.775848460931334
Human1Mv1_C-b37,1,TRUE,312,115,39,466,399,0.524072612470402,0.977900552486188
Human1M-Duov3_B-b37,1,TRUE,337,90,31,458,380,0.389108129439621,0.933307024467245
Human1M-Duov3_C-b37,1,TRUE,337,90,31,458,380,0.389108129439621,0.933307024467245
human1m-duov3_h-b37,1,TRUE,337,90,31,458,380,0.389108129439621,0.932123125493291
HumanOmni1-Quad_v1-0_B-b37,1,TRUE,409,18,6,433,206,0.12904498816101,0.524467245461721
HumanOmni1-Quad_v1-0_C-b37,1,TRUE,409,18,6,433,206,0.12904498816101,0.524467245461721
HumanOmni1-Quad_v1-0_H-b37,1,TRUE,409,18,6,433,206,0.12904498816101,0.523283346487766
humanomni1-quad_v1-0-multi_h-b37,1,TRUE,409,18,6,433,206,0.12904498816101,0.523283346487766
HumanOmni1S-8v1_H-b37,1,TRUE,363,64,20,447,350,0.36266771902131,0.906866614048935
Human1-2M-DuoCustom_v1_A-b37,1,TRUE,339,88,33,460,382,0.389108129439621,0.931728492501973
HumanOmni2.5-4v1_B-b37,1,TRUE,363,64,20,447,351,0.36266771902131,0.907261247040253
HumanOmni2.5-4v1_D-b37,1,TRUE,363,64,20,447,351,0.36266771902131,0.90568271507498
HumanOmni2.5-4v1_H-b37,1,TRUE,363,64,20,447,351,0.36266771902131,0.90568271507498
HumanOmni2.5-8v1_A-b37,1,TRUE,324,103,104,531,479,0.355169692186267,0.940805051302289
HumanOmni2-5-8-v1-0-D-b37,1,TRUE,324,103,104,531,479,0.355169692186267,0.937647987371744
HumanOmni25-8v1-1_A-b37,1,TRUE,333,94,98,525,466,0.355169692186267,0.93843725335438
HumanOmni2-5-8-v1-2-A-b37,1,TRUE,355,72,81,508,397,0.326361483820047,0.878847671665351
humanomni25m-8v1-1_b-b37,1,TRUE,333,94,98,525,466,0.355169692186267,0.938831886345698
HumanOmni2.5-8v1_C-b37,1,TRUE,324,103,104,531,480,0.355169692186267,0.93843725335438
HumanOmni2-5-8-v1-1-C-b37,1,TRUE,333,94,98,525,466,0.355169692186267,0.938831886345698
HumanOmni2.5S-8v1_B-b37,1,TRUE,405,22,9,436,244,0.0485398579321231,0.639700078926598
HumanOmni25-8v1-2_A1-b37,1,TRUE,355,72,81,508,399,0.326361483820047,0.879242304656669
InfiniumOmni2-5-8v1-3_A1-b37,1,TRUE,343,84,94,521,451,0.363062352012628,0.930149960536701
HumanOmni5-4v1_B-b37,1,TRUE,310,117,111,538,492,0.389502762430939,0.939226519337017
humanomni5-4v1_c-b37,1,TRUE,310,117,111,538,492,0.389502762430939,0.940805051302289
HumanOmni5-4-v1-0-D-b37,1,TRUE,310,117,111,538,491,0.389502762430939,0.941594317284925
HumanOmni5-4v1-1_A-b37,1,TRUE,338,89,95,522,444,0.335832675611681,0.892265193370166
InfiniumOmni5-4v1-2_A1-b37,1,TRUE,321,106,102,529,477,0.381610102604578,0.928966061562747
HumanOmni5Exome-4v1_A-b37,1,TRUE,274,153,240,667,627,0.623125493291239,0.94672454617206
HumanOmni5Exome-4v1-1_A-b37,1,TRUE,276,151,236,663,625,0.644830307813733,0.955406471981058
HumanOmni5Exome-4v1-2_A-b37,1,TRUE,304,123,219,646,592,0.567087608524073,0.899763220205209
InfiniumOmni5Exome-4v1-3_A1-b37,1,TRUE,280,147,225,652,613,0.554853985793212,0.964877663772691
HumanCytoSNP-12v1-0_D-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanCytoSNP-12v2.1-FFPE_G-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
humancytosnp-12v2_h-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
humancytosnp-12v2-1_h-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
humancytosnp-12v2-1_l-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
cytosnp-850k_b-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
CytoSNP-850K_v1-1_iScan_A1-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
humancore-12v1-0_a-b37,1,TRUE,342,85,85,512,452,0.207971586424625,0.856353591160221
HumanCore-12-v1-0-B-b37,1,TRUE,342,85,85,512,452,0.207971586424625,0.856353591160221
humancore-24-v1-0-manifest-file-a-b37,1,TRUE,343,84,85,512,452,0.207971586424625,0.855564325177585
InfiniumCore-24v1-1_A1-b37,1,TRUE,353,74,84,511,442,0.207971586424625,0.856353591160221
Immuno_BeadChip_11419691_B-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
InfiniumImmunoArray-24v2-0_A-b37,1,FALSE,NA,NA,NA,NA,NA,NA,NA
Multi-EthnicGlobal_A1-b37,1,TRUE,242,185,413,840,804,0.683109707971586,0.977111286503552
HumanExome-12v1_A-b37,1,TRUE,354,73,146,573,487,0.503157063930545,0.868981846882399
HumanExome-12v1-1_A-b37,1,TRUE,358,69,143,570,479,0.503157063930545,0.871349644830308
HumanExome-12v1-2_A-b37,1,TRUE,359,68,143,570,473,0.490923441199684,0.861878453038674
InfiniumExome-24v1-1_A1-b37,1,TRUE,360,67,137,564,460,0.399763220205209,0.886345698500395
HumanCoreExome-12v1-0_B-b37,1,TRUE,282,145,225,652,608,0.651144435674822,0.969613259668508
humancoreexome-12v1-0_c-b37,1,TRUE,282,145,225,652,608,0.651144435674822,0.969613259668508
HumanCoreExome-12-v1-0-D-b37,1,TRUE,282,145,225,652,612,0.651144435674822,0.970007892659826
humancoreexome-12v1-1_a-b37,1,TRUE,287,140,227,654,612,0.63930544593528,0.950670876085241
