array,kHAP,imputed,SNP.Ref.Only,SNP.Ref.Samp,SNP.Samp.Only,TOTAL,Retained.After.Filt,Typed.hg.Conc,Imputed.hg.Conc
BDCHP-1X10-HUMANHAP240S_11216501_A-b37,10000,TRUE,198,229,73,500,375,0.996842936069455,0.994869771112865
BDCHP-1x10-HUMANHAP300v1-1_11219278_C-b37,10000,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanHap300v2_A-b37,10000,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanCNV370v1_C-b37,10000,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanCNV370-Quadv3_C-b37,10000,FALSE,NA,NA,NA,NA,NA,NA,NA
BDCHP-1X10-HUMANHAP550_11218540_C-b37,10000,TRUE,306,121,45,472,242,0.624704025256511,0.831491712707182
HumanHap550-2v3_B-b37,10000,TRUE,312,115,39,466,232,0.620363062352013,0.830307813733228
HumanHap550v3_A-b37,10000,TRUE,312,115,39,466,232,0.620363062352013,0.830307813733228
Human610-Quadv1_B-b37,10000,TRUE,337,90,31,458,193,0.446329913180742,0.775453827940016
human610-quadv1_h-b37,10000,TRUE,337,90,31,458,193,0.446329913180742,0.775453827940016
HumanHap650Yv3_A-b37,10000,TRUE,312,115,39,466,232,0.620363062352013,0.830307813733228
Human660W-Quad_v1_A-b37,10000,TRUE,339,88,33,460,194,0.446329913180742,0.775059194948698
Human660W-Quad_v1_C-b37,10000,TRUE,339,88,33,460,194,0.446329913180742,0.775453827940016
human660w-quad_v1_h-b37,10000,TRUE,339,88,33,460,194,0.446329913180742,0.775059194948698
Human670-QuadCustom_v1_A-b37,10000,TRUE,339,88,33,460,194,0.446329913180742,0.775453827940016
HumanOmniExpress-12v1_A-b37,10000,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_A-b37,10000,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_B-b37,10000,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_B-b37,10000,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_C-b37,10000,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_H-b37,10000,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_J-b37,10000,FALSE,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-12v1_j_ffpe-b37,10000,FALSE,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-24v1-0_a-b37,10000,FALSE,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-24-v1-1-a-b37,10000,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-24-v1-0-B-b37,10000,FALSE,NA,NA,NA,NA,NA,NA,NA
InfiniumOmniExpress-24v1-2_A1-b37,10000,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpressExome-8v1_A-b37,10000,TRUE,355,72,149,576,271,0.607340173638516,0.670876085240726
humanomniexpressexome-8v1-0_a-b37,10000,TRUE,355,72,149,576,271,0.607340173638516,0.670876085240726
HumanOmniExpressExome-8-v1-0-B-b37,10000,TRUE,355,72,149,576,271,0.607340173638516,0.670876085240726
HumanOmniExpressExome-8v1-2_A-b37,10000,TRUE,359,68,143,570,259,0.610891870560379,0.698500394632991
HumanOmniExpressExome-8-v1-2-B-b37,10000,TRUE,359,68,143,570,259,0.610891870560379,0.698895027624309
OmniExpressExome-8v1-1_A-b37,10000,TRUE,358,69,142,569,257,0.62904498816101,0.716258879242305
OmniExpressExome-8v1-1_B-b37,10000,TRUE,358,69,142,569,257,0.62904498816101,0.715864246250987
HumanOmniExpressExome-8-v1-1-C-b37,10000,TRUE,358,69,142,569,257,0.62904498816101,0.716258879242305
InfiniumOmniExpressExome-8v1-3_A-b37,10000,TRUE,358,69,142,569,259,0.534333070244672,0.696527229676401
InfiniumOmniExpressExome-8v1-4_A1-b37,10000,TRUE,358,69,136,563,258,0.510655090765588,0.696921862667719
HumanOmni25Exome-8v1_A-b37,10000,TRUE,296,131,224,651,439,0.702446724546172,0.793212312549329
HumanOmni2-5Exome-8-v1-1-A-b37,10000,TRUE,297,130,221,648,431,0.702446724546172,0.794396211523283
InfiniumOmni2.5Exome-8v1-2_A-b37,10000,TRUE,312,115,209,636,401,0.534333070244672,0.7008681925809
InfiniumOmni2-5Exome-8v1-3_A1-b37,10000,TRUE,298,129,222,649,425,0.611286503551697,0.734806629834254
HumanOmniZhongHua-8v1_B-b37,10000,TRUE,389,38,79,506,130,0.924625098658248,0.924625098658248
humanomnizhonghua-8v1-1_a-b37,10000,TRUE,392,35,77,504,124,0.924625098658248,0.924625098658248
HumanOmniZhongHua-8v1-2_A-b37,10000,TRUE,398,29,71,498,113,0.924625098658248,0.924625098658248
InfiniumOmniZhongHua-8v1-3_A1-b37,10000,TRUE,401,26,73,500,110,0.924625098658248,0.924625098658248
InfiniumOmniZhongHua-8v1-3_A2-b37,10000,TRUE,401,26,73,500,110,0.924625098658248,0.924625098658248
Human1Mv1_C-b37,10000,TRUE,312,115,39,466,232,0.620363062352013,0.830307813733228
Human1M-Duov3_B-b37,10000,TRUE,337,90,31,458,193,0.446329913180742,0.775453827940016
Human1M-Duov3_C-b37,10000,TRUE,337,90,31,458,193,0.446329913180742,0.775453827940016
human1m-duov3_h-b37,10000,TRUE,337,90,31,458,193,0.446329913180742,0.775453827940016
HumanOmni1-Quad_v1-0_B-b37,10000,TRUE,409,18,6,433,58,0.17008681925809,0.550513022888714
HumanOmni1-Quad_v1-0_C-b37,10000,TRUE,409,18,6,433,58,0.17008681925809,0.550513022888714
HumanOmni1-Quad_v1-0_H-b37,10000,TRUE,409,18,6,433,58,0.17008681925809,0.550513022888714
humanomni1-quad_v1-0-multi_h-b37,10000,TRUE,409,18,6,433,58,0.17008681925809,0.550513022888714
HumanOmni1S-8v1_H-b37,10000,TRUE,363,64,20,447,145,0.42423046566693,0.720994475138122
Human1-2M-DuoCustom_v1_A-b37,10000,TRUE,339,88,33,460,194,0.446329913180742,0.775453827940016
HumanOmni2.5-4v1_B-b37,10000,TRUE,363,64,20,447,145,0.42423046566693,0.720599842146804
HumanOmni2.5-4v1_D-b37,10000,TRUE,363,64,20,447,145,0.42423046566693,0.720599842146804
HumanOmni2.5-4v1_H-b37,10000,TRUE,363,64,20,447,145,0.42423046566693,0.72138910812944
HumanOmni2.5-8v1_A-b37,10000,TRUE,324,103,104,531,281,0.443172849250197,0.77466456195738
HumanOmni2-5-8-v1-0-D-b37,10000,TRUE,324,103,104,531,281,0.443172849250197,0.77466456195738
HumanOmni25-8v1-1_A-b37,10000,TRUE,333,94,98,525,265,0.443172849250197,0.793606945540647
HumanOmni2-5-8-v1-2-A-b37,10000,TRUE,355,72,81,508,209,0.35240726124704,0.772296764009471
humanomni25m-8v1-1_b-b37,10000,TRUE,333,94,98,525,265,0.443172849250197,0.793606945540647
HumanOmni2.5-8v1_C-b37,10000,TRUE,324,103,104,531,281,0.443172849250197,0.77466456195738
HumanOmni2-5-8-v1-1-C-b37,10000,TRUE,333,94,98,525,265,0.443172849250197,0.792028413575375
HumanOmni2.5S-8v1_B-b37,10000,TRUE,405,22,9,436,67,0.121152328334649,0.626677190213102
HumanOmni25-8v1-2_A1-b37,10000,TRUE,355,72,81,508,209,0.35240726124704,0.771902131018153
InfiniumOmni2-5-8v1-3_A1-b37,10000,TRUE,343,84,94,521,240,0.443172849250197,0.803867403314917
HumanOmni5-4v1_B-b37,10000,TRUE,310,117,111,538,307,0.465272296764009,0.789660615627466
humanomni5-4v1_c-b37,10000,TRUE,310,117,111,538,306,0.465272296764009,0.789660615627466
HumanOmni5-4-v1-0-D-b37,10000,TRUE,310,117,111,538,305,0.465272296764009,0.789265982636148
HumanOmni5-4v1-1_A-b37,10000,TRUE,338,89,95,522,254,0.357932123125493,0.829518547750592
