chip,experiment,sub_experiment,imputed,info_score,typed_match,typed_macro_match,imputed_match,imputed_macro_match,diff,diff_macro,n.snps,allele_freq,mcc,concordance,info,certainty,info_type0,concord_type0,r2_type0,info_comb
BDCHP-1X10-HUMANHAP240S_11216501_A-b37,MAF_Experiments,MAF1%,TRUE,0.879173913043478,0.270718232044199,0.915153906866614,0.240726124704025,0.914759273875296,-0.0299921073401736,-3.94632991318034e-4,309,0.0618252849118103,0.817981546441127,0.995853051223032,0.886290794979079,0.997370292887029,-0.106755230125523,-0.0479560669456067,-0.139625523012552,0.822535564853557
BDCHP-1x10-HUMANHAP300v1-1_11219278_C-b37,MAF_Experiments,MAF1%,FALSE,NA,NA,NA,NA,NA,NA,NA,309,NA,NA,NA,NA,NA,NA,NA,NA,NA
HumanHap300v2_A-b37,MAF_Experiments,MAF1%,FALSE,NA,NA,NA,NA,NA,NA,NA,309,NA,NA,NA,NA,NA,NA,NA,NA,NA
HumanCNV370v1_C-b37,MAF_Experiments,MAF1%,FALSE,NA,NA,NA,NA,NA,NA,NA,309,NA,NA,NA,NA,NA,NA,NA,NA,NA
HumanCNV370-Quadv3_C-b37,MAF_Experiments,MAF1%,FALSE,NA,NA,NA,NA,NA,NA,NA,309,NA,NA,NA,NA,NA,NA,NA,NA,NA
BDCHP-1X10-HUMANHAP550_11218540_C-b37,MAF_Experiments,MAF1%,TRUE,0.784817582417582,0.136937647987372,0.904893449092344,0.151539068666141,0.898579321231255,0.0146014206787688,-0.0063141278610892,170,0.0650732263439446,0.65288545725428,0.989536963956853,0.790073333333333,0.99166,-0.492468888888889,-0.464031111111111,-0.505368888888889,0.760028888888889
HumanHap550-2v3_B-b37,MAF_Experiments,MAF1%,TRUE,0.755501113585746,0.128650355169692,0.904104183109708,0.131807419100237,0.897395422257301,0.00315706393054457,-0.00670876085240724,157,0.065917041745771,0.570562234916655,0.988676521825693,0.761963963963964,0.990592342342342,-0.508565315315315,-0.483623873873874,-0.522137387387387,0.735551801801802
HumanHap550v3_A-b37,MAF_Experiments,MAF1%,TRUE,0.75549443207127,0.128650355169692,0.904104183109708,0.134175217048145,0.897790055248619,0.00552486187845302,-0.0063141278610892,157,0.065917041745771,0.565057423275106,0.988656967938736,0.762060810810811,0.990587837837838,-0.508533783783784,-0.483623873873874,-0.522231981981982,0.73568018018018
Human610-Quadv1_B-b37,MAF_Experiments,MAF1%,TRUE,0.729335600907029,0.109707971586425,0.895816890292028,0.11681136543015,0.869771112865036,0.00710339384372534,-0.0260457774269929,122,0.0669011534868902,0.500853438823948,0.987158135594448,0.735571100917431,0.989504587155963,-0.612176605504587,-0.588440366972477,-0.622009174311927,0.710706422018349
human610-quadv1_h-b37,MAF_Experiments,MAF1%,TRUE,0.728916099773243,0.109707971586425,0.895816890292028,0.117600631412786,0.870165745856354,0.00789265982636149,-0.0256511444356747,122,0.0669011534868902,0.504981122530002,0.987139128042114,0.735233944954128,0.9895,-0.612247706422018,-0.588435779816514,-0.622057339449541,0.710298165137615
HumanHap650Yv3_A-b37,MAF_Experiments,MAF1%,TRUE,0.755340757238307,0.128650355169692,0.904104183109708,0.132202052091555,0.896606156274665,0.00355169692186266,-0.00749802683504341,157,0.065917041745771,0.562750035672682,0.98862497066917,0.761837837837838,0.990601351351351,-0.508554054054054,-0.483623873873874,-0.52235360360360406,0.735436936936937
Human660W-Quad_v1_A-b37,MAF_Experiments,MAF1%,TRUE,0.730726862302483,0.109313338595107,0.895816890292028,0.11681136543015,0.868587213891081,0.0074980268350434,-0.0272296764009471,122,0.0666082826076771,0.510751677145932,0.987225784130348,0.736522831050228,0.989552511415525,-0.622744292237443,-0.599440639269406,-0.632664383561644,0.712107305936073
Human660W-Quad_v1_C-b37,MAF_Experiments,MAF1%,TRUE,0.730726862302483,0.109313338595107,0.895816890292028,0.11681136543015,0.868587213891081,0.0074980268350434,-0.0272296764009471,122,0.0666082826076771,0.510751677145932,0.987225784130348,0.736522831050228,0.989552511415525,-0.622744292237443,-0.599440639269406,-0.632664383561644,0.712107305936073
