array,kHAP,imputed,mean.info,SNP.Ref.Only,SNP.Ref.Samp,SNP.Samp.Only,TOTAL,Retained.After.Filt,Typed.hg.Conc,Imputed.hg.Conc
BDCHP-1X10-HUMANHAP240S_11216501_A-b37,5000,TRUE,0.74849,198,229,73,500,400,0.996842936069455,0.994869771112865
BDCHP-1x10-HUMANHAP300v1-1_11219278_C-b37,5000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanHap300v2_A-b37,5000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanCNV370v1_C-b37,5000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanCNV370-Quadv3_C-b37,5000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
BDCHP-1X10-HUMANHAP550_11218540_C-b37,5000,TRUE,0.560425847457627,306,121,45,472,299,0.534727703235991,0.92620363062352
HumanHap550-2v3_B-b37,5000,TRUE,0.541562231759657,312,115,39,466,277,0.53078137332281,0.908050513022889
HumanHap550v3_A-b37,5000,TRUE,0.541562231759657,312,115,39,466,277,0.53078137332281,0.908050513022889
Human610-Quadv1_B-b37,5000,TRUE,0.484373362445415,337,90,31,458,249,0.399368587213891,0.823204419889503
human610-quadv1_h-b37,5000,TRUE,0.484375545851528,337,90,31,458,249,0.399368587213891,0.823993685872139
HumanHap650Yv3_A-b37,5000,TRUE,0.541570815450644,312,115,39,466,277,0.53078137332281,0.908050513022889
Human660W-Quad_v1_A-b37,5000,TRUE,0.484465217391304,339,88,33,460,251,0.399368587213891,0.823993685872139
Human660W-Quad_v1_C-b37,5000,TRUE,0.48444347826087,339,88,33,460,251,0.399368587213891,0.823599052880821
human660w-quad_v1_h-b37,5000,TRUE,0.484421739130435,339,88,33,460,251,0.399368587213891,0.823599052880821
Human670-QuadCustom_v1_A-b37,5000,TRUE,0.484421739130435,339,88,33,460,251,0.399368587213891,0.823599052880821
HumanOmniExpress-12v1_A-b37,5000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_A-b37,5000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_B-b37,5000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_B-b37,5000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_C-b37,5000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_H-b37,5000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_J-b37,5000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-12v1_j_ffpe-b37,5000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-24v1-0_a-b37,5000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-24-v1-1-a-b37,5000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-24-v1-0-B-b37,5000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
InfiniumOmniExpress-24v1-2_A1-b37,5000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpressExome-8v1_A-b37,5000,TRUE,0.538256944444444,355,72,149,576,340,0.578926598263615,0.780978689818469
humanomniexpressexome-8v1-0_a-b37,5000,TRUE,0.538223958333333,355,72,149,576,340,0.578926598263615,0.780584056827151
HumanOmniExpressExome-8-v1-0-B-b37,5000,TRUE,0.538256944444444,355,72,149,576,340,0.578926598263615,0.780978689818469
HumanOmniExpressExome-8v1-2_A-b37,5000,TRUE,0.51989649122807,359,68,143,570,320,0.578926598263615,0.689029202841357
HumanOmniExpressExome-8-v1-2-B-b37,5000,TRUE,0.51989649122807,359,68,143,570,320,0.578926598263615,0.689029202841357
OmniExpressExome-8v1-1_A-b37,5000,TRUE,0.521325131810193,358,69,142,569,320,0.597474348855564,0.785319652722968
OmniExpressExome-8v1-1_B-b37,5000,TRUE,0.5213690685413,358,69,142,569,320,0.597474348855564,0.782951854775059
HumanOmniExpressExome-8-v1-1-C-b37,5000,TRUE,0.521344463971881,358,69,142,569,320,0.597474348855564,0.779794790844515
InfiniumOmniExpressExome-8v1-3_A-b37,5000,TRUE,0.524602811950791,358,69,142,569,326,0.506314127861089,0.734806629834254
InfiniumOmniExpressExome-8v1-4_A1-b37,5000,TRUE,0.519268206039076,358,69,136,563,321,0.48776637726914,0.726913970007893
HumanOmni25Exome-8v1_A-b37,5000,TRUE,0.700308755760369,296,131,224,651,495,0.650355169692186,0.879636937647987
HumanOmni2-5Exome-8-v1-1-A-b37,5000,TRUE,0.695518518518519,297,130,221,648,486,0.702052091554854,0.926992896606156
InfiniumOmni2.5Exome-8v1-2_A-b37,5000,TRUE,0.672081761006289,312,115,209,636,471,0.486977111286504,0.81965272296764
InfiniumOmni2-5Exome-8v1-3_A1-b37,5000,TRUE,0.697246533127889,298,129,222,649,494,0.563930544593528,0.838595106550908
HumanOmniZhongHua-8v1_B-b37,5000,TRUE,0.309239130434783,389,38,79,506,157,0.921862667719021,0.942778216258879
humanomnizhonghua-8v1-1_a-b37,5000,TRUE,0.282561507936508,392,35,77,504,148,0.899763220205209,0.930544593528019
HumanOmniZhongHua-8v1-2_A-b37,5000,TRUE,0.261548192771084,398,29,71,498,137,0.899763220205209,0.92423046566693
InfiniumOmniZhongHua-8v1-3_A1-b37,5000,TRUE,0.254198,401,26,73,500,136,0.899763220205209,0.923046566692976
InfiniumOmniZhongHua-8v1-3_A2-b37,5000,TRUE,0.254176,401,26,73,500,136,0.899763220205209,0.92423046566693
Human1Mv1_C-b37,5000,TRUE,0.541615879828326,312,115,39,466,277,0.53078137332281,0.908050513022889
Human1M-Duov3_B-b37,5000,TRUE,0.484475982532751,337,90,31,458,251,0.399368587213891,0.823599052880821
