array,kHAP,imputed,mean.info,SNP.Ref.Only,SNP.Ref.Samp,SNP.Samp.Only,TOTAL,Retained.After.Filt,Typed.hg.Conc,Imputed.hg.Conc
BDCHP-1X10-HUMANHAP240S_11216501_A-b37,250,TRUE,0.878274,198,229,73,500,485,0.980662983425414,0.988555643251776
BDCHP-1x10-HUMANHAP300v1-1_11219278_C-b37,250,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanHap300v2_A-b37,250,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanCNV370v1_C-b37,250,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanCNV370-Quadv3_C-b37,250,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
BDCHP-1X10-HUMANHAP550_11218540_C-b37,250,TRUE,0.788930084745763,306,121,45,472,430,0.528413575374901,0.973164956590371
HumanHap550-2v3_B-b37,250,TRUE,0.761332618025751,312,115,39,466,412,0.524072612470402,0.96921862667719
HumanHap550v3_A-b37,250,TRUE,0.761401287553648,312,115,39,466,411,0.524072612470402,0.970007892659826
Human610-Quadv1_B-b37,250,TRUE,0.734703056768559,337,90,31,458,401,0.388318863456985,0.933701657458563
human610-quadv1_h-b37,250,TRUE,0.734589519650655,337,90,31,458,401,0.389108129439621,0.934096290449882
HumanHap650Yv3_A-b37,250,TRUE,0.762152360515021,312,115,39,466,412,0.524072612470402,0.969613259668508
Human660W-Quad_v1_A-b37,250,TRUE,0.735639130434783,339,88,33,460,403,0.388318863456985,0.9344909234412
Human660W-Quad_v1_C-b37,250,TRUE,0.735639130434783,339,88,33,460,403,0.388318863456985,0.9344909234412
human660w-quad_v1_h-b37,250,TRUE,0.73540652173913,339,88,33,460,402,0.389108129439621,0.933307024467245
Human670-QuadCustom_v1_A-b37,250,TRUE,0.735354347826087,339,88,33,460,402,0.389108129439621,0.933307024467245
HumanOmniExpress-12v1_A-b37,250,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_A-b37,250,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_B-b37,250,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_B-b37,250,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_C-b37,250,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_H-b37,250,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_J-b37,250,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-12v1_j_ffpe-b37,250,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-24v1-0_a-b37,250,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-24-v1-1-a-b37,250,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-24-v1-0-B-b37,250,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
InfiniumOmniExpress-24v1-2_A1-b37,250,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpressExome-8v1_A-b37,250,TRUE,0.7664375,355,72,149,576,510,0.490923441199684,0.887924230465667
humanomniexpressexome-8v1-0_a-b37,250,TRUE,0.7664375,355,72,149,576,510,0.490923441199684,0.887924230465667
HumanOmniExpressExome-8-v1-0-B-b37,250,TRUE,0.766149305555556,355,72,149,576,510,0.490923441199684,0.892659826361484
HumanOmniExpressExome-8v1-2_A-b37,250,TRUE,0.736473684210526,359,68,143,570,484,0.490923441199684,0.867008681925809
HumanOmniExpressExome-8-v1-2-B-b37,250,TRUE,0.736473684210526,359,68,143,570,484,0.490923441199684,0.867008681925809
OmniExpressExome-8v1-1_A-b37,250,TRUE,0.747021089630932,358,69,142,569,489,0.503157063930545,0.878058405682715
OmniExpressExome-8v1-1_B-b37,250,TRUE,0.747021089630932,358,69,142,569,489,0.503157063930545,0.878058405682715
HumanOmniExpressExome-8-v1-1-C-b37,250,TRUE,0.746915641476274,358,69,142,569,491,0.503157063930545,0.877663772691397
InfiniumOmniExpressExome-8v1-3_A-b37,250,TRUE,0.740239015817223,358,69,142,569,483,0.411996842936069,0.877663772691397
InfiniumOmniExpressExome-8v1-4_A1-b37,250,TRUE,0.735516873889876,358,69,136,563,477,0.399763220205209,0.889897395422257
HumanOmni25Exome-8v1_A-b37,250,TRUE,0.867803379416283,296,131,224,651,620,0.589187056037885,0.937647987371744
HumanOmni2-5Exome-8-v1-1-A-b37,250,TRUE,0.859166666666667,297,130,221,648,613,0.589187056037885,0.94475138121547
InfiniumOmni2.5Exome-8v1-2_A-b37,250,TRUE,0.84623427672956,312,115,209,636,593,0.471586424625099,0.924625098658248
InfiniumOmni2-5Exome-8v1-3_A1-b37,250,TRUE,0.864238828967642,298,129,222,649,614,0.524467245461721,0.949486977111286
HumanOmniZhongHua-8v1_B-b37,250,TRUE,0.453780632411067,389,38,79,506,276,0.0497237569060773,0.423046566692976
humanomnizhonghua-8v1-1_a-b37,250,TRUE,0.392055555555556,392,35,77,504,224,0.0686661404893449,0.728887134964483
HumanOmniZhongHua-8v1-2_A-b37,250,TRUE,0.363493975903614,398,29,71,498,204,0.668508287292818,0.775059194948698
InfiniumOmniZhongHua-8v1-3_A1-b37,250,TRUE,0.345186,401,26,73,500,191,0.668508287292818,0.775848460931334
InfiniumOmniZhongHua-8v1-3_A2-b37,250,TRUE,0.345336,401,26,73,500,192,0.668508287292818,0.775848460931334
Human1Mv1_C-b37,250,TRUE,0.761298283261803,312,115,39,466,412,0.524072612470402,0.969613259668508
Human1M-Duov3_B-b37,250,TRUE,0.734954148471616,337,90,31,458,398,0.389108129439621,0.934096290449882
Human1M-Duov3_C-b37,250,TRUE,0.734724890829694,337,90,31,458,399,0.389108129439621,0.933307024467245
human1m-duov3_h-b37,250,TRUE,0.734890829694323,337,90,31,458,400,0.388318863456985,0.9344909234412
HumanOmni1-Quad_v1-0_B-b37,250,TRUE,0.38473441108545,409,18,6,433,207,0.12904498816101,0.532359905288082
HumanOmni1-Quad_v1-0_C-b37,250,TRUE,0.38473441108545,409,18,6,433,207,0.12904498816101,0.532359905288082
HumanOmni1-Quad_v1-0_H-b37,250,TRUE,0.38473441108545,409,18,6,433,207,0.12904498816101,0.532359905288082
humanomni1-quad_v1-0-multi_h-b37,250,TRUE,0.38473441108545,409,18,6,433,207,0.12904498816101,0.532359905288082
HumanOmni1S-8v1_H-b37,250,TRUE,0.681673378076063,363,64,20,447,364,0.36266771902131,0.906077348066298
Human1-2M-DuoCustom_v1_A-b37,250,TRUE,0.7358,339,88,33,460,403,0.388318863456985,0.935280189423836
HumanOmni2.5-4v1_B-b37,250,TRUE,0.682107382550336,363,64,20,447,364,0.36266771902131,0.910023677979479
HumanOmni2.5-4v1_D-b37,250,TRUE,0.682409395973154,363,64,20,447,365,0.36266771902131,0.906077348066298
HumanOmni2.5-4v1_H-b37,250,TRUE,0.682409395973154,363,64,20,447,365,0.36266771902131,0.906077348066298
HumanOmni2.5-8v1_A-b37,250,TRUE,0.809060263653484,324,103,104,531,490,0.355169692186267,0.93843725335438
HumanOmni2-5-8-v1-0-D-b37,250,TRUE,0.809048964218456,324,103,104,531,493,0.355169692186267,0.938042620363062
HumanOmni25-8v1-1_A-b37,250,TRUE,0.794139047619048,333,94,98,525,478,0.355169692186267,0.932912391475927
