array,kHAP,imputed,mean.info,SNP.Ref.Only,SNP.Ref.Samp,SNP.Samp.Only,TOTAL,Retained.After.Filt,Typed.hg.Conc,Imputed.hg.Conc
BDCHP-1X10-HUMANHAP240S_11216501_A-b37,30000,TRUE,0.663944,198,229,73,500,336,1,1
BDCHP-1x10-HUMANHAP300v1-1_11219278_C-b37,30000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanHap300v2_A-b37,30000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanCNV370v1_C-b37,30000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanCNV370-Quadv3_C-b37,30000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
BDCHP-1X10-HUMANHAP550_11218540_C-b37,30000,TRUE,0.413497881355932,306,121,45,472,191,0.746250986582478,0.880031570639305
HumanHap550-2v3_B-b37,30000,TRUE,0.394156652360515,312,115,39,466,180,0.741910023677979,0.875690607734807
HumanHap550v3_A-b37,30000,TRUE,0.394004291845494,312,115,39,466,180,0.741910023677979,0.875690607734807
Human610-Quadv1_B-b37,30000,TRUE,0.322899563318777,337,90,31,458,141,0.571033938437253,0.863062352012628
human610-quadv1_h-b37,30000,TRUE,0.322899563318777,337,90,31,458,141,0.571033938437253,0.863062352012628
HumanHap650Yv3_A-b37,30000,TRUE,0.393967811158798,312,115,39,466,180,0.741910023677979,0.875690607734807
Human660W-Quad_v1_A-b37,30000,TRUE,0.323152173913043,339,88,33,460,143,0.571033938437253,0.860299921073402
Human660W-Quad_v1_C-b37,30000,TRUE,0.323145652173913,339,88,33,460,143,0.571033938437253,0.860299921073402
human660w-quad_v1_h-b37,30000,TRUE,0.323145652173913,339,88,33,460,143,0.571033938437253,0.860299921073402
Human670-QuadCustom_v1_A-b37,30000,TRUE,0.323145652173913,339,88,33,460,143,0.571033938437253,0.860299921073402
HumanOmniExpress-12v1_A-b37,30000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_A-b37,30000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_B-b37,30000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_B-b37,30000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_C-b37,30000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_H-b37,30000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_J-b37,30000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-12v1_j_ffpe-b37,30000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-24v1-0_a-b37,30000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-24-v1-1-a-b37,30000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-24-v1-0-B-b37,30000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
InfiniumOmniExpress-24v1-2_A1-b37,30000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpressExome-8v1_A-b37,30000,TRUE,0.413092013888889,355,72,149,576,232,0.740726124704025,0.855169692186267
humanomniexpressexome-8v1-0_a-b37,30000,TRUE,0.413092013888889,355,72,149,576,232,0.740726124704025,0.855169692186267
HumanOmniExpressExome-8-v1-0-B-b37,30000,TRUE,0.413092013888889,355,72,149,576,232,0.740726124704025,0.855169692186267
HumanOmniExpressExome-8v1-2_A-b37,30000,TRUE,0.398212280701754,359,68,143,570,222,0.740726124704025,0.855169692186267
HumanOmniExpressExome-8-v1-2-B-b37,30000,TRUE,0.398212280701754,359,68,143,570,222,0.740726124704025,0.855169692186267
OmniExpressExome-8v1-1_A-b37,30000,TRUE,0.39892618629174,358,69,142,569,222,0.740726124704025,0.855564325177585
OmniExpressExome-8v1-1_B-b37,30000,TRUE,0.398929701230228,358,69,142,569,222,0.740726124704025,0.855564325177585
HumanOmniExpressExome-8-v1-1-C-b37,30000,TRUE,0.398933216168717,358,69,142,569,222,0.740726124704025,0.855564325177585
InfiniumOmniExpressExome-8v1-3_A-b37,30000,TRUE,0.401223198594025,358,69,142,569,225,0.636543014996054,0.754538279400158
InfiniumOmniExpressExome-8v1-4_A1-b37,30000,TRUE,0.395680284191829,358,69,136,563,218,0.521310181531176,0.753354380426204
HumanOmni25Exome-8v1_A-b37,30000,TRUE,0.586380952380952,296,131,224,651,380,0.73559589581689,0.883583267561168
HumanOmni2-5Exome-8-v1-1-A-b37,30000,TRUE,0.580697530864198,297,130,221,648,375,0.73559589581689,0.880426203630624
InfiniumOmni2.5Exome-8v1-2_A-b37,30000,TRUE,0.549415094339623,312,115,209,636,349,0.648382004735596,0.885951065509077
InfiniumOmni2-5Exome-8v1-3_A1-b37,30000,TRUE,0.580040061633282,298,129,222,649,375,0.73559589581689,0.880426203630624
HumanOmniZhongHua-8v1_B-b37,30000,TRUE,0.248772727272727,389,38,79,506,121,0.952249408050513,0.952249408050513
humanomnizhonghua-8v1-1_a-b37,30000,TRUE,0.233509920634921,392,35,77,504,115,0.952249408050513,0.952249408050513
HumanOmniZhongHua-8v1-2_A-b37,30000,TRUE,0.210524096385542,398,29,71,498,102,0.952249408050513,0.952249408050513
InfiniumOmniZhongHua-8v1-3_A1-b37,30000,TRUE,0.20701,401,26,73,500,101,0.952249408050513,0.952249408050513
InfiniumOmniZhongHua-8v1-3_A2-b37,30000,TRUE,0.20701,401,26,73,500,101,0.952249408050513,0.952249408050513
Human1Mv1_C-b37,30000,TRUE,0.393935622317597,312,115,39,466,180,0.741910023677979,0.875690607734807
Human1M-Duov3_B-b37,30000,TRUE,0.322893013100437,337,90,31,458,141,0.571033938437253,0.863062352012628
Human1M-Duov3_C-b37,30000,TRUE,0.322893013100437,337,90,31,458,141,0.571033938437253,0.863062352012628
human1m-duov3_h-b37,30000,TRUE,0.322903930131004,337,90,31,458,141,0.571033938437253,0.863062352012628
HumanOmni1-Quad_v1-0_B-b37,30000,TRUE,0.0881547344110855,409,18,6,433,34,0.290449881610103,0.836227308602999
HumanOmni1-Quad_v1-0_C-b37,30000,TRUE,0.0881478060046189,409,18,6,433,34,0.290449881610103,0.836227308602999
HumanOmni1-Quad_v1-0_H-b37,30000,TRUE,0.0881478060046189,409,18,6,433,34,0.290449881610103,0.836227308602999
humanomni1-quad_v1-0-multi_h-b37,30000,TRUE,0.0881547344110855,409,18,6,433,34,0.290449881610103,0.836227308602999
HumanOmni1S-8v1_H-b37,30000,TRUE,0.241400447427293,363,64,20,447,100,0.549723756906077,0.757695343330702
Human1-2M-DuoCustom_v1_A-b37,30000,TRUE,0.323134782608696,339,88,33,460,143,0.571033938437253,0.860299921073402
HumanOmni2.5-4v1_B-b37,30000,TRUE,0.241400447427293,363,64,20,447,100,0.549723756906077,0.757695343330702
HumanOmni2.5-4v1_D-b37,30000,TRUE,0.241458612975392,363,64,20,447,100,0.549723756906077,0.757695343330702
HumanOmni2.5-4v1_H-b37,30000,TRUE,0.241498881431767,363,64,20,447,100,0.549723756906077,0.757695343330702
HumanOmni2.5-8v1_A-b37,30000,TRUE,0.445065913370998,324,103,104,531,238,0.568666140489345,0.756906077348066
HumanOmni2-5-8-v1-0-D-b37,30000,TRUE,0.445065913370998,324,103,104,531,238,0.568666140489345,0.756906077348066
HumanOmni25-8v1-1_A-b37,30000,TRUE,0.416510476190476,333,94,98,525,213,0.569060773480663,0.775059194948698
HumanOmni2-5-8-v1-2-A-b37,30000,TRUE,0.344895669291339,355,72,81,508,171,0.4672454617206,0.926598263614838
humanomni25m-8v1-1_b-b37,30000,TRUE,0.416487619047619,333,94,98,525,213,0.569060773480663,0.775059194948698
HumanOmni2.5-8v1_C-b37,30000,TRUE,0.445064030131827,324,103,104,531,238,0.568666140489345,0.756906077348066
HumanOmni2-5-8-v1-1-C-b37,30000,TRUE,0.416742857142857,333,94,98,525,213,0.569060773480663,0.775059194948698
HumanOmni2.5S-8v1_B-b37,30000,TRUE,0.108887614678899,405,22,9,436,45,0.170876085240726,0.856353591160221
HumanOmni25-8v1-2_A1-b37,30000,TRUE,0.344899606299213,355,72,81,508,171,0.4672454617206,0.926598263614838
InfiniumOmni2-5-8v1-3_A1-b37,30000,TRUE,0.387587332053743,343,84,94,521,199,0.568666140489345,0.757695343330702
HumanOmni5-4v1_B-b37,30000,TRUE,0.475724907063197,310,117,111,538,249,0.589976322020521,0.863062352012628
humanomni5-4v1_c-b37,30000,TRUE,0.476003717472119,310,117,111,538,249,0.589976322020521,0.863062352012628
HumanOmni5-4-v1-0-D-b37,30000,TRUE,0.476003717472119,310,117,111,538,249,0.589976322020521,0.863062352012628
