array,MCMC,imputed,mean.info,SNP.Ref.Only,SNP.Ref.Samp,SNP.Samp.Only,TOTAL,Retained.After.Filt,Typed.hg.Conc,Imputed.hg.Conc
BDCHP-1X10-HUMANHAP240S_11216501_A-b37,30,TRUE,0.861488,198,229,73,500,476,0.980662983425414,0.988555643251776
BDCHP-1x10-HUMANHAP300v1-1_11219278_C-b37,30,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanHap300v2_A-b37,30,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanCNV370v1_C-b37,30,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanCNV370-Quadv3_C-b37,30,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
BDCHP-1X10-HUMANHAP550_11218540_C-b37,30,TRUE,0.767847457627119,306,121,45,472,418,0.528413575374901,0.980662983425414
HumanHap550-2v3_B-b37,30,TRUE,0.73906008583691,312,115,39,466,399,0.524072612470402,0.977900552486188
HumanHap550v3_A-b37,30,TRUE,0.73906008583691,312,115,39,466,399,0.524072612470402,0.977900552486188
Human610-Quadv1_B-b37,30,TRUE,0.712910480349345,337,90,31,458,381,0.389108129439621,0.933307024467245
human610-quadv1_h-b37,30,TRUE,0.712493449781659,337,90,31,458,379,0.389108129439621,0.942383583267561
HumanHap650Yv3_A-b37,30,TRUE,0.7391330472103,312,115,39,466,399,0.524072612470402,0.977900552486188
Human660W-Quad_v1_A-b37,30,TRUE,0.713819565217391,339,88,33,460,382,0.389108129439621,0.932123125493291
Human660W-Quad_v1_C-b37,30,TRUE,0.713819565217391,339,88,33,460,382,0.389108129439621,0.932123125493291
human660w-quad_v1_h-b37,30,TRUE,0.713819565217391,339,88,33,460,382,0.389108129439621,0.932123125493291
Human670-QuadCustom_v1_A-b37,30,TRUE,0.713819565217391,339,88,33,460,382,0.389108129439621,0.932123125493291
HumanOmniExpress-12v1_A-b37,30,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_A-b37,30,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
