array,kHAP,imputed,mean.info,SNP.Ref.Only,SNP.Ref.Samp,SNP.Samp.Only,TOTAL,Retained.After.Filt,Typed.hg.Conc,Imputed.hg.Conc
BDCHP-1X10-HUMANHAP240S_11216501_A-b37,20000,TRUE,0.681384,198,229,73,500,350,0.996842936069455,0.994869771112865
BDCHP-1x10-HUMANHAP300v1-1_11219278_C-b37,20000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanHap300v2_A-b37,20000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanCNV370v1_C-b37,20000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanCNV370-Quadv3_C-b37,20000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
BDCHP-1X10-HUMANHAP550_11218540_C-b37,20000,TRUE,0.439074152542373,306,121,45,472,210,0.631807419100237,0.846093133385951
HumanHap550-2v3_B-b37,20000,TRUE,0.419122317596567,312,115,39,466,197,0.630623520126283,0.841752170481452
HumanHap550v3_A-b37,20000,TRUE,0.419122317596567,312,115,39,466,197,0.630623520126283,0.841752170481452
Human610-Quadv1_B-b37,20000,TRUE,0.348606986899563,337,90,31,458,157,0.460142067876875,0.719810576164167
human610-quadv1_h-b37,20000,TRUE,0.348633187772926,337,90,31,458,156,0.460142067876875,0.719810576164167
HumanHap650Yv3_A-b37,20000,TRUE,0.419122317596567,312,115,39,466,197,0.630623520126283,0.841752170481452
Human660W-Quad_v1_A-b37,20000,TRUE,0.349173913043478,339,88,33,460,159,0.460142067876875,0.719810576164167
Human660W-Quad_v1_C-b37,20000,TRUE,0.349123913043478,339,88,33,460,159,0.460142067876875,0.719810576164167
human660w-quad_v1_h-b37,20000,TRUE,0.349123913043478,339,88,33,460,159,0.460142067876875,0.719810576164167
Human670-QuadCustom_v1_A-b37,20000,TRUE,0.349139130434783,339,88,33,460,159,0.460142067876875,0.719810576164167
HumanOmniExpress-12v1_A-b37,20000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_A-b37,20000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_B-b37,20000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_B-b37,20000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_C-b37,20000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_H-b37,20000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_J-b37,20000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-12v1_j_ffpe-b37,20000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-24v1-0_a-b37,20000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-24-v1-1-a-b37,20000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-24-v1-0-B-b37,20000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
InfiniumOmniExpress-24v1-2_A1-b37,20000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpressExome-8v1_A-b37,20000,TRUE,0.432149305555556,355,72,149,576,244,0.615232833464878,0.748618784530387
humanomniexpressexome-8v1-0_a-b37,20000,TRUE,0.432128472222222,355,72,149,576,244,0.615232833464878,0.748618784530387
HumanOmniExpressExome-8-v1-0-B-b37,20000,TRUE,0.432128472222222,355,72,149,576,244,0.615232833464878,0.748618784530387
HumanOmniExpressExome-8v1-2_A-b37,20000,TRUE,0.416343859649123,359,68,143,570,231,0.615232833464878,0.747434885556433
HumanOmniExpressExome-8-v1-2-B-b37,20000,TRUE,0.416343859649123,359,68,143,570,231,0.615232833464878,0.747434885556433
OmniExpressExome-8v1-1_A-b37,20000,TRUE,0.417360281195079,358,69,142,569,231,0.633385951065509,0.772296764009471
OmniExpressExome-8v1-1_B-b37,20000,TRUE,0.417360281195079,358,69,142,569,231,0.633385951065509,0.772296764009471
HumanOmniExpressExome-8-v1-1-C-b37,20000,TRUE,0.417360281195079,358,69,142,569,231,0.633385951065509,0.772296764009471
InfiniumOmniExpressExome-8v1-3_A-b37,20000,TRUE,0.420465729349736,358,69,142,569,231,0.541831097079716,0.751381215469613
InfiniumOmniExpressExome-8v1-4_A1-b37,20000,TRUE,0.415015985790409,358,69,136,563,227,0.518153117600631,0.676795580110497
HumanOmni25Exome-8v1_A-b37,20000,TRUE,0.606797235023042,296,131,224,651,396,0.705998421468035,0.812549329123915
HumanOmni2-5Exome-8-v1-1-A-b37,20000,TRUE,0.600478395061728,297,130,221,648,390,0.705998421468035,0.795974743488556
InfiniumOmni2.5Exome-8v1-2_A-b37,20000,TRUE,0.569797169811321,312,115,209,636,361,0.537490134175217,0.72336227308603
InfiniumOmni2-5Exome-8v1-3_A1-b37,20000,TRUE,0.600582434514638,298,129,222,649,389,0.614443567482241,0.763614838200474
HumanOmniZhongHua-8v1_B-b37,20000,TRUE,0.254630434782609,389,38,79,506,123,0.952249408050513,0.952249408050513
humanomnizhonghua-8v1-1_a-b37,20000,TRUE,0.238525793650794,392,35,77,504,117,0.952249408050513,0.952249408050513
HumanOmniZhongHua-8v1-2_A-b37,20000,TRUE,0.215427710843374,398,29,71,498,102,0.952249408050513,0.952249408050513
InfiniumOmniZhongHua-8v1-3_A1-b37,20000,TRUE,0.211584,401,26,73,500,101,0.952249408050513,0.952249408050513
InfiniumOmniZhongHua-8v1-3_A2-b37,20000,TRUE,0.211592,401,26,73,500,101,0.952249408050513,0.952249408050513
Human1Mv1_C-b37,20000,TRUE,0.419130901287554,312,115,39,466,197,0.630623520126283,0.841752170481452
Human1M-Duov3_B-b37,20000,TRUE,0.348585152838428,337,90,31,458,157,0.460142067876875,0.719810576164167
Human1M-Duov3_C-b37,20000,TRUE,0.348589519650655,337,90,31,458,157,0.460142067876875,0.719810576164167
human1m-duov3_h-b37,20000,TRUE,0.348589519650655,337,90,31,458,157,0.460142067876875,0.719810576164167
HumanOmni1-Quad_v1-0_B-b37,20000,TRUE,0.114842956120092,409,18,6,433,45,0.189029202841358,0.651933701657459
HumanOmni1-Quad_v1-0_C-b37,20000,TRUE,0.114842956120092,409,18,6,433,45,0.189029202841358,0.651933701657459
HumanOmni1-Quad_v1-0_H-b37,20000,TRUE,0.114842956120092,409,18,6,433,45,0.189029202841358,0.651933701657459
humanomni1-quad_v1-0-multi_h-b37,20000,TRUE,0.114831408775982,409,18,6,433,45,0.189029202841358,0.651933701657459
HumanOmni1S-8v1_H-b37,20000,TRUE,0.26803355704698,363,64,20,447,113,0.437647987371744,0.587213891081294
Human1-2M-DuoCustom_v1_A-b37,20000,TRUE,0.349117391304348,339,88,33,460,159,0.460142067876875,0.719810576164167
HumanOmni2.5-4v1_B-b37,20000,TRUE,0.268020134228188,363,64,20,447,113,0.437647987371744,0.586819258089976
