contrast,estimate,SE,df,t.ratio,p.value,signf
khap_100 - khap_250,0.007493892384237098,0.006161134905897092,900,1.2163168797138926,0.952958805052714,
khap_100 - khap_500,0.015128576859966637,0.006161134905897093,900,2.4554854082948925,0.25550589176072713,
khap_100 - khap_1000,0.04115970665931573,0.0061611349058970895,900,6.680539752492677,1.49881229649651e-9,***
khap_100 - khap_2500,0.10753843716311746,0.006161134905897083,900,17.454322751509284,3.517186542012496e-13,***
khap_100 - khap_5000,0.18536953183217453,0.0061611349058970834,900,30.086913314420286,3.517186542012496e-13,***
khap_100 - khap_10000,0.226350891326634,0.006161134905897084,900,36.73850593824588,3.517186542012496e-13,***
khap_100 - khap_20000,0.23668992523864937,0.006161134905897082,900,38.416611363614756,3.517186542012496e-13,***
khap_100 - khap_30000,0.25618599656685453,0.006161134905897081,900,41.58097501186805,3.517186542012496e-13,***
khap_250 - khap_500,0.007634684475729543,0.00616113490589708,900,1.2391685285810032,0.9476270789905189,
khap_250 - khap_1000,0.03366581427507863,0.006161134905897093,900,5.464222872778779,2.146055557483706e-6,***
khap_250 - khap_2500,0.10004454477888036,0.006161134905897091,900,16.238005871795366,3.517186542012496e-13,***
khap_250 - khap_5000,0.1778756394479374,0.006161134905897088,900,28.870596434706368,3.517186542012496e-13,***
khap_250 - khap_10000,0.2188569989423969,0.006161134905897074,900,35.52218905853205,3.517186542012496e-13,***
khap_250 - khap_20000,0.22919603285441223,0.00616113490589709,900,37.200294483900805,3.517186542012496e-13,***
khap_250 - khap_30000,0.24869210418261745,0.006161134905897084,900,40.36465813215413,3.517186542012496e-13,***
khap_500 - khap_1000,0.026031129799349104,0.0061611349058970834,900,4.225054344197789,8.794427378937542e-4,***
khap_500 - khap_2500,0.09240986030315083,0.0061611349058970765,900,14.998837343214404,3.517186542012496e-13,***
khap_500 - khap_5000,0.17024095497220784,0.006161134905897089,900,27.631427906125356,3.517186542012496e-13,***
khap_500 - khap_10000,0.2112223144666674,0.006161134905897087,900,34.283020529950974,3.517186542012496e-13,***
khap_500 - khap_20000,0.22156134837868272,0.006161134905897076,900,35.96112595531989,3.517186542012496e-13,***
khap_500 - khap_30000,0.24105741970688793,0.0061611349058970834,900,39.12548960357314,3.517186542012496e-13,***
khap_1000 - khap_2500,0.06637873050380173,0.00616113490589708,900,10.773782999016605,4.2787995369053533e-13,***
khap_1000 - khap_5000,0.14420982517285877,0.006161134905897091,900,23.406373561927566,3.517186542012496e-13,***
khap_1000 - khap_10000,0.18519118466731826,0.006161134905897083,900,30.057966185753205,3.517186542012496e-13,***
khap_1000 - khap_20000,0.19553021857933361,0.006161134905897085,900,31.73607161112205,3.517186542012496e-13,***
khap_1000 - khap_30000,0.21502628990753883,0.006161134905897085,900,34.90043525937534,3.517186542012496e-13,***
khap_2500 - khap_5000,0.07783109466905704,0.006161134905897086,900,12.632590562910993,3.517186542012496e-13,***
khap_2500 - khap_10000,0.11881245416351656,0.006161134905897078,900,19.284183186736623,3.517186542012496e-13,***
khap_2500 - khap_20000,0.12915148807553187,0.006161134905897092,900,20.96228861210543,3.517186542012496e-13,***
khap_2500 - khap_30000,0.14864755940373708,0.006161134905897078,900,24.126652260358775,3.517186542012496e-13,***
khap_5000 - khap_10000,0.040981359494459524,0.006161134905897082,900,6.65159262382561,1.8083512465238982e-9,***
khap_5000 - khap_20000,0.05132039340647483,0.006161134905897093,900,8.329698049194448,4.589661983800397e-13,***
khap_5000 - khap_30000,0.07081646473468005,0.006161134905897089,900,11.494061697447746,3.597122599785507e-13,***
khap_10000 - khap_20000,0.010339033912015315,0.006161134905897075,900,1.6781054253688557,0.7599552415102608,
khap_10000 - khap_30000,0.029835105240220535,0.006161134905897087,900,4.842469073622146,5.279403210523004e-5,***
khap_20000 - khap_30000,0.019496071328205213,0.00616113490589709,900,3.164363648253291,0.04242775143253408,*
