contrast,estimate,SE,df,t.ratio,p.value,signf
khap_100 - khap_250,0.001497641579469709,0.0014606699137489538,900,1.025311444682162,0.9834420824051633,
khap_100 - khap_500,0.004007405034110315,0.0014606699137489523,900,2.743539109274126,0.1342836864013901,
khap_100 - khap_1000,0.006647666976642304,0.001460669913748949,900,4.551108305900839,2.0873694094547535e-4,***
khap_100 - khap_2500,0.01390619378433485,0.001460669913748947,900,9.52042186495325,4.3498538104813633e-13,***
khap_100 - khap_5000,0.02092818929880338,0.0014606699137489495,900,14.327801991272056,3.517186542012496e-13,***
khap_100 - khap_10000,0.029869846132205703,0.001460669913748951,900,20.4494156078986,3.517186542012496e-13,***
khap_100 - khap_20000,0.03416136035071517,0.001460669913748949,900,23.387460800802536,3.517186542012496e-13,***
khap_100 - khap_30000,0.016513303429790273,0.0014606699137489454,900,11.305294423027679,3.737010700888277e-13,***
khap_250 - khap_500,0.0025097634546406033,0.001460669913748952,900,1.7182276645919612,0.7352845033531759,
khap_250 - khap_1000,0.005150025397172593,0.0014606699137489486,900,3.5257968612186734,0.013118976300368512,*
khap_250 - khap_2500,0.01240855220486514,0.0014606699137489493,900,8.495110420271068,4.409805853811122e-13,***
khap_250 - khap_5000,0.01943054771933367,0.0014606699137489536,900,13.302490546589851,3.517186542012496e-13,***
khap_250 - khap_10000,0.028372204552735994,0.0014606699137489482,900,19.424104163216477,3.517186542012496e-13,***
khap_250 - khap_20000,0.03266371877124546,0.001460669913748948,900,22.362149356120387,3.517186542012496e-13,***
khap_250 - khap_30000,0.015015661850320564,0.0014606699137489456,900,10.27998297834551,4.3598458177029897e-13,***
khap_500 - khap_1000,0.0026402619425319913,0.0014606699137489536,900,1.8075691966267027,0.6772343129212798,
khap_500 - khap_2500,0.009898788750224534,0.0014606699137489517,900,6.77688275567909,7.983622651863698e-10,***
khap_500 - khap_5000,0.016920784264693064,0.0014606699137489506,900,11.584262881997915,3.5704772471945034e-13,***
khap_500 - khap_10000,0.025862441098095393,0.0014606699137489545,900,17.705876498624434,3.517186542012496e-13,***
khap_500 - khap_20000,0.030153955316604857,0.001460669913748947,900,20.643921691528437,3.517186542012496e-13,***
khap_500 - khap_30000,0.01250589839567996,0.0014606699137489482,900,8.561755313753526,4.360956040727615e-13,***
khap_1000 - khap_2500,0.007258526807692544,0.0014606699137489495,900,4.969313559052393,2.828539062271762e-5,***
khap_1000 - khap_5000,0.014280522322161074,0.0014606699137489547,900,9.776693685371182,4.367617378875366e-13,***
khap_1000 - khap_10000,0.023222179155563398,0.0014606699137489482,900,15.898307301997798,3.517186542012496e-13,***
khap_1000 - khap_20000,0.027513693374072862,0.0014606699137489506,900,18.836352494901675,3.517186542012496e-13,***
khap_1000 - khap_30000,0.009865636453147971,0.0014606699137489458,900,6.754186117126828,9.267069334129019e-10,***
khap_2500 - khap_5000,0.00702199551446853,0.001460669913748952,900,4.807380126318815,6.257186818825478e-5,***
khap_2500 - khap_10000,0.015963652347870855,0.00146066991374895,900,10.928993742945389,4.141131881851834e-13,***
khap_2500 - khap_20000,0.02025516656638032,0.0014606699137489482,900,13.86703893584931,3.517186542012496e-13,***
khap_2500 - khap_30000,0.0026071096454554263,0.0014606699137489456,900,1.7848725580744222,0.6923354890112933,
khap_5000 - khap_10000,0.008941656833402327,0.0014606699137489562,900,6.121613616626542,4.959518051794731e-8,***
khap_5000 - khap_20000,0.013233171051911788,0.0014606699137489501,900,9.05965880953047,4.363176486776865e-13,***
khap_5000 - khap_30000,-0.004414885869013102,0.0014606699137489484,900,-3.022507568244407,0.06426700527857632,.
khap_10000 - khap_20000,0.004291514218509461,0.0014606699137489525,900,2.938045192903898,0.08124938349414179,.
khap_10000 - khap_30000,-0.013356542702415432,0.001460669913748947,900,-9.144121184870993,4.3942627314663696e-13,***
khap_20000 - khap_30000,-0.017648056920924894,0.0014606699137489473,900,-12.0821663777749,3.517186542012496e-13,***
