array,mcc_mean,mcc_lower,mcc_upper,mcc_df,mcc_rank
GSA-24v2-0_A1-b37,0.6581515991376508,0.6355785529988754,0.6807246452764261,672,1
InfiniumOmni2-5Exome-8v1-3_A1-b37,0.6464626637825573,0.6236223628760345,0.6693029646890802,651,2
PsychChip_v1-1_15073391_A1-b37,0.645930595171632,0.6232135686357484,0.6686476217075156,682,3
HumanOmni2-5Exome-8-v1-1-A-b37,0.6448369169116578,0.6217146124037152,0.6679592214196004,633,4
HumanOmni5Exome-4v1-2_A-b37,0.6431415662089668,0.6185806487849498,0.6677024836329838,586,5
HumanOmni25Exome-8v1_A-b37,0.6422736171939445,0.6193504988215062,0.6651967355663828,660,6
HumanOmni5Exome-4v1-1_A-b37,0.6419928882169198,0.6195156073949672,0.6644701690388723,684,7
GSAMD-24v2-0_20024620_A1-b37,0.6413269591406139,0.618518658178311,0.6641352601029168,667,8
InfiniumOmni5Exome-4v1-3_A1-b37,0.6407693855664551,0.6178889537751322,0.6636498173577781,665,9
Multi-EthnicGlobal_A1-b37,0.6403442378144921,0.6176965526528775,0.6629919229761068,694,10
InfiniumPsychArray-24v1-1_A1-b37,0.6402637257639409,0.6164430430941354,0.6640844084337463,607,11
HumanCore-12-v1-0-B-b37,0.6400675180514938,0.6129950589098723,0.6671399771931152,515,12
humancoreexome-12v1-0_c-b37,0.6396226781146903,0.6164479724099619,0.6627973838194188,668,13
humancore-24-v1-0-manifest-file-a-b37,0.6392919122452797,0.6118882713959717,0.6666955530945877,512,14
InfiniumCoreExome-24v1-1_A-b37,0.6392755278297538,0.6154624645015597,0.6630885911579479,628,15
InfiniumPsychArray-24v1-2_A2-b37,0.6392230303789386,0.6154693680304036,0.6629766927274735,631,16
HumanCoreExome-12v1-0_B-b37,0.63891836642342,0.6157403575803693,0.6620963752664708,674,17
HumanCoreExome-12-v1-0-D-b37,0.6388708202156608,0.6157616395859337,0.6619800008453879,672,18
humancoreexome-12v1-1_a-b37,0.6382529215718061,0.6151658510957783,0.661339992047834,656,19
InfiniumOmni2.5Exome-8v1-2_A-b37,0.6379052049630114,0.613963405785972,0.6618470041400508,621,20
HumanOmni5Exome-4v1_A-b37,0.6376871864759075,0.6150096046862423,0.6603647682655727,685,21
InfiniumPsychArray-24v1-2_A1-b37,0.637507204924421,0.6135731288805174,0.6614412809683247,628,22
PsychChip_15048346_B-b37,0.6370531178782413,0.6140828146865401,0.6600234210699424,657,23
HumanCoreExome-12v1-1_B-b37,0.6367316702915615,0.6135644075852813,0.6598989329978417,653,24
humancore-12v1-0_a-b37,0.6363774409669304,0.6089394769995073,0.6638154049343534,517,25
HumanCoreExome-12-v1-1-C-b37,0.6335524982689259,0.6104163049550134,0.6566886915828384,659,26
InfiniumCoreExome-24v1-2_A1-b37,0.6330536441009658,0.6098286099311192,0.6562786782708123,663,27
InfiniumExome-24v1-1_A1-b37,0.6328419957468542,0.6019253802229773,0.6637586112707311,406,28
InfiniumOmniExpressExome-8v1-4_A1-b37,0.6322880211187005,0.601217197597764,0.663358844639637,408,29
InfiniumOmni5-4v1-2_A1-b37,0.6320174814788574,0.6060185165586435,0.6580164463990713,550,30
HumanOmni5-4v1-1_A-b37,0.6317041333265991,0.6041438797284557,0.6592643869247425,496,31
HumanCoreExome-24v1-0_A-b37,0.6308497347055214,0.6064727638149281,0.6552267055961147,607,32
HumanOmni5-4-v1-0-D-b37,0.6292355157647463,0.6043505634215021,0.6541204681079906,604,33
InfiniumOmni2-5-8v1-3_A1-b37,0.6285322958187315,0.5999628014981838,0.6571017901392792,483,34
HumanOmni5-4v1_B-b37,0.6282685281849754,0.6032964759071205,0.6532405804628302,607,35
humanomni5-4v1_c-b37,0.6282685281849754,0.6032964759071205,0.6532405804628302,607,36
HumanExome-12v1-1_A-b37,0.6280488767018112,0.5999572460786687,0.6561405073249537,463,37
NeuroX_15036164_A-b37,0.6272815281886213,0.5991339855061422,0.6554290708711004,462,38
OmniExpressExome-8v1-1_A-b37,0.6258899444062201,0.5980299060230387,0.6537499827894016,469,39
Consortium-OncoArray_15047405_A-b37,0.6249025528275354,0.5952120125058054,0.6545930931492654,410,40
OncoArray-500K_B-b37,0.6238149145668174,0.5931051238898264,0.6545247052438083,383,41
InfiniumOmniExpressExome-8v1-3_A-b37,0.623791057311136,0.5948452986671761,0.652736815955096,451,42
OncoArray-500K-C-b37,0.6223950185181505,0.5915858357010373,0.6532042013352637,384,43
InfiniumCore-24v1-1_A1-b37,0.6194769949590951,0.5902995386355105,0.6486544512826797,481,44
HumanOmniExpressExome-8-v1-1-C-b37,0.6193029003961057,0.5908563654040769,0.6477494353881345,468,45
OmniExpressExome-8v1-1_B-b37,0.6192326743652644,0.5909645536281444,0.6475007951023845,467,46
HumanOmni2.5-8v1_A-b37,0.6189890965122252,0.5930074894570792,0.6449707035673713,569,47
HumanOmniExpressExome-8v1_A-b37,0.6180487115766268,0.5903627771726134,0.6457346459806401,480,48
PsychArray_A-b37,0.617505844041774,0.5909205432285529,0.6440911448549951,570,49
