array,haplogrep_imputed_match_mean,haplogrep_imputed_match_lower,haplogrep_imputed_match_upper,haplogrep_imputed_match_df,haplogrep_typed_match_mean,haplogrep_typed_match_lower,haplogrep_typed_match_upper,haplogrep_typed_match_df,haplogrep_diff,haplogrep_imputed_match_rank,haplogrep_typed_match_rank,haplogrep_diff_rank
HumanOmni2.5S-8v1_B-b37,0.653906866614049,0.6353807268347278,0.6724330063933701,2533,0.4139700078926598,0.39478884840167205,0.43315116738364756,2533,0.23993685872138915,92,92,1
HumanOmni1-Quad_v1-0_B-b37,0.5386740331491713,0.5192608180375453,0.5580872482607973,2533,0.39187056037884765,0.3728597850568885,0.4108813357008068,2533,0.14680347277032363,93,94,2
HumanOmni1-Quad_v1-0_C-b37,0.5386740331491713,0.5192608180375453,0.5580872482607973,2533,0.39187056037884765,0.3728597850568885,0.4108813357008068,2533,0.14680347277032363,94,95,3
humanomni1-quad_v1-0-multi_h-b37,0.5355169692186267,0.5160946073772867,0.5549393310599666,2533,0.39187056037884765,0.3728597850568885,0.4108813357008068,2533,0.14364640883977903,95,96,4
HumanOmni1-Quad_v1-0_H-b37,0.5343330702446725,0.5149074801012672,0.5537586603880778,2533,0.39187056037884765,0.3728597850568885,0.4108813357008068,2533,0.14246250986582482,96,97,5
HumanOmniZhongHua-8v1_B-b37,0.45185477505919497,0.4324737049852821,0.47123584513310784,2533,0.39344909234411996,0.37442480493228525,0.41247337975595466,2533,0.058405682715075014,97,93,6
HumanOmni5-4v1-1_A-b37,0.9621152328334649,0.9546803119281984,0.9695501537387314,2533,0.9163378058405682,0.9055552200129908,0.9271203916681456,2533,0.045777426992896664,33,61,7
GSCA-24v1-0_20010441_A1-b37,0.8839779005524862,0.8715063181669526,0.8964494829380197,2533,0.8421468034727704,0.8279480215559253,0.8563455853896155,2533,0.04183109707971577,74,84,8
GSA-24v1-0_A1-b37,0.8820047355958959,0.8694415943224574,0.8945678768693344,2533,0.8421468034727704,0.8279480215559253,0.8563455853896155,2533,0.039857932123125495,75,85,9
GSA-24v1-0_A2-b37,0.8820047355958959,0.8694415943224574,0.8945678768693344,2533,0.8421468034727704,0.8279480215559253,0.8563455853896155,2533,0.039857932123125495,76,86,10
GSAMD-24v1-0_20011747_A1-b37,0.8820047355958959,0.8694415943224574,0.8945678768693344,2533,0.8421468034727704,0.8279480215559253,0.8563455853896155,2533,0.039857932123125495,77,87,11
HumanOmniExpressExome-8-v1-2-B-b37,0.8693764798737175,0.8562531171999728,0.8824998425474622,2533,0.8303078137332282,0.8156900485526495,0.8449255789138068,2533,0.039068666140489317,89,89,12
HumanOmniExpressExome-8v1-2_A-b37,0.8693764798737175,0.8562531171999728,0.8824998425474622,2533,0.8303078137332282,0.8156900485526495,0.8449255789138068,2533,0.039068666140489317,90,90,13
GSA-24v1-0_A6-b37,0.8804262036306235,0.8677906293559395,0.8930617779053075,2533,0.8421468034727704,0.8279480215559253,0.8563455853896155,2533,0.03827940015785314,83,88,14
HumanExome-12v1-2_A-b37,0.8674033149171271,0.8541962178936469,0.8806104119406073,2533,0.8303078137332282,0.8156900485526495,0.8449255789138068,2533,0.03709550118389893,91,91,15
HumanOmniZhongHua-8v1-2_A-b37,0.3867403314917127,0.36777491298465,0.40570574999877546,2533,0.35082872928176795,0.3322439367533909,0.369413521810145,2533,0.03591160220994477,99,99,16
humanomnizhonghua-8v1-1_a-b37,0.4135753749013418,0.3943969060455405,0.43275384375714304,2533,0.3808208366219416,0.36191051069951935,0.39973116254436386,2533,0.03275453827940017,98,98,17
HumanOmni5Exome-4v1-2_A-b37,0.9636937647987371,0.956409417744773,0.9709781118527013,2533,0.9348855564325178,0.9252772158690856,0.94449389699595,2533,0.028808208366219334,32,55,18
