HaploGrep_Macrohaplogroup_truth,typed_concordance_mean,typed_concordance_lower,typed_concordance_upper,typed_concordance_df,imputed_concordance_mean,imputed_concordance_lower,imputed_concordance_upper,imputed_concordance_df,diff
A,1,1,1,2,1,1,1,2,0
B,1,1,1,2,1,1,1,2,0
F,1,NA,NA,0,1,NA,NA,0,0
H,0.9906542056074766,0.9723367851912145,1.008971626023739,106,0.9813084112149533,0.9555261485816386,1.007090673848268,106,-0.009345794392523366
HV,1,NA,NA,0,1,NA,NA,0,0
I,1,1,1,7,1,1,1,7,0
J,1,1,1,24,1,1,1,24,0
K,1,1,1,24,1,1,1,24,0
L,1,1,1,6,1,1,1,6,0
L2,1,1,1,2,1,1,1,2,0
L3,1,NA,NA,0,1,NA,NA,0,0
M,1,1,1,2,1,1,1,2,0
N,1,1,1,2,1,1,1,2,0
R,0,0,0,2,0,0,0,2,0
T,0.9523809523809523,0.8590493340695212,1.0457125706923835,20,0.9523809523809523,0.8590493340695212,1.0457125706923835,20,0
U,1,1,1,28,1,1,1,28,0
V,0.3333333333333333,0.006672669243324381,0.6599939974233422,8,1,1,1,8,0.6666666666666667
W,1,1,1,1,1,1,1,1,0
X,1,1,1,3,1,1,1,3,0
