HiMC_macrohaplogroup_truth,typed_concordance_mean,typed_concordance_lower,typed_concordance_upper,typed_concordance_df,imputed_concordance_mean,imputed_concordance_lower,imputed_concordance_upper,imputed_concordance_df,diff
A,0.6666666666666666,0.013345338486648761,1.3199879948466844,2,1,1,1,2,0.33333333333333337
B,1,1,1,2,1,1,1,2,0
H,0.05660377358490566,0.01240367872476783,0.10080386844504349,105,1,1,1,105,0.9433962264150944
HV,0,NA,NA,0,0,NA,NA,0,0
J,0.041666666666666664,-0.03999849935583558,0.12333183268916892,23,1,1,1,23,0.9583333333333334
JT,0.5,-0.4799819922700267,1.4799819922700266,1,1,1,1,1,0.5
K,1,1,1,24,1,1,1,24,0
L,1,1,1,4,1,1,1,8,0
L1,1,NA,NA,0,1,NA,NA,0,0
L2,NaN,NaN,NaN,-1,1,NA,NA,0,NaN
M,0,0,0,2,1,1,1,2,1
N,0.09090909090909091,-0.0872694531400049,0.2690876349581867,10,0.36363636363636365,0.06548663285252482,0.6617860944202025,10,0.2727272727272727
R,1,1,1,3,0.25,-0.2399909961350134,0.7399909961350134,3,-0.75
T,0.95,0.8520018007729973,1.0479981992270027,19,0.95,0.8520018007729973,1.0479981992270027,19,0
U,0.9655172413793104,0.8979322763951706,1.03310220636345,28,0.9655172413793104,0.8979322763951706,1.03310220636345,28,0
V,0,0,0,9,1,1,1,9,1
W,0,0,0,1,1,1,1,1,1
X,0,0,0,3,1,1,1,3,1
