contrast,estimate,SE,df,t.ratio,p.value,signf
khap_100 - khap_250,0.001859854493736634,0.006737132801903484,900,0.2760602393367038,0.9999990110134357,
khap_100 - khap_500,0.00564598685598626,0.006737132801903477,900,0.838040012272145,0.9956790165381988,
khap_100 - khap_1000,0.010530058530714662,0.006737132801903464,900,1.5629881197739743,0.8246482125471608,
khap_100 - khap_2500,0.019993435807668793,0.006737132801903452,900,2.967647572869577,0.0749218903514216,.
khap_100 - khap_5000,0.04364015722803493,0.0067371328019034645,900,6.477556330150584,5.5085394023990375e-9,***
khap_100 - khap_10000,0.05179460329616174,0.006737132801903471,900,7.687929690435668,1.828759366162558e-12,***
khap_100 - khap_20000,0.06323114552970636,0.006737132801903463,900,9.385468178962046,4.403144515663371e-13,***
khap_100 - khap_30000,0.02806192221432039,0.006737132801903446,900,4.165261846462643,0.001131369996395959,**
khap_250 - khap_500,0.003786132362249622,0.006737132801903477,900,0.5619797729354402,0.9997598358051947,
khap_250 - khap_1000,0.008670204036978026,0.006737132801903461,900,1.2869278804372697,0.9351435271692754,
khap_250 - khap_2500,0.018133581313932157,0.006737132801903464,900,2.6915873335328673,0.15217711017729696,
khap_250 - khap_5000,0.04178030273429829,0.0067371328019034836,900,6.201496090813861,3.057564768038645e-8,***
khap_250 - khap_10000,0.04993474880242511,0.006737132801903458,900,7.411869451098978,1.074185185245824e-11,***
khap_250 - khap_20000,0.06137129103596972,0.0067371328019034575,900,9.109407939625347,4.3653969328261155e-13,***
khap_250 - khap_30000,0.026202067720583762,0.006737132801903447,900,3.8892016071259383,0.0034456034452682305,**
khap_500 - khap_1000,0.004884071674728405,0.006737132801903484,900,0.724948107501826,0.9984424753751111,
khap_500 - khap_2500,0.014347448951682539,0.006737132801903475,900,2.1296075605974227,0.4536060766209522,
khap_500 - khap_5000,0.03799417037204867,0.00673713280190347,900,5.639516317878433,8.159473000590722e-7,***
khap_500 - khap_10000,0.04614861644017548,0.006737132801903488,900,6.849889678163506,4.928437657980567e-10,***
khap_500 - khap_20000,0.057585158673720105,0.006737132801903452,900,8.547428166689913,4.3709480479492413e-13,***
khap_500 - khap_30000,0.02241593535833415,0.006737132801903458,900,3.327221834190491,0.025508238977363207,*
khap_1000 - khap_2500,0.009463377276954133,0.006737132801903465,900,1.4046594530955978,0.8961444196662972,
khap_1000 - khap_5000,0.03311009869732026,0.006737132801903489,900,4.914568210376592,3.7097923001550015e-5,***
khap_1000 - khap_10000,0.041264544765447074,0.006737132801903458,900,6.124941570661707,4.861117230969825e-8,***
khap_1000 - khap_20000,0.052701086998991696,0.00673713280190347,900,7.822480059188063,9.5812247025151e-13,***
khap_1000 - khap_30000,0.017531863683605736,0.006737132801903448,900,2.6022737266886655,0.18695584575825197,
khap_2500 - khap_5000,0.023646721420366133,0.006737132801903477,900,3.509908757281006,0.013860125094985243,*
khap_2500 - khap_10000,0.031801167488492946,0.006737132801903467,900,4.720282117566103,9.491261467420298e-5,***
khap_2500 - khap_20000,0.04323770972203757,0.006737132801903459,900,6.417820606092477,8.026136089078761e-9,***
khap_2500 - khap_30000,0.008068486406651604,0.006737132801903447,900,1.1976142735930646,0.9570257777456265,
khap_5000 - khap_10000,0.008154446068126812,0.006737132801903497,900,1.2103733602850861,0.9542797890772523,
khap_5000 - khap_20000,0.019590988301671428,0.006737132801903467,900,2.907911848811458,0.08813069325411438,.
khap_5000 - khap_30000,-0.015578235013714525,0.006737132801903459,900,-2.312294483687952,0.33565446768600526,
khap_10000 - khap_20000,0.011436542233544617,0.006737132801903478,900,1.6975384885263638,0.7481283989249667,
khap_10000 - khap_30000,-0.023732681081841338,0.0067371328019034515,900,-3.522667843973049,0.013262051148683174,*
khap_20000 - khap_30000,-0.03516922331538595,0.006737132801903455,900,-5.220206332499417,7.87240045141413e-6,***
