key,HaploGrep_Macrohaplogroup_truth,emmean,SE,df,lower.CL,upper.CL
HaploGrep_imputed_cutoff_macro_match,A,0.7066591359143197,0.0018458869070612025,511839,0.7030412555016098,0.7102770163270297
HaploGrep_typed_macro_match,A,0.6987899196320437,0.0018458869070616197,511839,0.695172039219333,0.7024078000447544
HaploGrep_imputed_cutoff_macro_match,B,0.7551263939867608,0.0016085911354612806,511839,0.7519736058398914,0.7582791821336303
HaploGrep_typed_macro_match,B,0.7472571777044847,0.0016085911354617643,511839,0.7441043895576143,0.7504099658513552
HaploGrep_imputed_cutoff_macro_match,C,0.9340619065873776,0.0025847837961058833,511839,0.9289958114592044,0.9391280017155509
HaploGrep_typed_macro_match,C,0.9261926903051015,0.002584783796106188,511839,0.9211265951769277,0.9312587854332753
HaploGrep_imputed_cutoff_macro_match,D,0.8738574271959404,0.00193987313810841,511839,0.8700553367197269,0.8776595176721539
HaploGrep_typed_macro_match,D,0.8659882109136644,0.0019398731381088182,511839,0.8621861204374501,0.8697903013898787
HaploGrep_imputed_cutoff_macro_match,F,0.9320997650825089,0.002240791797911783,511839,0.9277078834761038,0.936491646688914
HaploGrep_typed_macro_match,F,0.9242305488002328,0.002240791797912135,511839,0.919838667193827,0.9286224304066386
HaploGrep_imputed_cutoff_macro_match,G,0.7965088655655741,0.004789037096231345,511839,0.7871225031400552,0.805895227991093
HaploGrep_typed_macro_match,G,0.7886396492832981,0.004789037096231512,511839,0.779253286857779,0.7980260117088173
HaploGrep_imputed_cutoff_macro_match,H,0.9700724858723588,0.0013680065014820472,511839,0.9673912360583865,0.9727537356863312
HaploGrep_typed_macro_match,H,0.9622032695900827,0.0013680065014826464,511839,0.9595220197761093,0.9648845194040562
HaploGrep_imputed_cutoff_macro_match,HV,0.58264747942501,0.006759449161072806,511839,0.5693991711852123,0.5958957876648078
HaploGrep_typed_macro_match,HV,0.5747782631427341,0.006759449161072924,511839,0.561529954902936,0.5880265713825321
HaploGrep_imputed_cutoff_macro_match,I,0.9470039150736136,0.007554322688825237,511839,0.9321976796630687,0.9618101504841585
HaploGrep_typed_macro_match,I,0.9391346987913376,0.007554322688825341,511839,0.9243284633807924,0.9539409342018828
HaploGrep_imputed_cutoff_macro_match,J,0.973934608142736,0.003046589949186186,511839,0.9679633874463025,0.9799058288391695
HaploGrep_typed_macro_match,J,0.9660653918604599,0.0030465899491864444,511839,0.9600941711640258,0.972036612556894
