contrast,estimate,SE,df,t.ratio,p.value,signf
khap_100 - khap_250,-0.011015654419326148,0.014415885949271541,900,-0.76413301673511,0.9977339300044958,
khap_100 - khap_500,-0.024842286728043617,0.014415885949271526,900,-1.7232577182881337,0.7321242437114543,
khap_100 - khap_1000,-0.04126504443390602,0.014415885949271496,900,-2.862470234511764,0.09938928217522669,.
khap_100 - khap_2500,-0.020402240254367654,0.014415885949271474,900,-1.4152609368693507,0.8920383870581043,
khap_100 - khap_5000,-0.02376219253169108,0.014415885949271498,900,-1.648333832225684,0.7775985997842586,
khap_100 - khap_10000,-0.06904928335956827,0.014415885949271514,900,-4.789805052741665,6.810004076041043e-5,***
khap_100 - khap_20000,-0.12796396172823654,0.014415885949271495,900,-8.876593653593881,4.2876813211023546e-13,***
khap_100 - khap_30000,-0.1350731624518294,0.014415885949271458,900,-9.36974410918225,4.4220183070819985e-13,***
khap_250 - khap_500,-0.01382663230871747,0.014415885949271524,900,-0.9591247015530231,0.9892606583917776,
khap_250 - khap_1000,-0.030249390014579877,0.014415885949271491,900,-2.0983372177766526,0.47505337473823506,
khap_250 - khap_2500,-0.009386585835041504,0.014415885949271496,900,-0.6511279201342359,0.9992848085451991,
khap_250 - khap_5000,-0.012746538112364935,0.01441588594927154,900,-0.8842008154905693,0.9937641558906015,
khap_250 - khap_10000,-0.058033628940242124,0.014415885949271486,900,-4.025672036006561,0.00200733438136802,**
khap_250 - khap_20000,-0.1169483073089104,0.014415885949271484,900,-8.112460636858774,5.181410855925606e-13,***
khap_250 - khap_30000,-0.12405750803250326,0.014415885949271462,900,-8.605611092447134,4.3365311341858614e-13,***
khap_500 - khap_1000,-0.016422757705862413,0.01441588594927154,900,-1.1392125162236237,0.9680968593259998,
khap_500 - khap_2500,0.004440046473675966,0.01441588594927152,900,0.30799678141878856,0.9999976616580273,
khap_500 - khap_5000,0.001080094196352543,0.01441588594927151,900,0.0749238860624535,0.9999999999692057,
khap_500 - khap_10000,-0.04420699663152466,0.014415885949271548,900,-3.0665473344535226,0.05665484897502626,.
khap_500 - khap_20000,-0.10312167500019294,0.014415885949271474,900,-7.153335935305754,6.355183046480306e-11,***
khap_500 - khap_30000,-0.1102308757237858,0.014415885949271484,900,-7.646486390894094,2.320588166071502e-12,***
khap_1000 - khap_2500,0.02086280417953838,0.014415885949271498,900,1.447209297642416,0.879064936453793,
khap_1000 - khap_5000,0.017502851902214955,0.01441588594927155,900,1.2141364022860761,0.953446543665497,
khap_1000 - khap_10000,-0.027784238925662244,0.014415885949271486,900,-1.927334818229908,0.5948350268234537,
khap_1000 - khap_20000,-0.08669891729433052,0.014415885949271508,900,-6.01412341908211,9.425382563321705e-8,***
khap_1000 - khap_30000,-0.09380811801792338,0.014415885949271462,900,-6.507273874670476,4.5626935563092275e-9,***
khap_2500 - khap_5000,-0.0033599522773234258,0.014415885949271526,900,-0.23307289535633524,0.9999997400600584,
khap_2500 - khap_10000,-0.04864704310520063,0.014415885949271505,900,-3.3745441158723213,0.0218654918873582,*
khap_2500 - khap_20000,-0.10756172147386889,0.014415885949271486,900,-7.461332716724536,7.672307233974607e-12,***
khap_2500 - khap_30000,-0.11467092219746175,0.014415885949271462,900,-7.954483172312895,6.509237593377293e-13,***
khap_5000 - khap_10000,-0.0452870908278772,0.014415885949271566,900,-3.1414712205159723,0.04544947692205947,*
khap_5000 - khap_20000,-0.10420176919654546,0.014415885949271505,900,-7.228259821368191,3.799016656813592e-11,***
khap_5000 - khap_30000,-0.11131096992013832,0.014415885949271488,900,-7.721410276956545,1.5294432387236157e-12,***
khap_10000 - khap_20000,-0.05891467836866827,0.014415885949271528,900,-4.086788600852199,0.001565674569161457,**
khap_10000 - khap_30000,-0.06602387909226112,0.014415885949271472,900,-4.579939056440561,1.8286613380280592e-4,***
khap_20000 - khap_30000,-0.0071092007235928675,0.014415885949271477,900,-0.4931504555883462,0.9999104596294549,
