array,mcc_mean,mcc_lower,mcc_upper,mcc_df,mcc_rank
GSA-24v2-0_A1-b37,0.9858821010088535,0.9783524370380252,0.9934117649796819,520,1
GSAMD-24v2-0_20024620_A1-b37,0.9847182916110423,0.9765845395793373,0.9928520436427473,601,2
Multi-EthnicGlobal_A1-b37,0.9692625758820427,0.9559428836725055,0.9825822680915799,397,3
HumanOmni5Exome-4v1-1_A-b37,0.9581908891043776,0.9387520921871101,0.977629686021645,248,4
HumanCoreExome-12-v1-1-C-b37,0.9576783931827831,0.9378309657047962,0.9775258206607701,238,5
HumanCoreExome-12v1-1_B-b37,0.9576783931827831,0.9378309657047962,0.9775258206607701,238,6
PsychArray_A-b37,0.9566637934416279,0.9356636627075594,0.9776639241756964,209,7
PsychArray-B-b37,0.9566637934416279,0.9356636627075594,0.9776639241756964,209,8
humanomnizhonghua-8v1-1_a-b37,0.9554998053707824,0.9208056390144059,0.9901939717271588,83,9
HumanOmni5Exome-4v1_A-b37,0.9552063455545887,0.9355458916308566,0.9748667994783209,250,10
humancoreexome-12v1-1_a-b37,0.9548951442286835,0.9343925172780025,0.9753977711793644,239,11
HumanCoreExome-24v1-0_A-b37,0.9545179683754477,0.933584853331605,0.9754510834192903,227,12
PsychChip_15048346_B-b37,0.9532141695897988,0.9325119221773168,0.9739164170022807,240,13
HumanOmni5Exome-4v1-2_A-b37,0.9513690655999941,0.9298871099859332,0.9728510212140551,229,14
HumanCoreExome-12v1-0_B-b37,0.9511433841018674,0.9299437707017191,0.9723429975020157,240,15
humancoreexome-12v1-0_c-b37,0.9511093684802179,0.9299592133326516,0.9722595236277841,240,16
HumanCoreExome-12-v1-0-D-b37,0.9507253679961537,0.9293941801587211,0.9720565558335863,240,17
InfiniumCoreExome-24v1-2_A1-b37,0.9504832747651053,0.9288531373920953,0.9721134121381153,240,18
PsychChip_v1-1_15073391_A1-b37,0.9473576816931746,0.925805282858171,0.9689100805281782,247,19
InfiniumCoreExome-24v1-1_A-b37,0.946985784677177,0.9235463470177108,0.9704252223366432,229,20
InfiniumOmni5Exome-4v1-3_A1-b37,0.9446856837185849,0.9213192401980065,0.9680521272391632,239,21
InfiniumPsychArray-24v1-2_A1-b37,0.9409458491958353,0.9171121779147767,0.964779520476894,239,22
InfiniumPsychArray-24v1-2_A2-b37,0.9409458491958353,0.9171121779147767,0.964779520476894,239,23
InfiniumPsychArray-24v1-1_A1-b37,0.9378037637986971,0.9123593009484541,0.9632482266489402,217,24
InfiniumOmni2.5Exome-8v1-2_A-b37,0.9365381961195299,0.9116434805476904,0.9614329116913695,222,25
InfiniumOmni2-5Exome-8v1-3_A1-b37,0.9340495266177966,0.9093609344180806,0.9587381188175126,243,26
HumanOmniZhongHua-8v1-2_A-b37,0.9339140399666015,0.8818744608428046,0.9859536190903984,76,27
HumanOmni2-5Exome-8-v1-1-A-b37,0.932936050695676,0.9078833593674263,0.9579887420239257,241,28
HumanOmni25Exome-8v1_A-b37,0.931250035470008,0.9057894685499609,0.956710602390055,241,29
InfiniumOmniZhongHua-8v1-3_A1-b37,0.9311153382935397,0.8777050410586206,0.9845256355284587,76,30
InfiniumOmniZhongHua-8v1-3_A2-b37,0.9311153382935397,0.8777050410586206,0.9845256355284587,76,31
InfiniumOmniExpressExome-8v1-4_A1-b37,0.9223976923422862,0.8859159653332838,0.9588794193512886,149,32
InfiniumExome-24v1-1_A1-b37,0.9198241280985017,0.8823776060596974,0.957270650137306,149,33
InfiniumOmniExpressExome-8v1-3_A-b37,0.9184776898282508,0.8814788412073283,0.9554765384491734,155,34
NeuroX_15036164_A-b37,0.9115499317199713,0.8736899443613745,0.9494099190785682,157,35
OmniExpressExome-8v1-1_A-b37,0.9107956533616072,0.8727851721427395,0.9488061345804748,156,36
OmniExpressExome-8v1-1_B-b37,0.9107956533616072,0.8727851721427395,0.9488061345804748,156,37
HumanOmniExpressExome-8-v1-1-C-b37,0.9104793192722617,0.8723625348427501,0.9485961037017733,156,38
HumanOmniExpressExome-8v1_A-b37,0.9104690986807871,0.8742805113293108,0.9466576860322633,161,39
humanomniexpressexome-8v1-0_a-b37,0.9104690986807871,0.8742805113293108,0.9466576860322633,161,40
HumanExome-12v1-1_A-b37,0.9101720280663261,0.8720557519455235,0.9482883041871287,157,41
HumanOmniExpressExome-8-v1-0-B-b37,0.9090435210309651,0.8721634925151946,0.9459235495467355,161,42
HumanExome-12v1_A-b37,0.9063017167321655,0.8684000984155575,0.9442033350487735,161,43
HumanOmni5-4-v1-0-D-b37,0.9040207026881576,0.8671569180301334,0.9408844873461818,148,44
HumanOmni5-4v1_B-b37,0.9040207026881576,0.8671569180301334,0.9408844873461818,148,45
humanomni5-4v1_c-b37,0.9040207026881576,0.8671569180301334,0.9408844873461818,148,46
HumanOmni2.5-8v1_C-b37,0.9019195691659079,0.8663232435021484,0.9375158948296674,142,47
HumanOmni2-5-8-v1-0-D-b37,0.9013727042615574,0.8657226507731206,0.9370227577499941,142,48
HumanOmni2.5-8v1_A-b37,0.9013727042615574,0.8657226507731206,0.9370227577499941,142,49
InfiniumOmni5-4v1-2_A1-b37,0.9009047237562385,0.8610485014340564,0.9407609460784206,137,50
HumanOmni2-5-8-v1-1-C-b37,0.8997744982021031,0.8600530767333353,0.9394959196708709,132,51
HumanOmni25-8v1-1_A-b37,0.8985508624907028,0.8590227890689346,0.938078935912471,133,52
humanomni25m-8v1-1_b-b37,0.8985508624907028,0.8590227890689346,0.938078935912471,133,53
HumanExome-12v1-2_A-b37,0.896888502129376,0.85686002585786325,0.9369169784008887,159,54
HumanOmniExpressExome-8-v1-2-B-b37,0.8962133521669018,0.8560310622678338,0.9363956420659698,159,55
HumanOmniExpressExome-8v1-2_A-b37,0.8962133521669018,0.8560310622678338,0.9363956420659698,159,56
HumanOmniZhongHua-8v1_B-b37,0.8939123944418239,0.8389339273743782,0.9488908615092696,93,57
HumanOmni2-5-8-v1-2-A-b37,0.885818262585828,0.8379278090469137,0.9337087161247423,109,58
HumanOmni5-4v1-1_A-b37,0.8826618792584,0.8344070479402617,0.9309167105765384,122,59
HumanOmni25-8v1-2_A1-b37,0.8824311898078677,0.8328375585288952,0.9320248210868403,109,60
