contrast,estimate,SE,df,t.ratio,p.value,signf
khap_100 - khap_250,9.103909601691541e-4,0.002616765732478884,900,0.3479069405677111,0.9999939331161043,
khap_100 - khap_500,0.009975227988465498,0.0026167657324788814,900,3.812044717895282,0.0046343894039473366,**
khap_100 - khap_1000,0.01989184711683442,0.002616765732478876,900,7.6016919932648195,3.0569990983053685e-12,***
khap_100 - khap_2500,0.02709292239405435,0.0026167657324788715,900,10.353591098271195,4.3809400551708677e-13,***
khap_100 - khap_5000,0.030410183875530097,0.0026167657324788762,900,11.621286345232887,3.552713678800501e-13,***
khap_100 - khap_10000,0.016738690443629654,0.0026167657324788793,900,6.396709585375449,9.161394753931518e-9,***
khap_100 - khap_20000,0.008748349183773738,0.0026167657324788754,900,3.3431915876880516,0.02422319109443627,*
khap_100 - khap_30000,-0.00834980893511616,0.0026167657324788693,900,-3.190888978512556,0.039143627748080445,*
khap_250 - khap_500,0.009064837028296342,0.002616765732478881,900,3.4641377773275703,0.016210322368606866,*
khap_250 - khap_1000,0.018981456156665265,0.002616765732478875,900,7.253785052697109,3.186717556502572e-11,***
khap_250 - khap_2500,0.026182531433885197,0.002616765732478876,900,10.005684157703467,4.363176486776865e-13,***
khap_250 - khap_5000,0.02949979291536094,0.0026167657324788836,900,11.273379404665143,3.7614356074300304e-13,***
khap_250 - khap_10000,0.0158282994834605,0.002616765732478874,900,6.04880264480775,7.670251100933001e-8,***
khap_250 - khap_20000,0.007837958223604585,0.0026167657324788736,900,2.9952846471203416,0.06938532827434252,.
khap_250 - khap_30000,-0.009260199895285315,0.0026167657324788697,900,-3.5387959190802687,0.012539369711087822,*
khap_500 - khap_1000,0.009916619128368925,0.0026167657324788836,900,3.7896472753695187,0.005044517748855615,**
khap_500 - khap_2500,0.017117694405588857,0.0026167657324788806,900,6.541546380375879,3.668271908452425e-9,***
khap_500 - khap_5000,0.0204349558870646,0.0026167657324788784,900,7.809241627337591,1.0129674876679928e-12,***
khap_500 - khap_10000,0.0067634624551641594,0.0026167657324788853,900,2.584664867480159,0.19442746307502645,
khap_500 - khap_20000,-0.0012268788046917555,0.002616765732478872,900,-0.4688531302072382,0.9999390894018318,
khap_500 - khap_30000,-0.018325036923581655,0.0026167657324788736,900,-7.002933696407843,1.7685608533213326e-10,***
khap_1000 - khap_2500,0.007201075277219932,0.0026167657324788762,900,2.7518991050063604,0.13155974857714392,
khap_1000 - khap_5000,0.010518336758695674,0.0026167657324788858,900,4.019594351968053,0.002057104817641875,**
khap_1000 - khap_10000,-0.0031531566732047665,0.0026167657324788736,900,-1.2049824078893632,0.9554548799008877,
khap_1000 - khap_20000,-0.011143497933060683,0.0026167657324788784,900,-4.258500405576765,7.626204026309757e-4,***
khap_1000 - khap_30000,-0.02824165605195058,0.0026167657324788697,900,-10.792580971777392,4.2588155224621005e-13,***
khap_2500 - khap_5000,0.0033172614814757427,0.002616765732478881,900,1.2676952469617053,0.9403932752952948,
khap_2500 - khap_10000,-0.010354231950424696,0.002616765732478877,900,-3.9568815128957198,0.0026424021205952997,**
khap_2500 - khap_20000,-0.018344573210280612,0.002616765732478874,900,-7.010399510583133,1.6815493442123852e-10,***
khap_2500 - khap_30000,-0.035442731329170515,0.0026167657324788697,900,-13.544480076783762,3.517186542012496e-13,***
khap_5000 - khap_10000,-0.013671493431900439,0.0026167657324788884,900,-5.224576759857404,7.694953641501634e-6,***
khap_5000 - khap_20000,-0.021661834691756355,0.0026167657324788775,900,-8.27809475754483,4.669598041573408e-13,***
khap_5000 - khap_30000,-0.03875999281064625,0.0026167657324788745,900,-14.812175323745443,3.517186542012496e-13,***
khap_10000 - khap_20000,-0.007990341259855916,0.002616765732478882,900,-3.053517997687399,0.058823701909769266,.
khap_10000 - khap_30000,-0.025088499378745816,0.0026167657324788715,900,-9.587598563888022,4.3365311341858614e-13,***
khap_20000 - khap_30000,-0.0170981581188899,0.0026167657324788723,900,-6.5340805662006085,3.8471623664548815e-9,***
