contrast,estimate,SE,df,t.ratio,p.value,signf
khap_100 - khap_250,-0.010291794186766482,0.021010322329915634,900,-0.48984465945638866,0.9999149270105772,
khap_100 - khap_500,-0.01325426825999064,0.02101032232991561,900,-0.6308455459114262,0.999433104470367,
khap_100 - khap_1000,-0.0012721080050448986,0.02101032232991557,900,-0.06054681051863761,0.9999999999944169,
khap_100 - khap_2500,0.0201602970146465,0.021010322329915534,900,0.9595424904995995,0.9892298416437683,
khap_100 - khap_5000,0.0678292956818912,0.021010322329915572,900,3.228379584891583,0.03487693267124237,*
khap_100 - khap_10000,0.16389319220903406,0.021010322329915596,900,7.80060341938088,1.0460521338018225e-12,***
khap_100 - khap_20000,0.21180472992427757,0.021010322329915565,900,10.08098431801302,4.3809400551708677e-13,***
khap_100 - khap_30000,0.2236220867474458,0.021010322329915516,900,10.643439126540283,4.32764934998886e-13,***
khap_250 - khap_500,-0.0029624740732241573,0.02101032232991561,900,-0.1410008864550369,0.9999999952029035,
khap_250 - khap_1000,0.009019686181721588,0.021010322329915565,900,0.42929784893775286,0.9999690273021837,
khap_250 - khap_2500,0.03045209120141297,0.021010322329915572,900,1.4493871499559874,0.8781478454301672,
khap_250 - khap_5000,0.07812108986865766,0.021010322329915634,900,3.7182242443479616,0.00658589969577239,**
khap_250 - khap_10000,0.17418498639580055,0.021010322329915555,900,8.290448078837287,4.645173135031655e-13,***
khap_250 - khap_20000,0.22209652411104402,0.021010322329915555,900,10.570828977469413,4.3431924723336124e-13,***
khap_250 - khap_30000,0.2339138809342123,0.02101032232991552,900,11.133283785996673,3.923528169025303e-13,***
khap_500 - khap_1000,0.011982160254945749,0.021010322329915634,900,0.5702987353927883,0.9997319155540134,
khap_500 - khap_2500,0.033414565274637126,0.021010322329915607,900,1.5903880364110219,0.8101456139335628,
khap_500 - khap_5000,0.0810835639418818,0.02101032232991559,900,3.859225130803006,0.0038691783123244727,**
khap_500 - khap_10000,0.17714746046902471,0.021010322329915645,900,8.431448965292288,4.4653170050423796e-13,***
khap_500 - khap_20000,0.2250589981842682,0.021010322329915534,900,10.711829863924462,4.303224443447107e-13,***
khap_500 - khap_30000,0.23687635500743648,0.021010322329915555,900,11.274284672451692,3.7614356074300304e-13,***
khap_1000 - khap_2500,0.02143240501969138,0.021010322329915572,900,1.0200893010182344,0.9839744406141788,
khap_1000 - khap_5000,0.06910140368693607,0.02101032232991565,900,3.2889263954102077,0.028837046994238058,*
khap_1000 - khap_10000,0.16516530021407896,0.02101032232991555,900,7.861150229899534,8.359979375427429e-13,***
khap_1000 - khap_20000,0.21307683792932244,0.02101032232991559,900,10.141531128531645,4.3787196091216174e-13,***
khap_1000 - khap_30000,0.22489419475249073,0.02101032232991552,900,10.70398593705892,4.312106227644108e-13,***
khap_2500 - khap_5000,0.04766899866724469,0.02101032232991561,900,2.268837094391981,0.36232110763285763,
khap_2500 - khap_10000,0.1437328951943876,0.02101032232991558,900,6.841060928881291,5.22567766836346e-10,***
khap_2500 - khap_20000,0.19164443290963104,0.021010322329915555,900,9.121441827513424,4.4164671919588727e-13,***
khap_2500 - khap_30000,0.20346178973279933,0.02101032232991552,900,9.683896636040682,4.360956040727615e-13,***
khap_5000 - khap_10000,0.09606389652714291,0.021010322329915673,900,4.572223834489286,1.8947261931168136e-4,***
khap_5000 - khap_20000,0.14397543424238637,0.021010322329915582,900,6.852604733121429,4.840416956142235e-10,***
khap_5000 - khap_30000,0.15579279106555463,0.021010322329915558,900,7.415059541648677,1.0510037284916507e-11,***
khap_10000 - khap_20000,0.04791153771524347,0.021010322329915617,900,2.28038089863212,0.3551409312648556,
khap_10000 - khap_30000,0.059728894538411736,0.021010322329915534,900,2.84283570715937,0.10459544651203379,
khap_20000 - khap_30000,0.01181735682316827,0.021010322329915544,900,0.5624548085272414,0.9997583108198378,
