haplogroup,typed_true,imputed_true,diff
A,0.485148514851485,0.258415841584158,-0.226732673267327
A2,0.0693069306930693,0.643397953240702,0.574091022547633
B2,0.944037882049074,0.794984933275936,-0.149052948773138
B4b'd'e,0.512022630834512,0.509193776520509,-0.00282885431400282
B5,0.40548008289201,0.851715404098549,0.446235321206539
C,0.857142857142857,0.95049504950495,0.0933521923620934
D,0.0594059405940594,0.691602493582692,0.632196552988632
D1,0.0198019801980198,0.0520878174773999,0.0322858372793801
D4,0.433714800051434,0.871544297286872,0.437829497235438
H,0.297029702970297,0.908576571942909,0.611546868972612
H2,0.811881188118812,0.435643564356436,-0.376237623762376
H2a,0.524752475247525,0.886138613861386,0.361386138613861
H2a2a,0.405940594059406,0.415841584158416,0.00990099009900985
HV,0.253593101245608,0.55381667198978,0.300223570744171
I,0.0297029702970297,0.801980198019802,0.772277227722772
J,0.346534653465347,0.928586475668843,0.582051822203497
JT,0.759075907590759,0.749174917491749,-0.00990099009900991
K,0.752475247524752,0.844413012729844,0.0919377652050919
K1,0.742574257425743,0.946094609460946,0.203520352035203
L0,0.699095996556177,0.996986655187258,0.29789065863108
L1,0.88226431338786,0.930047352561343,0.0477830391734826
L1b,0.811881188118812,0.91038334602691,0.0985021579080985
L2,0.099009900990099,0.912614922206506,0.813605021216407
L2'3'4'5'6,0.0297029702970297,0.721672167216722,0.691969196919692
L3,0.526571738445929,0.884896616870168,0.358324878424238
L3'4,0.297029702970297,0.790759075907591,0.493729372937294
M,0.0494066776404688,0.954622509397342,0.905215831756873
N,0.736853685368537,0.798239823982398,0.0613861386138613
R,0.746338270190655,0.757057523934212,0.0107192537435562
T,0.881188118811881,0.884769327996629,0.00358120918474825
T1,0.0198019801980198,0.75990099009901,0.74009900990099
U,0.895902849953504,0.944040260379629,0.0481374104261254
U8b,0.0396039603960396,0.574257425742574,0.534653465346535
unclassified,0.128712871287129,0.0693069306930693,-0.0594059405940594
V,0,0.83539603960396,0.83539603960396
W,0.0582178217821782,0.817029702970297,0.758811881188119
X2,0.0198019801980198,0.0198019801980198,0
