chip,A,B,C,D,H,HV,I,J,JT,K,L,M,N,R,T,U,unclassified,V,W,X
BDCHP-1X10-HUMANHAP240S_11216501_A-b37,1,1,1,0.818897637795276,0.991836734693878,1,1,1,1,1,1,1,1,1,0.854545454545454,1,1,0,1,1
BDCHP-1X10-HUMANHAP550_11218540_C-b37,0.143884892086331,1,1,0.21259842519685,0.0489795918367347,1,0,0,0.666666666666667,1,0.664764621968616,0,1,1,0.854545454545454,0.994505494505495,0,0,0,1
Cardio-Metabo_Chip_11395247_A-b37,0.143884892086331,0.496644295302013,1,0,0,0.967741935483871,0,0,1,0.205882352941176,0.854493580599144,1,0,0.847107438016529,0.145454545454545,0.78021978021978,0,0,0,0
cardio-metabo_chip_11395247_c-b37,0.143884892086331,0.496644295302013,1,0,0,0.967741935483871,0,0,1,0.205882352941176,0.854493580599144,1,0,0.847107438016529,0.145454545454545,0.78021978021978,0,0,0,0
Consortium-OncoArray_15047405_A-b37,0.856115107913669,0.906040268456376,0,0,0,0.967741935483871,0,1,0,1,0.810271041369472,0,0.911111111111111,0.971074380165289,0.854545454545454,0.989010989010989,0,0,0.96,0
GenomeWideSNP_6.na33.annot-b37,0.856115107913669,0.899328859060403,0,0.78740157480315,0.0244897959183673,0,0,1,1,1,0.898716119828816,0,0.844444444444444,0.962809917355372,0.854545454545454,0.983516483516483,0,0,0,0
GSA-24v1-0_A1-b37,0,0.711409395973154,1,0,0.0163265306122449,0,0,0,1,1,0.239657631954351,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
GSA-24v1-0_A2-b37,0,0.711409395973154,1,0,0.0163265306122449,0,0,0,1,1,0.239657631954351,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
GSA-24v1-0_A6-b37,0,0.711409395973154,1,0,0.0163265306122449,0,0,0,1,1,0.239657631954351,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
GSA-24v2-0_A1-b37,0,1,1,0.606299212598425,0.0571428571428571,0.935483870967742,1,0,0.666666666666667,1,0.982881597717546,0.995037220843672,1,0.995867768595041,0.854545454545454,0.994505494505495,0,0,1,0
GSAMD-24v1-0_20011747_A1-b37,0,0.711409395973154,1,0,0.0163265306122449,0,0,0,1,1,0.239657631954351,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
GSAMD-24v2-0_20024620_A1-b37,0.856115107913669,1,1,0.78740157480315,0.0571428571428571,0.967741935483871,1,1,1,1,1,0.995037220843672,0.844444444444444,0.962809917355372,0.854545454545454,0.978021978021978,1,0,1,0
GSCA-24v1-0_20010441_A1-b37,0,0.711409395973154,1,0,0.0163265306122449,0,0,0,1,1,0.239657631954351,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
Human1-2M-DuoCustom_v1_A-b37,0.143884892086331,1,1,0,0.0489795918367347,0,0,0,0.666666666666667,1,0.25962910128388,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
Human1M-Duov3_B-b37,0.143884892086331,1,1,0,0.0489795918367347,0,0,0,0.666666666666667,1,0.25962910128388,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
Human1M-Duov3_C-b37,0.143884892086331,1,1,0,0.0489795918367347,0,0,0,0.666666666666667,1,0.25962910128388,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
human1m-duov3_h-b37,0.143884892086331,1,1,0,0.0489795918367347,0,0,0,0.666666666666667,1,0.25962910128388,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
Human1Mv1_C-b37,0.143884892086331,1,1,0.21259842519685,0.0489795918367347,1,0,0,0.666666666666667,1,0.664764621968616,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
Human610-Quadv1_B-b37,0.143884892086331,1,1,0,0.0489795918367347,0,0,0,0.666666666666667,1,0.25962910128388,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
human610-quadv1_h-b37,0.143884892086331,1,1,0,0.0489795918367347,0,0,0,0.666666666666667,1,0.25962910128388,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
Human660W-Quad_v1_A-b37,0.143884892086331,1,1,0,0.0489795918367347,0,0,0,0.666666666666667,1,0.25962910128388,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
Human660W-Quad_v1_C-b37,0.143884892086331,1,1,0,0.0489795918367347,0,0,0,0.666666666666667,1,0.25962910128388,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
human660w-quad_v1_h-b37,0.143884892086331,1,1,0,0.0489795918367347,0,0,0,0.666666666666667,1,0.25962910128388,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
Human670-QuadCustom_v1_A-b37,0.143884892086331,1,1,0,0.0489795918367347,0,0,0,0.666666666666667,1,0.25962910128388,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
HumanCore-12-v1-0-B-b37,0.143884892086331,0.61744966442953,1,0,0.0326530612244898,0,0,0,0.666666666666667,0.205882352941176,0.0656205420827389,0,0,0.962809917355372,0.854545454545454,0,0,0,0,0
humancore-12v1-0_a-b37,0.143884892086331,0.61744966442953,1,0,0.0326530612244898,0,0,0,0.666666666666667,0.205882352941176,0.0656205420827389,0,0,0.962809917355372,0.854545454545454,0,0,0,0,0
humancore-24-v1-0-manifest-file-a-b37,0.143884892086331,0.61744966442953,1,0,0.0326530612244898,0,0,0,0.666666666666667,0.205882352941176,0.0656205420827389,0,0,0.962809917355372,0.854545454545454,0,0,0,0,0
HumanCoreExome-12-v1-0-D-b37,0.143884892086331,0.906040268456376,1,0.606299212598425,1,0.967741935483871,0,1,1,1,0.643366619115549,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
HumanCoreExome-12-v1-1-C-b37,0.143884892086331,0.906040268456376,1,0.606299212598425,1,0,0,1,1,1,0.643366619115549,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
HumanCoreExome-12v1-0_B-b37,0.143884892086331,0.906040268456376,1,0.606299212598425,1,0.967741935483871,0,1,1,1,0.643366619115549,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
humancoreexome-12v1-0_c-b37,0.143884892086331,0.906040268456376,1,0.606299212598425,1,0.967741935483871,0,1,1,1,0.643366619115549,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
humancoreexome-12v1-1_a-b37,0.143884892086331,0.906040268456376,1,0.606299212598425,1,0,0,1,1,1,0.643366619115549,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
HumanCoreExome-12v1-1_B-b37,0.143884892086331,0.906040268456376,1,0.606299212598425,1,0,0,1,1,1,0.643366619115549,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
HumanCoreExome-24v1-0_A-b37,0.143884892086331,0.61744966442953,1,0.606299212598425,1,0,0,0,0.666666666666667,0.205882352941176,0.62339514978602,0,0,1,0.854545454545454,0.994505494505495,0,0,0,0
HumanExome-12v1_A-b37,0,0.61744966442953,0.971428571428571,0.598425196850394,0.96734693877551,1,0,1,0.666666666666667,0.794117647058823,0.569186875891583,0,1,0,0.854545454545454,0.994505494505495,0,0,0,0
HumanExome-12v1-1_A-b37,0,0.61744966442953,0.971428571428571,0.598425196850394,0.96734693877551,1,0,1,0.666666666666667,0.794117647058823,0.569186875891583,0,1,0,0.854545454545454,0.994505494505495,0,0,0,0
HumanExome-12v1-2_A-b37,0,0.61744966442953,0.971428571428571,0.598425196850394,0.96734693877551,0,0,1,0.666666666666667,0.794117647058823,0.569186875891583,0,1,0,0.854545454545454,0.994505494505495,0,0,0,0
HumanHap550-2v3_B-b37,0.143884892086331,1,1,0.21259842519685,0.0489795918367347,1,0,0,0.666666666666667,1,0.664764621968616,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
HumanHap550v3_A-b37,0.143884892086331,1,1,0.21259842519685,0.0489795918367347,1,0,0,0.666666666666667,1,0.664764621968616,0,1,1,0.854545454545454,0.994505494505495,0,0,0,0
