array,MAF,imputed,mean.info,SNP.Ref.Only,SNP.Ref.Samp,SNP.Samp.Only,TOTAL,Retained.After.Filt,Typed.hg.Conc,Imputed.hg.Conc,kHAP
BDCHP-1X10-HUMANHAP240S_11216501_A-b37,NA,TRUE,0.790976,198,229,73,500,436,0.996842936069455,0.994080505130229,2500
BDCHP-1x10-HUMANHAP300v1-1_11219278_C-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2500
HumanHap300v2_A-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2500
HumanCNV370v1_C-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2500
HumanCNV370-Quadv3_C-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2500
BDCHP-1X10-HUMANHAP550_11218540_C-b37,NA,TRUE,0.639082627118644,306,121,45,472,357,0.534727703235991,0.973954222573007,2500
HumanHap550-2v3_B-b37,NA,TRUE,0.621345493562232,312,115,39,466,340,0.530386740331492,0.972375690607735,2500
HumanHap550v3_A-b37,NA,TRUE,0.621345493562232,312,115,39,466,340,0.530386740331492,0.972375690607735,2500
Human610-Quadv1_B-b37,NA,TRUE,0.579032751091703,337,90,31,458,318,0.389108129439621,0.895027624309392,2500
human610-quadv1_h-b37,NA,TRUE,0.579117903930131,337,90,31,458,317,0.389108129439621,0.896606156274665,2500
HumanHap650Yv3_A-b37,NA,TRUE,0.621199570815451,312,115,39,466,340,0.530386740331492,0.972375690607735,2500
Human660W-Quad_v1_A-b37,NA,TRUE,0.579234782608696,339,88,33,460,317,0.389108129439621,0.896211523283347,2500
Human660W-Quad_v1_C-b37,NA,TRUE,0.579065217391304,339,88,33,460,318,0.389108129439621,0.895027624309392,2500
human660w-quad_v1_h-b37,NA,TRUE,0.579065217391304,339,88,33,460,318,0.389108129439621,0.895027624309392,2500
Human670-QuadCustom_v1_A-b37,NA,TRUE,0.579065217391304,339,88,33,460,318,0.389108129439621,0.895027624309392,2500
HumanOmniExpress-12v1_A-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2500
HumanOmniExpress-12v1-1_A-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2500
HumanOmniExpress-12v1-Multi_B-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2500
HumanOmniExpress-12v1-1_B-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2500
HumanOmniExpress-12v1-Multi_C-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2500
HumanOmniExpress-12v1_H-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2500
HumanOmniExpress-12v1_J-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2500
humanomniexpress-12v1_j_ffpe-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2500
humanomniexpress-24v1-0_a-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2500
humanomniexpress-24-v1-1-a-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2500
HumanOmniExpress-24-v1-0-B-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2500
InfiniumOmniExpress-24v1-2_A1-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2500
HumanOmniExpressExome-8v1_A-b37,NA,TRUE,0.624210069444444,355,72,149,576,415,0.524072612470402,0.865824782951855,2500
humanomniexpressexome-8v1-0_a-b37,NA,TRUE,0.624274305555556,355,72,149,576,415,0.524072612470402,0.865824782951855,2500
HumanOmniExpressExome-8-v1-0-B-b37,NA,TRUE,0.624265625,355,72,149,576,415,0.524072612470402,0.865430149960537,2500
HumanOmniExpressExome-8v1-2_A-b37,NA,TRUE,0.604456140350877,359,68,143,570,388,0.578926598263615,0.850039463299132,2500
HumanOmniExpressExome-8-v1-2-B-b37,NA,TRUE,0.604345614035088,359,68,143,570,388,0.578926598263615,0.845698500394633,2500
OmniExpressExome-8v1-1_A-b37,NA,TRUE,0.61090158172232,358,69,142,569,398,0.542620363062352,0.81767955801105,2500
OmniExpressExome-8v1-1_B-b37,NA,TRUE,0.61090158172232,358,69,142,569,398,0.542620363062352,0.81767955801105,2500
HumanOmniExpressExome-8-v1-1-C-b37,NA,TRUE,0.61090158172232,358,69,142,569,398,0.542620363062352,0.81767955801105,2500
InfiniumOmniExpressExome-8v1-3_A-b37,NA,TRUE,0.610202108963093,358,69,142,569,400,0.451460142067877,0.817284925019732,2500
InfiniumOmniExpressExome-8v1-4_A1-b37,NA,TRUE,0.603706927175844,358,69,136,563,387,0.48776637726914,0.878847671665351,2500
HumanOmni25Exome-8v1_A-b37,NA,TRUE,0.761933947772657,296,131,224,651,545,0.618389897395422,0.938831886345698,2500
HumanOmni2-5Exome-8-v1-1-A-b37,NA,TRUE,0.756723765432099,297,130,221,648,539,0.621546961325967,0.943172849250197,2500
InfiniumOmni2.5Exome-8v1-2_A-b37,NA,TRUE,0.739059748427673,312,115,209,636,523,0.486977111286504,0.904498816101026,2500
InfiniumOmni2-5Exome-8v1-3_A1-b37,NA,TRUE,0.759382126348228,298,129,222,649,542,0.556827150749803,0.920678768745067,2500
HumanOmniZhongHua-8v1_B-b37,NA,TRUE,0.359699604743083,389,38,79,506,192,0.090370955011839,0.805445935280189,2500
humanomnizhonghua-8v1-1_a-b37,NA,TRUE,0.312795634920635,392,35,77,504,160,0.899763220205209,0.930939226519337,2500
HumanOmniZhongHua-8v1-2_A-b37,NA,TRUE,0.292056224899598,398,29,71,498,148,0.899763220205209,0.929360694554065,2500
InfiniumOmniZhongHua-8v1-3_A1-b37,NA,TRUE,0.28196,401,26,73,500,146,0.899763220205209,0.929360694554065,2500
InfiniumOmniZhongHua-8v1-3_A2-b37,NA,TRUE,0.28196,401,26,73,500,146,0.899763220205209,0.929360694554065,2500
Human1Mv1_C-b37,NA,TRUE,0.621251072961373,312,115,39,466,341,0.530386740331492,0.972770323599053,2500
Human1M-Duov3_B-b37,NA,TRUE,0.578978165938865,337,90,31,458,318,0.389108129439621,0.896606156274665,2500
Human1M-Duov3_C-b37,NA,TRUE,0.579091703056769,337,90,31,458,316,0.389108129439621,0.897790055248619,2500
human1m-duov3_h-b37,NA,TRUE,0.579091703056769,337,90,31,458,316,0.389108129439621,0.897790055248619,2500
HumanOmni1-Quad_v1-0_B-b37,NA,TRUE,0.308270207852194,409,18,6,433,181,0.160220994475138,0.644041041831097,2500
HumanOmni1-Quad_v1-0_C-b37,NA,TRUE,0.308196304849885,409,18,6,433,181,0.160220994475138,0.642857142857143,2500
HumanOmni1-Quad_v1-0_H-b37,NA,TRUE,0.308196304849885,409,18,6,433,181,0.160220994475138,0.642857142857143,2500
humanomni1-quad_v1-0-multi_h-b37,NA,TRUE,0.308196304849885,409,18,6,433,181,0.160220994475138,0.642857142857143,2500
HumanOmni1S-8v1_H-b37,NA,TRUE,0.521888143176734,363,64,20,447,285,0.369771112865036,0.887924230465667,2500
Human1-2M-DuoCustom_v1_A-b37,NA,TRUE,0.579110869565217,339,88,33,460,317,0.389108129439621,0.896606156274665,2500
HumanOmni2.5-4v1_B-b37,NA,TRUE,0.521888143176734,363,64,20,447,285,0.369771112865036,0.887924230465667,2500
HumanOmni2.5-4v1_D-b37,NA,TRUE,0.521852348993289,363,64,20,447,286,0.369771112865036,0.888318863456985,2500
HumanOmni2.5-4v1_H-b37,NA,TRUE,0.521852348993289,363,64,20,447,286,0.369771112865036,0.888318863456985,2500
HumanOmni2.5-8v1_A-b37,NA,TRUE,0.664762711864407,324,103,104,531,401,0.359510655090766,0.878847671665351,2500
HumanOmni2-5-8-v1-0-D-b37,NA,TRUE,0.664762711864407,324,103,104,531,401,0.359510655090766,0.878847671665351,2500
