array,MAF,imputed,SNP.Ref.Only,SNP.Ref.Samp,SNP.Samp.Only,TOTAL,Retained.After.Filt,Typed.hg.Conc,Imputed.hg.Conc
BDCHP-1X10-HUMANHAP240S_11216501_A-b37,0.01,TRUE,427,263,39,729,676,0.980662983425414,0.988950276243094
BDCHP-1x10-HUMANHAP300v1-1_11219278_C-b37,0.01,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanHap300v2_A-b37,0.01,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanCNV370v1_C-b37,0.01,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanCNV370-Quadv3_C-b37,0.01,FALSE,NA,NA,NA,NA,NA,NA,NA
BDCHP-1X10-HUMANHAP550_11218540_C-b37,0.01,TRUE,548,142,24,714,583,0.528413575374901,0.981452249408051
HumanHap550-2v3_B-b37,0.01,TRUE,556,134,20,710,563,0.524072612470402,0.982241515390687
HumanHap550v3_A-b37,0.01,TRUE,556,134,20,710,563,0.524072612470402,0.983030781373323
Human610-Quadv1_B-b37,0.01,TRUE,582,108,13,703,539,0.389108129439621,0.947119179163378
human610-quadv1_h-b37,0.01,TRUE,582,108,13,703,539,0.389108129439621,0.94672454617206
HumanHap650Yv3_A-b37,0.01,TRUE,556,134,20,710,561,0.524072612470402,0.982636148382005
Human660W-Quad_v1_A-b37,0.01,TRUE,584,106,15,705,541,0.389108129439621,0.94672454617206
Human660W-Quad_v1_C-b37,0.01,TRUE,584,106,15,705,540,0.389108129439621,0.947119179163378
human660w-quad_v1_h-b37,0.01,TRUE,584,106,15,705,539,0.389108129439621,0.947513812154696
Human670-QuadCustom_v1_A-b37,0.01,TRUE,584,106,15,705,540,0.389108129439621,0.94672454617206
HumanOmniExpress-12v1_A-b37,0.01,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_A-b37,0.01,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_B-b37,0.01,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_B-b37,0.01,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_C-b37,0.01,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_H-b37,0.01,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_J-b37,0.01,FALSE,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-12v1_j_ffpe-b37,0.01,FALSE,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-24v1-0_a-b37,0.01,FALSE,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-24-v1-1-a-b37,0.01,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-24-v1-0-B-b37,0.01,FALSE,NA,NA,NA,NA,NA,NA,NA
InfiniumOmniExpress-24v1-2_A1-b37,0.01,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpressExome-8v1_A-b37,0.01,TRUE,582,108,113,803,638,0.490923441199684,0.912786108918706
humanomniexpressexome-8v1-0_a-b37,0.01,TRUE,582,108,113,803,638,0.490923441199684,0.913575374901342
HumanOmniExpressExome-8-v1-0-B-b37,0.01,TRUE,582,108,113,803,639,0.490923441199684,0.912786108918706
HumanOmniExpressExome-8v1-2_A-b37,0.01,TRUE,587,103,108,798,606,0.490923441199684,0.859905288082084
HumanOmniExpressExome-8-v1-2-B-b37,0.01,TRUE,587,103,108,798,606,0.490923441199684,0.859510655090766
OmniExpressExome-8v1-1_A-b37,0.01,TRUE,585,105,106,796,620,0.503157063930545,0.885951065509077
OmniExpressExome-8v1-1_B-b37,0.01,TRUE,585,105,106,796,620,0.503157063930545,0.88516179952644
HumanOmniExpressExome-8-v1-1-C-b37,0.01,TRUE,585,105,106,796,620,0.503157063930545,0.885556432517759
InfiniumOmniExpressExome-8v1-3_A-b37,0.01,TRUE,588,102,109,799,614,0.402920284135754,0.872533543804262
InfiniumOmniExpressExome-8v1-4_A1-b37,0.01,TRUE,591,99,106,796,603,0.390686661404893,0.883583267561168
HumanOmni25Exome-8v1_A-b37,0.01,TRUE,496,194,161,851,782,0.589187056037885,0.929360694554065
HumanOmni2-5Exome-8-v1-1-A-b37,0.01,TRUE,499,191,160,850,764,0.589187056037885,0.930544593528019
InfiniumOmni2.5Exome-8v1-2_A-b37,0.01,TRUE,516,174,150,840,741,0.471586424625099,0.928966061562747
InfiniumOmni2-5Exome-8v1-3_A1-b37,0.01,TRUE,499,191,160,850,773,0.524467245461721,0.940015785319653
HumanOmniZhongHua-8v1_B-b37,0.01,TRUE,625,65,52,742,336,0.0497237569060773,0.511444356748224
humanomnizhonghua-8v1-1_a-b37,0.01,TRUE,628,62,50,740,286,0.0686661404893449,0.748618784530387
HumanOmniZhongHua-8v1-2_A-b37,0.01,TRUE,638,52,48,738,271,0.0686661404893449,0.742699289660616
InfiniumOmniZhongHua-8v1-3_A1-b37,0.01,TRUE,640,50,49,739,254,0.0686661404893449,0.742304656669298
InfiniumOmniZhongHua-8v1-3_A2-b37,0.01,TRUE,640,50,49,739,254,0.0686661404893449,0.742304656669298
Human1Mv1_C-b37,0.01,TRUE,556,134,20,710,563,0.524072612470402,0.982636148382005
Human1M-Duov3_B-b37,0.01,TRUE,582,108,13,703,537,0.389108129439621,0.947119179163378
Human1M-Duov3_C-b37,0.01,TRUE,582,108,13,703,538,0.389108129439621,0.94672454617206
human1m-duov3_h-b37,0.01,TRUE,582,108,13,703,538,0.389108129439621,0.94672454617206
HumanOmni1-Quad_v1-0_B-b37,0.01,TRUE,670,20,4,694,236,0.12904498816101,0.524072612470402
HumanOmni1-Quad_v1-0_C-b37,0.01,TRUE,670,20,4,694,236,0.12904498816101,0.524467245461721
HumanOmni1-Quad_v1-0_H-b37,0.01,TRUE,670,20,4,694,236,0.12904498816101,0.524467245461721
humanomni1-quad_v1-0-multi_h-b37,0.01,TRUE,670,20,4,694,236,0.12904498816101,0.524072612470402
HumanOmni1S-8v1_H-b37,0.01,TRUE,615,75,9,699,504,0.36266771902131,0.910418310970797
Human1-2M-DuoCustom_v1_A-b37,0.01,TRUE,584,106,15,705,540,0.389108129439621,0.947119179163378
HumanOmni2.5-4v1_B-b37,0.01,TRUE,615,75,9,699,501,0.36266771902131,0.909234411996843
HumanOmni2.5-4v1_D-b37,0.01,TRUE,615,75,9,699,502,0.36266771902131,0.910023677979479
HumanOmni2.5-4v1_H-b37,0.01,TRUE,615,75,9,699,502,0.36266771902131,0.909234411996843
HumanOmni2.5-8v1_A-b37,0.01,TRUE,550,140,67,757,657,0.355169692186267,0.934096290449882
HumanOmni2-5-8-v1-0-D-b37,0.01,TRUE,550,140,67,757,658,0.355169692186267,0.933701657458563
HumanOmni25-8v1-1_A-b37,0.01,TRUE,559,131,61,751,640,0.355169692186267,0.935280189423836
HumanOmni2-5-8-v1-2-A-b37,0.01,TRUE,590,100,53,743,534,0.326361483820047,0.872138910812944
humanomni25m-8v1-1_b-b37,0.01,TRUE,559,131,61,751,642,0.355169692186267,0.934885556432518
HumanOmni2.5-8v1_C-b37,0.01,TRUE,550,140,67,757,659,0.355169692186267,0.934096290449882
HumanOmni2-5-8-v1-1-C-b37,0.01,TRUE,559,131,61,751,642,0.355169692186267,0.934885556432518
HumanOmni2.5S-8v1_B-b37,0.01,TRUE,662,28,3,693,326,0.0485398579321231,0.661404893449092
HumanOmni25-8v1-2_A1-b37,0.01,TRUE,590,100,53,743,533,0.326361483820047,0.872138910812944
InfiniumOmni2-5-8v1-3_A1-b37,0.01,TRUE,570,120,58,748,611,0.363062352012628,0.921468034727703
HumanOmni5-4v1_B-b37,0.01,TRUE,531,159,69,759,661,0.388713496448303,0.94672454617206
humanomni5-4v1_c-b37,0.01,TRUE,531,159,69,759,661,0.388713496448303,0.946329913180742
HumanOmni5-4-v1-0-D-b37,0.01,TRUE,531,159,69,759,659,0.388713496448303,0.946329913180742
HumanOmni5-4v1-1_A-b37,0.01,TRUE,566,124,60,750,609,0.335043409629045,0.913575374901342
InfiniumOmni5-4v1-2_A1-b37,0.01,TRUE,542,148,60,750,640,0.380820836621942,0.929755327545383
HumanOmni5Exome-4v1_A-b37,0.01,TRUE,468,222,171,861,803,0.623125493291239,0.95698500394633
HumanOmni5Exome-4v1-1_A-b37,0.01,TRUE,471,219,168,858,801,0.635753749013418,0.95698500394633
HumanOmni5Exome-4v1-2_A-b37,0.01,TRUE,504,186,156,846,748,0.558011049723757,0.891870560378848
InfiniumOmni5Exome-4v1-3_A1-b37,0.01,TRUE,476,214,158,848,789,0.554853985793212,0.955406471981058
HumanCytoSNP-12v1-0_D-b37,0.01,FALSE,NA,NA,NA,NA,NA,NA,NA
HumanCytoSNP-12v2.1-FFPE_G-b37,0.01,FALSE,NA,NA,NA,NA,NA,NA,NA
humancytosnp-12v2_h-b37,0.01,FALSE,NA,NA,NA,NA,NA,NA,NA
humancytosnp-12v2-1_h-b37,0.01,FALSE,NA,NA,NA,NA,NA,NA,NA
humancytosnp-12v2-1_l-b37,0.01,FALSE,NA,NA,NA,NA,NA,NA,NA
cytosnp-850k_b-b37,0.01,FALSE,NA,NA,NA,NA,NA,NA,NA
CytoSNP-850K_v1-1_iScan_A1-b37,0.01,FALSE,NA,NA,NA,NA,NA,NA,NA
humancore-12v1-0_a-b37,0.01,TRUE,570,120,50,740,613,0.207182320441989,0.904498816101026
HumanCore-12-v1-0-B-b37,0.01,TRUE,570,120,50,740,612,0.207182320441989,0.905288082083662
humancore-24-v1-0-manifest-file-a-b37,0.01,TRUE,571,119,50,740,614,0.207182320441989,0.904498816101026
InfiniumCore-24v1-1_A1-b37,0.01,TRUE,583,107,51,741,593,0.207971586424625,0.897000789265983
Immuno_BeadChip_11419691_B-b37,0.01,TRUE,689,1,0,690,11,0.956590370955012,0.956590370955012
InfiniumImmunoArray-24v2-0_A-b37,0.01,TRUE,689,1,0,690,11,0.956590370955012,0.956590370955012
Multi-EthnicGlobal_A1-b37,0.01,TRUE,409,281,317,1007,943,0.683109707971586,0.979084451460142
HumanExome-12v1_A-b37,0.01,TRUE,581,109,110,800,624,0.503157063930545,0.885556432517759
HumanExome-12v1-1_A-b37,0.01,TRUE,585,105,107,797,621,0.503157063930545,0.885951065509077
HumanExome-12v1-2_A-b37,0.01,TRUE,587,103,108,798,606,0.490923441199684,0.859905288082084
InfiniumExome-24v1-1_A1-b37,0.01,TRUE,591,99,105,795,604,0.390686661404893,0.88318863456985
HumanCoreExome-12v1-0_B-b37,0.01,TRUE,477,213,157,847,789,0.642067876874507,0.961720599842147
humancoreexome-12v1-0_c-b37,0.01,TRUE,477,213,157,847,787,0.642067876874507,0.961325966850829
HumanCoreExome-12-v1-0-D-b37,0.01,TRUE,477,213,157,847,787,0.642067876874507,0.961720599842147
humancoreexome-12v1-1_a-b37,0.01,TRUE,482,208,159,849,776,0.630228887134964,0.948303078137332
HumanCoreExome-12v1-1_B-b37,0.01,TRUE,482,208,159,849,776,0.630228887134964,0.947513812154696
HumanCoreExome-12-v1-1-C-b37,0.01,TRUE,482,208,159,849,777,0.630228887134964,0.948303078137332
HumanCoreExome-24v1-0_A-b37,0.01,TRUE,496,194,151,841,752,0.560378847671665,0.925808997632202
InfiniumCoreExome-24v1-1_A-b37,0.01,TRUE,491,199,152,842,762,0.560378847671665,0.930544593528019
InfiniumCoreExome-24v1-2_A1-b37,0.01,TRUE,486,204,159,849,779,0.539068666140489,0.949486977111286
Cardio-Metabo_Chip_11395247_A-b37,0.01,TRUE,568,122,5,695,455,0.616022099447514,0.91594317284925
cardio-metabo_chip_11395247_c-b37,0.01,TRUE,568,122,5,695,454,0.616022099447514,0.91594317284925
CVDSNP55v1_A-b37,0.01,FALSE,NA,NA,NA,NA,NA,NA,NA
PsychArray_A-b37,0.01,TRUE,515,175,141,831,720,0.552486187845304,0.891870560378848
PsychArray-B-b37,0.01,TRUE,515,175,141,831,723,0.552486187845304,0.89147592738753
InfiniumPsychArray-24v1-1_A1-b37,0.01,TRUE,514,176,143,833,738,0.461325966850829,0.875295974743489
InfiniumPsychArray-24v1-2_A1-b37,0.01,TRUE,491,199,157,847,769,0.539068666140489,0.941988950276243
InfiniumPsychArray-24v1-2_A2-b37,0.01,TRUE,491,199,157,847,768,0.539068666140489,0.941988950276243
PsychChip_15048346_B-b37,0.01,TRUE,482,208,159,849,779,0.630228887134964,0.94869771112865
PsychChip_v1-1_15073391_A1-b37,0.01,TRUE,471,219,163,853,800,0.642067876874507,0.961325966850829
GSAMD-24v1-0_20011747_A1-b37,0.01,TRUE,610,80,40,730,491,0.366614048934491,0.875690607734807
GSAMD-24v2-0_20024620_A1-b37,0.01,TRUE,259,431,494,1184,1161,0.867403314917127,0.994080505130229
GSA-24v1-0_A1-b37,0.01,TRUE,610,80,39,729,487,0.366614048934491,0.875690607734807
GSA-24v1-0_A2-b37,0.01,TRUE,610,80,39,729,490,0.366614048934491,0.875690607734807
GSA-24v1-0_A6-b37,0.01,TRUE,610,80,39,729,489,0.366614048934491,0.875295974743489
GSA-24v2-0_A1-b37,0.01,TRUE,346,344,428,1118,1083,0.794001578531965,0.981452249408051
GSCA-24v1-0_20010441_A1-b37,0.01,TRUE,610,80,40,730,490,0.366614048934491,0.875690607734807
OncoArray-500K_B-b37,0.01,TRUE,614,76,48,738,497,0.589976322020521,0.945540647198106
OncoArray-500K-C-b37,0.01,TRUE,614,76,48,738,497,0.589976322020521,0.945540647198106
Consortium-OncoArray_15047405_A-b37,0.01,TRUE,609,81,50,740,507,0.589976322020521,0.948303078137332
NeuroX_15036164_A-b37,0.01,TRUE,585,105,107,797,622,0.503157063930545,0.886345698500395
Mapping250K_Nsp.na32.annot-b37,0.01,FALSE,NA,NA,NA,NA,NA,NA,NA
Mapping250K_Sty.na32.annot-b37,0.01,FALSE,NA,NA,NA,NA,NA,NA,NA
GenomeWideSNP_6.na33.annot-b37,0.01,TRUE,551,139,78,768,620,0.619573796369376,0.9672454617206
