array,MAF,imputed,mean.info,SNP.Ref.Only,SNP.Ref.Samp,SNP.Samp.Only,TOTAL,Retained.After.Filt,Typed.hg.Conc,Imputed.hg.Conc,MCMC
BDCHP-1X10-HUMANHAP240S_11216501_A-b37,NA,TRUE,0.861134,198,229,73,500,474,0.98973954222573,0.997632202052092,1
BDCHP-1x10-HUMANHAP300v1-1_11219278_C-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1
HumanHap300v2_A-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1
HumanCNV370v1_C-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1
HumanCNV370-Quadv3_C-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1
BDCHP-1X10-HUMANHAP550_11218540_C-b37,NA,TRUE,0.769625,306,121,45,472,419,0.528413575374901,0.981057616416732,1
HumanHap550-2v3_B-b37,NA,TRUE,0.739935622317597,312,115,39,466,399,0.524072612470402,0.977900552486188,1
HumanHap550v3_A-b37,NA,TRUE,0.739935622317597,312,115,39,466,399,0.524072612470402,0.977900552486188,1
Human610-Quadv1_B-b37,NA,TRUE,0.713875545851528,337,90,31,458,380,0.389108129439621,0.932912391475927,1
human610-quadv1_h-b37,NA,TRUE,0.713875545851528,337,90,31,458,380,0.389108129439621,0.932912391475927,1
HumanHap650Yv3_A-b37,NA,TRUE,0.739935622317597,312,115,39,466,399,0.524072612470402,0.977900552486188,1
Human660W-Quad_v1_A-b37,NA,TRUE,0.71459347826087,339,88,33,460,382,0.389108129439621,0.932123125493291,1
Human660W-Quad_v1_C-b37,NA,TRUE,0.71459347826087,339,88,33,460,382,0.389108129439621,0.932123125493291,1
human660w-quad_v1_h-b37,NA,TRUE,0.71459347826087,339,88,33,460,382,0.389108129439621,0.932123125493291,1
Human670-QuadCustom_v1_A-b37,NA,TRUE,0.71495,339,88,33,460,382,0.389108129439621,0.931728492501973,1
HumanOmniExpress-12v1_A-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1
HumanOmniExpress-12v1-1_A-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1
HumanOmniExpress-12v1-Multi_B-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1
HumanOmniExpress-12v1-1_B-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1
HumanOmniExpress-12v1-Multi_C-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1
HumanOmniExpress-12v1_H-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1
HumanOmniExpress-12v1_J-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1
humanomniexpress-12v1_j_ffpe-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1
humanomniexpress-24v1-0_a-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1
humanomniexpress-24-v1-1-a-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1
HumanOmniExpress-24-v1-0-B-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1
InfiniumOmniExpress-24v1-2_A1-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1
HumanOmniExpressExome-8v1_A-b37,NA,TRUE,0.746782986111111,355,72,149,576,498,0.490923441199684,0.876085240726125,1
humanomniexpressexome-8v1-0_a-b37,NA,TRUE,0.746729166666667,355,72,149,576,498,0.490923441199684,0.87490134175217,1
HumanOmniExpressExome-8-v1-0-B-b37,NA,TRUE,0.746684027777778,355,72,149,576,498,0.490923441199684,0.876874506708761,1
HumanOmniExpressExome-8v1-2_A-b37,NA,TRUE,0.719494736842105,359,68,143,570,473,0.490923441199684,0.862273086029992,1
HumanOmniExpressExome-8-v1-2-B-b37,NA,TRUE,0.719736842105263,359,68,143,570,473,0.490923441199684,0.859116022099447,1
OmniExpressExome-8v1-1_A-b37,NA,TRUE,0.729,358,69,142,569,477,0.503157063930545,0.871744277821626,1
OmniExpressExome-8v1-1_B-b37,NA,TRUE,0.728892794376098,358,69,142,569,479,0.503157063930545,0.87095501183899,1
HumanOmniExpressExome-8-v1-1-C-b37,NA,TRUE,0.729107205623902,358,69,142,569,478,0.503157063930545,0.870560378847672,1
InfiniumOmniExpressExome-8v1-3_A-b37,NA,TRUE,0.724342706502636,358,69,142,569,471,0.411996842936069,0.870165745856354,1
InfiniumOmniExpressExome-8v1-4_A1-b37,NA,TRUE,0.720301953818828,358,69,136,563,463,0.399763220205209,0.886345698500395,1
HumanOmni25Exome-8v1_A-b37,NA,TRUE,0.850668202764977,296,131,224,651,608,0.5982636148382,0.950276243093923,1
HumanOmni2-5Exome-8-v1-1-A-b37,NA,TRUE,0.843174382716049,297,130,221,648,604,0.589187056037885,0.947119179163378,1
InfiniumOmni2.5Exome-8v1-2_A-b37,NA,TRUE,0.831685534591195,312,115,209,636,585,0.471586424625099,0.921073401736385,1
InfiniumOmni2-5Exome-8v1-3_A1-b37,NA,TRUE,0.847750385208012,298,129,222,649,607,0.524467245461721,0.943567482241515,1
HumanOmniZhongHua-8v1_B-b37,NA,TRUE,0.444636363636364,389,38,79,506,267,0.0686661404893449,0.665745856353591,1
humanomnizhonghua-8v1-1_a-b37,NA,TRUE,0.384742063492063,392,35,77,504,213,0.668508287292818,0.783741120757695,1
HumanOmniZhongHua-8v1-2_A-b37,NA,TRUE,0.35833734939759,398,29,71,498,198,0.668508287292818,0.77861089187056,1
InfiniumOmniZhongHua-8v1-3_A1-b37,NA,TRUE,0.340368,401,26,73,500,186,0.668508287292818,0.775848460931334,1
InfiniumOmniZhongHua-8v1-3_A2-b37,NA,TRUE,0.340368,401,26,73,500,186,0.668508287292818,0.775848460931334,1
Human1Mv1_C-b37,NA,TRUE,0.740015021459227,312,115,39,466,399,0.524072612470402,0.977900552486188,1
Human1M-Duov3_B-b37,NA,TRUE,0.713665938864629,337,90,31,458,380,0.389108129439621,0.933307024467245,1
Human1M-Duov3_C-b37,NA,TRUE,0.713665938864629,337,90,31,458,380,0.389108129439621,0.933307024467245,1
human1m-duov3_h-b37,NA,TRUE,0.7137096069869,337,90,31,458,380,0.389108129439621,0.932123125493291,1
HumanOmni1-Quad_v1-0_B-b37,NA,TRUE,0.382016166281755,409,18,6,433,206,0.12904498816101,0.524467245461721,1
HumanOmni1-Quad_v1-0_C-b37,NA,TRUE,0.382016166281755,409,18,6,433,206,0.12904498816101,0.524467245461721,1
HumanOmni1-Quad_v1-0_H-b37,NA,TRUE,0.381842956120092,409,18,6,433,206,0.12904498816101,0.523283346487766,1
