array,MCMC,imputed,mean.info,SNP.Ref.Only,SNP.Ref.Samp,SNP.Samp.Only,TOTAL,Retained.After.Filt,Typed.hg.Conc,Imputed.hg.Conc
BDCHP-1X10-HUMANHAP240S_11216501_A-b37,10,TRUE,0.86158,198,229,73,500,478,0.98973954222573,0.997632202052092
BDCHP-1x10-HUMANHAP300v1-1_11219278_C-b37,10,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanHap300v2_A-b37,10,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanCNV370v1_C-b37,10,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanCNV370-Quadv3_C-b37,10,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
BDCHP-1X10-HUMANHAP550_11218540_C-b37,10,TRUE,0.768377118644068,306,121,45,472,418,0.528413575374901,0.980662983425414
HumanHap550-2v3_B-b37,10,TRUE,0.739358369098712,312,115,39,466,399,0.524072612470402,0.977900552486188
HumanHap550v3_A-b37,10,TRUE,0.739358369098712,312,115,39,466,399,0.524072612470402,0.977900552486188
Human610-Quadv1_B-b37,10,TRUE,0.713096069868996,337,90,31,458,379,0.389108129439621,0.932517758484609
human610-quadv1_h-b37,10,TRUE,0.713185589519651,337,90,31,458,379,0.389108129439621,0.932123125493291
HumanHap650Yv3_A-b37,10,TRUE,0.739467811158798,312,115,39,466,400,0.524072612470402,0.977900552486188
Human660W-Quad_v1_A-b37,10,TRUE,0.713804347826087,339,88,33,460,381,0.389108129439621,0.932912391475927
Human660W-Quad_v1_C-b37,10,TRUE,0.713995652173913,339,88,33,460,382,0.389108129439621,0.932123125493291
human660w-quad_v1_h-b37,10,TRUE,0.713995652173913,339,88,33,460,382,0.389108129439621,0.932123125493291
Human670-QuadCustom_v1_A-b37,10,TRUE,0.714215217391304,339,88,33,460,383,0.389108129439621,0.932517758484609
HumanOmniExpress-12v1_A-b37,10,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_A-b37,10,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_B-b37,10,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_B-b37,10,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_C-b37,10,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_H-b37,10,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_J-b37,10,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-12v1_j_ffpe-b37,10,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-24v1-0_a-b37,10,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-24-v1-1-a-b37,10,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-24-v1-0-B-b37,10,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
InfiniumOmniExpress-24v1-2_A1-b37,10,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpressExome-8v1_A-b37,10,TRUE,0.746439236111111,355,72,149,576,498,0.490923441199684,0.868981846882399
humanomniexpressexome-8v1-0_a-b37,10,TRUE,0.746371527777778,355,72,149,576,498,0.490923441199684,0.867403314917127
HumanOmniExpressExome-8-v1-0-B-b37,10,TRUE,0.746246527777778,355,72,149,576,498,0.490923441199684,0.868192580899763
HumanOmniExpressExome-8v1-2_A-b37,10,TRUE,0.719240350877193,359,68,143,570,472,0.490923441199684,0.86069455406472
HumanOmniExpressExome-8-v1-2-B-b37,10,TRUE,0.7194,359,68,143,570,473,0.490923441199684,0.859510655090766
OmniExpressExome-8v1-1_A-b37,10,TRUE,0.728680140597539,358,69,142,569,479,0.503157063930545,0.872533543804262
OmniExpressExome-8v1-1_B-b37,10,TRUE,0.728585237258348,358,69,142,569,477,0.503157063930545,0.871744277821626
HumanOmniExpressExome-8-v1-1-C-b37,10,TRUE,0.728585237258348,358,69,142,569,477,0.503157063930545,0.871744277821626
InfiniumOmniExpressExome-8v1-3_A-b37,10,TRUE,0.723899824253076,358,69,142,569,470,0.411996842936069,0.870560378847672
InfiniumOmniExpressExome-8v1-4_A1-b37,10,TRUE,0.71988809946714,358,69,136,563,463,0.399763220205209,0.888713496448303
HumanOmni25Exome-8v1_A-b37,10,TRUE,0.850536098310292,296,131,224,651,609,0.5982636148382,0.950670876085241
HumanOmni2-5Exome-8-v1-1-A-b37,10,TRUE,0.843030864197531,297,130,221,648,604,0.589187056037885,0.948303078137332
InfiniumOmni2.5Exome-8v1-2_A-b37,10,TRUE,0.831448113207547,312,115,209,636,585,0.471586424625099,0.921073401736385
InfiniumOmni2-5Exome-8v1-3_A1-b37,10,TRUE,0.847295839753467,298,129,222,649,607,0.524467245461721,0.941988950276243
HumanOmniZhongHua-8v1_B-b37,10,TRUE,0.443719367588933,389,38,79,506,267,0.0686661404893449,0.669692186266772
humanomnizhonghua-8v1-1_a-b37,10,TRUE,0.384039682539683,392,35,77,504,213,0.668508287292818,0.783346487766377
HumanOmniZhongHua-8v1-2_A-b37,10,TRUE,0.357676706827309,398,29,71,498,198,0.668508287292818,0.77861089187056
InfiniumOmniZhongHua-8v1-3_A1-b37,10,TRUE,0.339524,401,26,73,500,186,0.668508287292818,0.775453827940016
InfiniumOmniZhongHua-8v1-3_A2-b37,10,TRUE,0.339524,401,26,73,500,186,0.668508287292818,0.775453827940016
Human1Mv1_C-b37,10,TRUE,0.739658798283262,312,115,39,466,400,0.524072612470402,0.977900552486188
Human1M-Duov3_B-b37,10,TRUE,0.712834061135371,337,90,31,458,379,0.389108129439621,0.932123125493291
Human1M-Duov3_C-b37,10,TRUE,0.713163755458515,337,90,31,458,378,0.389108129439621,0.941594317284925
human1m-duov3_h-b37,10,TRUE,0.713163755458515,337,90,31,458,378,0.389108129439621,0.941594317284925
HumanOmni1-Quad_v1-0_B-b37,10,TRUE,0.381080831408776,409,18,6,433,205,0.12904498816101,0.521704814522494
HumanOmni1-Quad_v1-0_C-b37,10,TRUE,0.380863741339492,409,18,6,433,205,0.12904498816101,0.521704814522494
HumanOmni1-Quad_v1-0_H-b37,10,TRUE,0.381018475750577,409,18,6,433,205,0.12904498816101,0.521704814522494
humanomni1-quad_v1-0-multi_h-b37,10,TRUE,0.381018475750577,409,18,6,433,205,0.12904498816101,0.521704814522494
HumanOmni1S-8v1_H-b37,10,TRUE,0.658697986577181,363,64,20,447,350,0.36266771902131,0.90568271507498
Human1-2M-DuoCustom_v1_A-b37,10,TRUE,0.714021739130435,339,88,33,460,381,0.389108129439621,0.933307024467245
HumanOmni2.5-4v1_B-b37,10,TRUE,0.658818791946309,363,64,20,447,351,0.36266771902131,0.906077348066298
HumanOmni2.5-4v1_D-b37,10,TRUE,0.658818791946309,363,64,20,447,351,0.36266771902131,0.906077348066298
HumanOmni2.5-4v1_H-b37,10,TRUE,0.658608501118568,363,64,20,447,350,0.36266771902131,0.906077348066298
HumanOmni2.5-8v1_A-b37,10,TRUE,0.786580037664783,324,103,104,531,480,0.355169692186267,0.941199684293607
HumanOmni2-5-8-v1-0-D-b37,10,TRUE,0.786741996233522,324,103,104,531,480,0.355169692186267,0.940015785319653
HumanOmni25-8v1-1_A-b37,10,TRUE,0.772927619047619,333,94,98,525,466,0.355169692186267,0.938831886345698
HumanOmni2-5-8-v1-2-A-b37,10,TRUE,0.676726377952756,355,72,81,508,396,0.326361483820047,0.876874506708761
humanomni25m-8v1-1_b-b37,10,TRUE,0.772375238095238,333,94,98,525,466,0.355169692186267,0.938831886345698
HumanOmni2.5-8v1_C-b37,10,TRUE,0.786425612052731,324,103,104,531,480,0.355169692186267,0.942383583267561
HumanOmni2-5-8-v1-1-C-b37,10,TRUE,0.772375238095238,333,94,98,525,466,0.355169692186267,0.938831886345698
HumanOmni2.5S-8v1_B-b37,10,TRUE,0.448779816513761,405,22,9,436,244,0.0485398579321231,0.654696132596685
HumanOmni25-8v1-2_A1-b37,10,TRUE,0.676883858267717,355,72,81,508,396,0.326361483820047,0.876874506708761
InfiniumOmni2-5-8v1-3_A1-b37,10,TRUE,0.732550863723608,343,84,94,521,450,0.363062352012628,0.929360694554065
HumanOmni5-4v1_B-b37,10,TRUE,0.804682156133829,310,117,111,538,492,0.389502762430939,0.941594317284925
humanomni5-4v1_c-b37,10,TRUE,0.804682156133829,310,117,111,538,492,0.389502762430939,0.941594317284925
HumanOmni5-4-v1-0-D-b37,10,TRUE,0.804754646840149,310,117,111,538,492,0.389502762430939,0.941594317284925
HumanOmni5-4v1-1_A-b37,10,TRUE,0.741199233716475,338,89,95,522,443,0.335832675611681,0.89344909234412
InfiniumOmni5-4v1-2_A1-b37,10,TRUE,0.783168241965974,321,106,102,529,477,0.381610102604578,0.928966061562747
HumanOmni5Exome-4v1_A-b37,10,TRUE,0.867533733133433,274,153,240,667,626,0.623125493291239,0.945935280189424
HumanOmni5Exome-4v1-1_A-b37,10,TRUE,0.868871794871795,276,151,236,663,623,0.644830307813733,0.954617205998421
HumanOmni5Exome-4v1-2_A-b37,10,TRUE,0.832730650154799,304,123,219,646,591,0.567087608524073,0.90568271507498
InfiniumOmni5Exome-4v1-3_A1-b37,10,TRUE,0.857334355828221,280,147,225,652,612,0.554853985793212,0.964088397790055
HumanCytoSNP-12v1-0_D-b37,10,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanCytoSNP-12v2.1-FFPE_G-b37,10,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
humancytosnp-12v2_h-b37,10,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
humancytosnp-12v2-1_h-b37,10,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
humancytosnp-12v2-1_l-b37,10,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
cytosnp-850k_b-b37,10,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
