array,MAF,imputed,mean.info,SNP.Ref.Only,SNP.Ref.Samp,SNP.Samp.Only,TOTAL,Retained.After.Filt,Typed.hg.Conc,Imputed.hg.Conc,kHAP
BDCHP-1X10-HUMANHAP240S_11216501_A-b37,NA,TRUE,0.862036,198,229,73,500,476,0.980662983425414,0.988555643251776,500
BDCHP-1x10-HUMANHAP300v1-1_11219278_C-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,500
HumanHap300v2_A-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,500
HumanCNV370v1_C-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,500
HumanCNV370-Quadv3_C-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,500
BDCHP-1X10-HUMANHAP550_11218540_C-b37,NA,TRUE,0.76935593220339,306,121,45,472,420,0.528413575374901,0.980662983425414,500
HumanHap550-2v3_B-b37,NA,TRUE,0.739856223175966,312,115,39,466,399,0.524072612470402,0.977900552486188,500
HumanHap550v3_A-b37,NA,TRUE,0.739982832618026,312,115,39,466,400,0.524072612470402,0.977900552486188,500
Human610-Quadv1_B-b37,NA,TRUE,0.713685589519651,337,90,31,458,380,0.389108129439621,0.929755327545383,500
human610-quadv1_h-b37,NA,TRUE,0.713685589519651,337,90,31,458,380,0.389108129439621,0.929755327545383,500
HumanHap650Yv3_A-b37,NA,TRUE,0.740150214592275,312,115,39,466,399,0.524072612470402,0.977900552486188,500
Human660W-Quad_v1_A-b37,NA,TRUE,0.714902173913043,339,88,33,460,381,0.389108129439621,0.941594317284925,500
Human660W-Quad_v1_C-b37,NA,TRUE,0.714782608695652,339,88,33,460,383,0.389108129439621,0.931728492501973,500
human660w-quad_v1_h-b37,NA,TRUE,0.714782608695652,339,88,33,460,383,0.389108129439621,0.931728492501973,500
Human670-QuadCustom_v1_A-b37,NA,TRUE,0.714782608695652,339,88,33,460,383,0.389108129439621,0.931728492501973,500
HumanOmniExpress-12v1_A-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,500
