Var1,Freq
Australia,8
Belarus,17
Cambodia,66
China,244
Czech Republic,222
Dominican Republic,27
Ecuador,114
Egypt,35
Ethiopia,70
Finland,1476
Germany,5
Greenland,15
India,74
Indonesia,35
Iraq,1
Italy,649
Japan,735
Jordan,6
Kazakhstan,1
Lebanon,1
Libya,11
Madagascar,5
Mauritania,32
Mexico,63
Mongolia,2
Morocco,121
Nepal,21
New Zealand,7
Pakistan,101
Papua New Guinea,21
Philippines,15
Poland,603
Russia,754
Saudi Arabia,181
Slovakia,24
Solomon Islands,16
South Korea,5
Spain,68
Sri Lanka,1
Sweden,18
Taiwan,229
Tanzania,50
Thailand,2
Tunisia,42
Turkey,1
United Kingdom,19
USA,571
Viet Nam,24
Yemen,320
